 	le	soleil	s'	est	apaisé	</S>
m	0.810425	0.163248	0.0220419	0.00382621	0.000244701	0.000213973
w	0.0158485	0.930922	0.0396091	0.00370235	0.00517865	0.00473955
é	0.00284522	0.996412	5.73973e-05	6.76946e-06	0.000667778	1.10288e-05
s	0.467778	0.495886	0.0181275	0.0059518	0.00421727	0.00803939
é	0.188558	0.733985	0.0224893	0.00386194	0.0149175	0.0361878
ó	0.248646	0.0919216	0.420198	0.210057	0.0100045	0.0191725
m	0.0303078	0.01978	0.446655	0.46051	0.0199999	0.0227464
i	0.0185262	0.0250809	0.363611	0.360933	0.0913473	0.140501
y	0.00487373	0.00559544	0.119457	0.160754	0.589892	0.119428
w	0.008097	0.00325218	0.0355972	0.178291	0.705332	0.0694308
ω	0.0113597	0.00496158	0.0257449	0.0698152	0.71095	0.177169
ω	0.0194338	0.00307469	0.0988218	0.4416	0.261253	0.175816
m	0.0312221	0.00506944	0.130553	0.579294	0.0436572	0.210204
ω	0.00931622	0.0259578	0.0116437	0.0269208	0.524279	0.401882
</S>	0.00267013	0.00652464	0.00953271	0.0583642	0.131829	0.79108
