 	on	ne	l'	aime	pas	à	cause	de	son	avarice	</S>
á	0.531452	0.273469	0.0694329	0.00875369	0.0177594	0.0216818	0.0196903	0.02774	0.0263655	0.00288768	0.000767619
d	0.0847657	0.505508	0.18823	0.172054	0.0219947	0.0091841	0.0030696	0.00505079	0.005695	0.00362702	0.000819769
í	0.0467469	0.270939	0.181581	0.314245	0.0264557	0.0128063	0.00935636	0.00774121	0.00654543	0.00259596	0.120987
i	0.021619	0.0662719	0.124234	0.0854312	0.0467975	0.0513056	0.0341643	0.0285702	0.0458592	0.0237517	0.471996
k	0.038472	0.141217	0.44869	0.201127	0.0359218	0.0190826	0.019702	0.0156659	0.00627129	0.00438635	0.0694633
á	0.00756194	0.0438353	0.0419365	0.747951	0.0579962	0.0102458	0.0251039	0.0280492	0.00397845	0.00317806	0.0301641
m	0.043823	0.0966963	0.05662	0.603349	0.0640179	0.0174322	0.0305409	0.0289526	0.00378249	0.007062	0.0477239
b	0.0552715	0.0748323	0.215376	0.152815	0.199682	0.103975	0.0854376	0.0529107	0.0368089	0.00440122	0.01849
í	0.0858298	0.103037	0.0984126	0.067486	0.177308	0.0982824	0.151581	0.105893	0.0321218	0.00652989	0.0735192
m	0.0836916	0.0878312	0.287241	0.124691	0.133412	0.10977	0.0585296	0.0281175	0.019026	0.00765685	0.0600336
ó	0.0238838	0.0182573	0.0976273	0.0231301	0.0802581	0.211494	0.116433	0.0948897	0.163026	0.100875	0.0701263
w	0.0138252	0.0196058	0.0768031	0.134643	0.197052	0.19048	0.174251	0.118497	0.0176127	0.0435432	0.0136869
a	0.0226626	0.0332001	0.0561793	0.0459447	0.179127	0.156902	0.18203	0.188574	0.0359456	0.0672308	0.0322044
k	0.00152324	0.00300434	0.0239948	0.059908	0.174697	0.207793	0.196788	0.141745	0.0400278	0.0487701	0.101748
a	0.00612114	0.0207709	0.0113086	0.0678666	0.283162	0.0970739	0.264103	0.178725	0.01202	0.00886636	0.049983
á	0.00140788	0.00569137	0.00820968	0.0775362	0.239949	0.12666	0.194975	0.142446	0.0115734	0.0241885	0.167364
m	0.00422334	0.0049298	0.0132604	0.00785076	0.0461335	0.13973	0.109087	0.129412	0.167807	0.136758	0.240809
ó	0.00968919	0.0132136	0.0300978	0.0102282	0.0681568	0.132599	0.112202	0.102408	0.209176	0.189586	0.122643
p	0.00783333	0.00896213	0.0253235	0.00893248	0.0429356	0.117955	0.111917	0.200944	0.202874	0.1846	0.0877219
ó	0.00210672	0.0097286	0.00946312	0.0325545	0.123423	0.105725	0.228938	0.28309	0.0528445	0.0856385	0.0664885
s	0.000198763	0.000496453	0.00200096	0.0156225	0.0519855	0.0675658	0.160926	0.21848	0.0525012	0.123926	0.306297
á	0.00207851	0.00854556	0.014975	0.0466971	0.100985	0.114988	0.14817	0.249981	0.161282	0.0754467	0.0768514
b	0.00603802	0.00470052	0.0118052	0.00466288	0.0225298	0.0495943	0.0551972	0.0796097	0.361716	0.239007	0.16514
e	0.0126619	0.0124787	0.00824109	0.00270207	0.0284178	0.0682872	0.0551764	0.144433	0.144529	0.494723	0.0283499
a	0.00198474	0.0020405	0.00254567	0.000790864	0.018339	0.04096	0.0715425	0.190583	0.169024	0.364469	0.13772
y	0.00114213	0.00237388	0.00830503	0.00246118	0.0139696	0.0329254	0.0295853	0.0459999	0.282198	0.156666	0.424373
é	0.00453305	0.0145082	0.0424711	0.0102552	0.0262843	0.050768	0.0270033	0.0558496	0.477439	0.160291	0.130597
é	0.00187316	0.00306122	0.0129517	0.00184273	0.0104966	0.03144	0.0164423	0.0396633	0.609438	0.0909966	0.181795
d	0.00278188	0.0163644	0.0399257	0.0176332	0.0338998	0.0534492	0.0322781	0.0604631	0.305939	0.0948121	0.342453
í	0.000211879	0.00221148	0.00922371	0.0146129	0.0125988	0.022179	0.0108175	0.0349722	0.323644	0.0735266	0.496002
l	0.000161966	0.000469304	0.00218411	0.00141005	0.0116185	0.0235463	0.0207675	0.0314521	0.194693	0.0258389	0.687859
a	0.0004485	0.000653601	0.00224233	0.00241678	0.00832088	0.0139022	0.0133076	0.0254245	0.153874	0.15219	0.627219
w	0.000463138	0.00097332	0.00319756	0.0034942	0.0109845	0.0166385	0.0186637	0.0524249	0.273923	0.212333	0.406905
a	0.00127612	0.00204912	0.00306495	0.00363581	0.00916951	0.0131326	0.013721	0.0380531	0.235773	0.552588	0.127537
</S>	9.90381e-05	0.000239521	0.000787465	0.00163368	0.00490936	0.00926795	0.017097	0.0517298	0.155359	0.181327	0.57755
