 	la	voiture	s'	est	embourbée	dans	la	mare	</S>
o	0.927071	0.0516582	0.0049601	0.00322501	0.00947155	0.00207002	0.00136959	4.87337e-05	0.000125556
t	0.320338	0.661902	0.00586491	0.00240471	0.00352926	0.000532929	0.00127277	0.0012724	0.00288266
ω	0.0166094	0.967641	0.000992522	0.00162254	0.00728377	0.000509626	0.00130736	0.00241161	0.00162176
m	0.0464337	0.939601	0.00387834	0.00127222	0.00551304	0.000471126	0.000717157	0.000608333	0.00150478
b	0.0315815	0.832146	0.00644186	0.00545688	0.0629959	0.0263822	0.0140961	0.00483811	0.0160616
í	0.0708344	0.52747	0.0540867	0.0969333	0.0748328	0.0257076	0.0122103	0.00270744	0.135217
l	0.467605	0.242433	0.124135	0.0313356	0.0198056	0.0230605	0.0170125	0.00167632	0.0729367
i	0.728504	0.06932	0.0577345	0.0308485	0.0150408	0.0173528	0.0127558	0.00476565	0.063678
ó	0.670961	0.0377821	0.167843	0.0612635	0.0205687	0.0166675	0.00894823	0.00355866	0.0124078
m	0.0733922	0.0109927	0.333642	0.475101	0.0771692	0.013156	0.00556979	0.00213045	0.00884641
i	0.0249116	0.00530188	0.115184	0.519983	0.118441	0.070167	0.0400622	0.0200902	0.0858584
b	0.00485303	0.0158908	0.0951826	0.524878	0.292354	0.0200821	0.0100076	0.00175627	0.0349957
h	0.000946064	0.0183412	0.083538	0.628339	0.207892	0.0322303	0.00857225	0.00387054	0.0162702
á	0.000462979	0.0113726	0.0411346	0.486871	0.413923	0.0253473	0.00603971	0.00522174	0.0096264
r	0.00109107	0.000602369	0.0711595	0.433822	0.349045	0.0823637	0.0178981	0.00848359	0.0355352
á	0.00683736	0.00657473	0.0852207	0.394483	0.191722	0.176003	0.0602385	0.0216154	0.0573048
á	0.00592778	0.00263313	0.0570694	0.157017	0.220703	0.245004	0.19139	0.0961262	0.0241303
s	0.00698445	0.000877099	0.0457383	0.188959	0.0624168	0.456142	0.161036	0.0545249	0.0233213
í	0.00416209	0.00352897	0.0146697	0.140965	0.0245364	0.266723	0.152358	0.271929	0.121127
s	0.00893209	0.000520617	0.00380328	0.0134017	0.00571108	0.139216	0.190066	0.590015	0.0483343
e	0.000661245	0.000534689	0.00337572	0.0279676	0.00528904	0.131538	0.0912663	0.647743	0.091624
b	0.000214809	8.44013e-05	0.000207245	0.00335458	0.00355112	0.0406669	0.0964507	0.71691	0.138561
h	0.00437911	0.00162174	0.00568914	0.0389248	0.072197	0.155039	0.29767	0.301431	0.123049
e	0.00320844	0.0121097	0.00132878	0.0371426	0.100191	0.153072	0.144959	0.298292	0.249697
</S>	0.00058933	0.000759671	0.00202898	0.0124488	0.0193898	0.0984276	0.270403	0.230784	0.36517
