 	le	sel	donne	du	goût	à	la	nourriture	</S>
o	0.955211	0.0419067	0.00106837	0.000623339	0.000437401	0.000322013	0.00033763	9.09555e-05	2.95468e-06
k	0.150279	0.841972	0.0036865	0.00121531	0.0011931	0.000426683	0.000492402	3.81541e-05	0.000696628
w	0.00163815	0.997758	0.000170635	0.000223297	5.61186e-05	2.75896e-05	3.18487e-05	3.46237e-06	9.06083e-05
á	0.0122773	0.980455	0.00513305	0.00140804	9.10352e-05	0.000206516	0.00022091	9.85555e-05	0.000109577
m	0.150933	0.173127	0.446728	0.052417	0.00877026	0.0186244	0.0122678	0.0206871	0.116446
ó	0.237658	0.130154	0.359234	0.103875	0.0942641	0.019617	0.0109536	0.0262754	0.0179687
o	0.405664	0.0187432	0.261092	0.241277	0.0289162	0.005786	0.00768563	0.00152048	0.0293156
p	0.0173212	0.019829	0.436253	0.453253	0.0489827	0.00839783	0.00270588	0.00073791	0.0125193
έ	0.00410416	0.124645	0.548944	0.27169	0.0154021	0.00654425	0.000969275	0.000295733	0.0274058
a	0.126679	0.0161516	0.291099	0.397349	0.0956221	0.0188553	0.00439993	0.00102991	0.0488134
t	0.0102253	0.000814031	0.0966679	0.51251	0.229376	0.0702907	0.0468056	0.011964	0.0213467
ú	0.00578649	0.0124415	0.243036	0.40324	0.161776	0.0741745	0.0152613	0.0330815	0.0512019
n	0.00073532	0.000102317	0.0451069	0.379779	0.399301	0.11092	0.0250453	0.00755589	0.031454
g	0.00210838	0.000725988	0.0133046	0.346946	0.476179	0.0920373	0.0306457	0.00191841	0.0361343
u	0.0162079	0.000296163	0.00399602	0.168837	0.694611	0.0756173	0.0326113	0.000463693	0.00735905
m	0.00127085	1.81066e-05	0.0138259	0.0789306	0.135174	0.361728	0.347428	0.00504305	0.0565809
w	0.00258619	0.000190366	0.016062	0.0481299	0.150923	0.173467	0.184436	0.0563002	0.367905
á	0.00462929	0.0004526	0.00278072	0.0342406	0.236647	0.0937374	0.0468939	0.556721	0.0238973
n	0.00406366	5.73015e-05	0.00164149	0.0075378	0.0239869	0.0624819	0.111221	0.621192	0.167818
y	0.00118528	0.000570946	0.00178868	0.0132587	0.175142	0.213906	0.190963	0.158851	0.244334
á	0.000395328	0.000576905	0.000742067	0.0123495	0.096474	0.16911	0.123277	0.00698428	0.590091
á	0.000294805	0.000161851	0.00569283	0.0220116	0.0291008	0.167177	0.212978	0.124082	0.438501
</S>	0.00300187	0.00109401	0.0224291	0.0257424	0.0259138	0.0947663	0.207863	0.086696	0.532493
