 	lève	la	main	en	l'	air	</S>
s	0.74678	0.208472	0.0298502	0.00704783	0.00626114	0.00120258	0.00038626
é	0.420885	0.487461	0.0119319	0.0325403	0.0225389	0.0010347	0.0236079
m	0.525546	0.450572	0.00129206	0.00501487	0.00431416	0.00130426	0.011956
b	0.15021	0.477779	0.0286084	0.146593	0.0378008	0.00278099	0.156227
á	0.242032	0.474386	0.0257122	0.140305	0.0268409	0.00229928	0.0884245
ε	0.11443	0.151451	0.418129	0.131891	0.0480496	0.00895947	0.12709
b	0.0323253	0.0962536	0.609078	0.145934	0.0439957	0.0250336	0.0473797
ώ	0.029292	0.0414901	0.822261	0.0634627	0.0141357	0.0217525	0.00760622
ω	0.0127686	0.0450787	0.830805	0.05113	0.0215622	0.0279838	0.0106716
l	0.0205321	0.0120222	0.0494885	0.490381	0.384344	0.0127355	0.0304966
a	0.0290698	0.0553851	0.0726432	0.366812	0.195897	0.0662099	0.213984
i	0.0645262	0.0316328	0.0351732	0.256769	0.396166	0.127958	0.0877743
k	0.0101182	0.00883496	0.0159093	0.122659	0.108119	0.642233	0.092126
o	0.0019843	0.00189401	0.0180595	0.0254907	0.0263049	0.893708	0.0325588
ó	0.000290917	0.000378652	0.0283179	0.0143005	0.0161708	0.873452	0.0670895
</S>	0.00988762	0.00727941	0.0112118	0.0706805	0.114451	0.0637076	0.722782
