 	son	oncle	et	lui	ont	des	altercations	</S>
w	0.903792	0.0564087	0.0225651	0.00555765	0.00570992	0.00581153	2.47029e-05	0.000130541
a	0.651762	0.207125	0.0631177	0.0209783	0.0212501	0.0353682	0.000263879	0.000134335
b	0.567513	0.0680196	0.115638	0.0757913	0.0765254	0.0820751	0.00231783	0.0121196
á	0.356886	0.0940849	0.342561	0.153013	0.0364711	0.00573111	0.000670835	0.0105832
a	0.219122	0.293202	0.110082	0.107188	0.0563208	0.0133902	0.00108202	0.199613
l	0.158081	0.0940051	0.168718	0.110474	0.173343	0.0929404	0.0141931	0.188246
a	0.154998	0.174254	0.144829	0.176226	0.128015	0.0643495	0.0290013	0.128327
n	0.452047	0.241139	0.102335	0.118712	0.0193077	0.0111148	0.0231964	0.032148
g	0.520502	0.16586	0.149241	0.111997	0.023583	0.0112869	0.00322449	0.0143061
ó	0.138101	0.740345	0.0550936	0.0251932	0.00461142	0.00760685	0.00953867	0.0195098
l	0.136157	0.0687327	0.391025	0.159455	0.0863856	0.120403	0.0111826	0.0266586
ó	0.0935555	0.0207242	0.356486	0.30198	0.0812894	0.0188521	0.0130585	0.114055
m	0.0823726	0.003193	0.387677	0.259869	0.091282	0.0944203	0.0195731	0.0616126
i	0.0912225	0.00489647	0.445035	0.262356	0.106926	0.0596509	0.00489963	0.0250136
á	0.00546105	0.00152625	0.196216	0.280235	0.315625	0.158254	0.0162023	0.0264805
d	0.00245387	0.000332785	0.0305851	0.0781394	0.20974	0.239546	0.259863	0.17934
í	0.00118209	3.84763e-05	0.00527361	0.0490957	0.106065	0.104574	0.624506	0.109265
l	0.00357964	6.81264e-05	0.0146221	0.0338356	0.0940488	0.470461	0.223724	0.15966
a	0.00199193	6.14584e-05	0.0149522	0.0570223	0.103347	0.160073	0.255578	0.406974
l	0.00270428	0.000330145	0.00791048	0.0131426	0.0345479	0.230456	0.598506	0.112403
o	0.00493095	0.00036715	0.00116784	0.00493289	0.0100998	0.111221	0.827503	0.0397781
b	0.00157811	0.00013041	0.000571942	0.00198924	0.00388993	0.0513188	0.894903	0.0456185
h	0.00269672	0.000180528	0.011256	0.0216765	0.0696384	0.301673	0.316588	0.27629
ó	0.00119796	0.000232121	0.0112729	0.0151997	0.0282566	0.0276158	0.0654949	0.85073
</S>	9.86901e-05	3.65374e-05	0.00293162	0.00323481	0.00850417	0.0210907	0.00965665	0.954447
