 	il	danse	comme	un	serpent	</S>
w	0.988089	0.00581773	0.00228487	0.00338214	0.000346687	7.96906e-05
a	0.914236	0.0578765	0.0163379	0.0102512	0.00125077	4.76942e-05
l	0.407703	0.323522	0.179668	0.0524772	0.0121918	0.0244388
á	0.155636	0.111533	0.196157	0.141058	0.0320993	0.363516
a	0.261019	0.192303	0.179677	0.20079	0.0551525	0.111058
b	0.0185353	0.657176	0.292236	0.0199942	0.00261336	0.00944505
í	0.0114904	0.917389	0.0660567	0.00380493	0.000368876	0.000890319
n	0.00304997	0.74112	0.219763	0.0167304	0.00217442	0.0171622
á	0.0341352	0.385337	0.486383	0.0649548	0.00602617	0.0231639
m	0.084953	0.0759607	0.382535	0.368987	0.06617	0.0213946
b	0.0430599	0.0395428	0.493974	0.32766	0.0235398	0.0722241
í	0.00213374	0.149928	0.504026	0.25337	0.0510494	0.0394921
n	0.0178803	0.249065	0.445619	0.219124	0.036557	0.031756
d	0.022022	0.115967	0.205807	0.360172	0.138206	0.157826
z	0.00355906	0.00918281	0.0673992	0.149485	0.482388	0.287986
ώ	0.0016533	0.0037561	0.0388671	0.0612782	0.605092	0.289354
</S>	0.00495758	0.0135897	0.0544388	0.10265	0.366832	0.457532
