 	il	l'	accusé	de	vol	</S>
w	0.786624	0.163974	0.0374619	0.00799429	0.00380163	0.000144284
a	0.759833	0.137215	0.0125622	0.0473971	0.0406693	0.00232352
á	0.206647	0.639629	0.0846152	0.0308982	0.00458743	0.0336228
t	0.0804612	0.537447	0.227126	0.0730349	0.0298505	0.0520806
έ	0.0161111	0.187707	0.466367	0.10862	0.0268812	0.194314
ε	0.0461458	0.260105	0.417341	0.12305	0.0494383	0.10392
w	0.0520387	0.0743165	0.0862538	0.34182	0.272175	0.173396
a	0.0529407	0.0835073	0.414778	0.342064	0.0823951	0.0243144
y	0.0249054	0.0183397	0.0306712	0.267134	0.426452	0.232498
í	0.00293652	0.043609	0.0439041	0.291568	0.426771	0.191211
b	0.00294084	0.0058118	0.0063442	0.0847531	0.696511	0.203639
h	0.00361164	0.00380411	0.0125334	0.0285731	0.933166	0.0183119
a	0.00171535	0.013933	0.145158	0.049994	0.576238	0.212962
</S>	0.00111801	0.00826619	0.07227	0.184686	0.2084	0.525259
