 	j'	arrache	la	pointe	de	la	planche	</S>
n	0.675417	0.0695962	0.103437	0.109044	0.0280318	0.00973205	0.00414235	0.000598538
g	0.995641	0.000922328	0.00163797	7.12642e-05	0.000139306	0.00109928	0.000396791	9.14878e-05
á	0.98302	0.0132617	0.00246565	0.000251818	0.000163765	0.000653158	0.000168579	1.5264e-05
l	0.138828	0.251702	0.44791	0.0526473	0.0260826	0.0440831	0.0102171	0.0285299
í	0.39678	0.325576	0.0796375	0.00693009	0.0324696	0.0289215	0.053367	0.0763177
i	0.123984	0.185821	0.314666	0.0486644	0.0805447	0.0438751	0.0275056	0.174939
b	0.00479022	0.72292	0.0975331	0.101687	0.0494419	0.00349848	0.00069466	0.0194347
í	6.57698e-05	0.948409	0.0158494	0.0271922	0.00657483	0.00152521	0.000131057	0.000252908
l	0.00433473	0.538548	0.138982	0.18856	0.0808046	0.0115151	0.00312676	0.0341293
á	0.00214919	0.10004	0.233695	0.367424	0.16709	0.0918047	0.00387607	0.0339211
t	0.00464443	0.0218571	0.0888507	0.117736	0.234909	0.467445	0.0462932	0.018265
s	0.0101675	0.0196452	0.0539207	0.651419	0.128363	0.0106993	0.0734036	0.0523809
έ	0.000318996	0.0207824	0.0876499	0.253527	0.551803	0.035907	0.0260396	0.0239728
r	0.00226003	0.00587792	0.0953228	0.283744	0.221555	0.250345	0.0498042	0.0910903
ε	0.000598046	0.0040917	0.0653854	0.0271145	0.266301	0.397174	0.020651	0.218685
s	0.000270972	0.000941851	0.0242886	0.00429922	0.158513	0.652046	0.00673475	0.152905
í	0.00577246	0.00445793	0.0112316	0.00123149	0.0443034	0.473108	0.0533641	0.406531
b	0.00924154	0.000778861	0.00266863	0.00238964	0.0131046	0.226176	0.526899	0.218742
á	0.00296211	0.00275103	0.00628504	0.0112585	0.0143685	0.0362492	0.901376	0.0247492
y	0.00411697	0.00920093	0.00659431	0.00838524	0.0125539	0.0464864	0.854325	0.058337
á	0.00119081	0.00357434	0.00776027	0.00270778	0.0246756	0.0858707	0.271223	0.602997
</S>	0.00114491	0.00272317	0.00649395	0.00418659	0.0138027	0.102283	0.0715665	0.797799
