 	la	vipère	a	mordu	un	cabri	dans	la	plaine	</S>
i	0.353748	0.629779	0.0129712	0.000190456	0.00140001	0.000438068	0.000481027	0.000887483	8.91608e-05	1.55887e-05
k	0.0498943	0.913841	0.0266471	0.0034726	0.00173982	0.0012252	0.000676971	0.000994998	0.00112207	0.000386131
ó	0.0244714	0.898167	0.0205168	0.0121413	0.0128817	0.000750648	0.00390352	0.00528152	0.0195112	0.00237473
b	0.0122993	0.907993	0.0618059	0.00384234	0.00635785	0.000205381	0.00135284	0.00136307	0.0031024	0.00167812
h	0.230683	0.173401	0.256749	0.0165626	0.0207724	0.00128543	0.0397674	0.0301462	0.0124204	0.218212
á	0.532699	0.254387	0.05427	0.0219928	0.015885	0.00372071	0.0156769	0.00792349	0.00353177	0.0899131
i	0.0988077	0.0425172	0.778516	0.0359016	0.0214085	0.00168551	0.0045826	0.00521912	0.000748627	0.010613
m	0.00500227	0.00855015	0.191333	0.680112	0.0889871	0.002602	0.004598	0.00262232	0.00785964	0.00833406
i	0.0199653	0.00487958	0.108002	0.378613	0.353357	0.0932102	0.0163408	0.00911886	0.00381756	0.012696
t	0.00247644	0.00135448	0.0339113	0.770559	0.139727	0.0324951	0.00409354	0.001666	0.00508525	0.00863217
έ	0.00018329	0.000509592	0.00570527	0.922762	0.0609718	0.00307522	0.00129704	0.00017344	0.00372663	0.00159576
m	0.00486629	0.00512587	0.0874209	0.476194	0.298545	0.0031672	0.0432136	0.0135951	0.0217455	0.0461267
b	0.00350283	0.000235336	0.0152822	0.321882	0.324334	0.140687	0.0711421	0.0208039	0.00709639	0.095034
ó	0.0213921	0.00045999	0.00889308	0.0535213	0.319497	0.347638	0.135821	0.0653256	0.00319164	0.0442591
s	0.00492607	0.000742772	0.0129515	0.0206222	0.227007	0.405561	0.223892	0.0739436	0.0161727	0.014181
i	0.00747963	0.000453267	0.000259518	0.0045424	0.251125	0.362137	0.194899	0.0536359	0.102042	0.0234266
s	0.00295494	0.00041005	0.0022581	0.00309097	0.137091	0.134644	0.315487	0.191125	0.199457	0.0134823
ó	0.00308937	0.000308699	0.0003478	0.00305458	0.0728678	0.25729	0.139279	0.0653428	0.397945	0.0604749
l	0.00087319	9.08262e-05	0.000285895	0.000430141	0.00574113	0.0423021	0.0382579	0.0370057	0.865782	0.00923093
ω	0.00075291	0.000793799	0.00142141	0.00287623	0.0357659	0.01535	0.126876	0.204616	0.577359	0.0341881
n	0.000151935	0.000153013	0.000386581	0.00178579	0.0102705	0.0233581	0.0198741	0.0323393	0.903221	0.00845964
g	0.000305258	0.000228484	0.000698268	0.00373004	0.0209727	0.0099035	0.0637422	0.0622008	0.709575	0.128644
ώ	0.0008129	0.000116432	0.000128696	0.000887607	0.0103009	0.0289024	0.0564305	0.0449419	0.736104	0.121374
</S>	0.000938723	9.68588e-05	0.00114303	0.000519634	0.00902001	0.00209093	0.205701	0.194518	0.0671095	0.518862
