 	l'	huile	de	palme	que	tu	as	laissée	au	soleil	s'	est	fondue	</S>
a	0.580023	0.397042	0.00673168	0.000408686	0.00320707	0.00219102	0.00132162	0.00141599	0.00262486	0.00224012	0.00185496	0.000891897	1.95538e-05	2.76064e-05
w	0.224234	0.712453	0.0295003	0.0139145	0.00109459	0.00123565	0.00194998	0.00290935	0.00141469	0.000505357	0.000768495	0.00164689	0.00628786	0.00208528
ú	0.123357	0.480694	0.108257	0.150691	0.010845	0.012993	0.0237138	0.0111969	0.0161419	0.0272763	0.0119273	0.00941017	0.008865	0.00463133
r	0.40003	0.105048	0.113709	0.221302	0.00449368	0.00357981	0.0164124	0.00793881	0.0195972	0.00438401	0.00840711	0.0174013	0.0344973	0.0431981
a	0.803057	0.044329	0.075489	0.0216773	0.00787576	0.00486154	0.00317318	0.000493944	0.00467733	0.0158451	0.00185811	0.00152308	0.000299827	0.0148397
m	0.294748	0.046624	0.417277	0.140073	0.0359762	0.00832483	0.0126167	0.00157816	0.00568743	0.00204056	0.0100568	0.0100737	0.00290107	0.0120218
á	0.443975	0.0971476	0.236002	0.106486	0.0389983	0.00814877	0.0135601	0.000645358	0.00948191	0.0166882	0.0150413	0.00800202	0.000924902	0.00489853
m	0.0790368	0.0851706	0.286742	0.394887	0.0290659	0.0128146	0.00663158	0.00797551	0.0116785	0.00950323	0.00986918	0.0135306	0.0153164	0.0377776
b	0.159061	0.522634	0.0826891	0.13303	0.0447037	0.0131827	0.0057816	0.00210117	0.00393945	0.0209506	0.00368296	0.00202727	0.00100374	0.00521263
í	0.0114914	0.64823	0.056291	0.169622	0.0488827	0.0089137	0.00260318	0.000955757	0.00686113	0.0343444	0.00463951	0.00147908	0.000431895	0.00525494
a	0.12949	0.352312	0.119747	0.110919	0.155217	0.0186088	0.00355177	0.000883183	0.00560044	0.0819738	0.0102766	0.00317219	0.000813541	0.00743491
m	0.00966205	0.0105843	0.186056	0.0903448	0.396232	0.132484	0.063403	0.0254948	0.027387	0.0133922	0.0196362	0.0147392	0.00119318	0.00939116
á	0.125629	0.039668	0.142999	0.114663	0.147885	0.0570641	0.114523	0.0112822	0.107192	0.0577406	0.0512481	0.0146542	0.00124251	0.0142099
á	0.0211023	0.0116704	0.0880618	0.0471871	0.151239	0.25776	0.0921463	0.0548112	0.105166	0.0511243	0.0447331	0.0284859	0.00977516	0.0367373
y	0.000677887	0.000776898	0.00991487	0.0150148	0.0346895	0.0962912	0.0833668	0.666013	0.0617764	0.00310339	0.00605979	0.00889328	0.00412257	0.00929993
í	0.00489126	0.000472123	0.013821	0.0501401	0.0504739	0.186159	0.0631283	0.557343	0.0405909	0.00665337	0.0030285	0.00457601	0.00470911	0.0140135
í	0.00707826	0.000977469	0.0315949	0.0397995	0.132827	0.131412	0.0704381	0.224169	0.109749	0.0197057	0.0164539	0.0234001	0.00678113	0.185614
n	0.000351623	0.00105876	0.00806407	0.00432566	0.0611787	0.147008	0.158339	0.218127	0.258754	0.0610475	0.0526384	0.0212194	0.00191024	0.00597745
ω	0.00156109	0.0010961	0.0038562	0.0042558	0.0349838	0.368738	0.104625	0.254016	0.085841	0.0947824	0.014132	0.0048866	0.0022113	0.0250144
ó	0.000963823	0.001836	0.0283662	0.0313819	0.0461943	0.0922243	0.172763	0.156283	0.309804	0.021913	0.0584888	0.0190105	0.0270275	0.0337439
m	0.00286555	0.00107146	0.00799363	0.0216131	0.0105188	0.0157578	0.0521317	0.119909	0.530666	0.0556601	0.0673419	0.0757813	0.0253895	0.0132994
w	0.00187246	0.0118912	0.0160261	0.0190516	0.0139996	0.00419869	0.0236011	0.0466946	0.310977	0.167957	0.138695	0.0724212	0.0581312	0.114484
é	0.000492717	0.0014463	0.00217599	0.00810457	0.0104174	0.0162667	0.0173363	0.0575099	0.130715	0.428132	0.14598	0.0442424	0.0318655	0.105315
s	0.00222904	0.00048469	0.0054443	0.00696094	0.0307916	0.0187777	0.0149929	0.0202554	0.255613	0.312195	0.134387	0.0965987	0.0074029	0.0938668
é	0.000501441	0.00119115	0.00721389	0.0108756	0.0238602	0.026176	0.022666	0.0681335	0.191901	0.377974	0.0852861	0.0320748	0.0070194	0.145126
á	0.00276845	0.000431025	0.0102897	0.00295059	0.0177994	0.0273243	0.0538657	0.0366144	0.113497	0.087197	0.308814	0.26626	0.01394	0.058249
