 	on	brûle	les	herbes	</S>
b	0.983498	0.00563865	0.0105426	0.000254793	6.63104e-05
á	0.647255	0.00802327	0.331309	0.0114524	0.00196039
a	0.812889	0.0831658	0.0516284	0.0128541	0.0394629
t	0.341687	0.528351	0.0470159	0.00238411	0.0805626
u	0.0100454	0.933466	0.0121683	0.00617692	0.0381438
m	0.00704751	0.927064	0.0103219	0.0172121	0.0383549
b	0.291135	0.229591	0.174646	0.101106	0.203523
á	0.110071	0.326941	0.081439	0.0959329	0.385616
a	0.0725185	0.0132284	0.538127	0.342352	0.033774
t	0.0383067	0.0460994	0.341077	0.520365	0.054152
í	0.00409517	0.0390423	0.0696465	0.770038	0.117178
t	0.00365919	0.0213688	0.0336194	0.791066	0.150286
i	0.00310079	0.0320287	0.0464114	0.746978	0.171481
</S>	0.00799011	0.0077886	0.225527	0.15662	0.602075
