 	j'	ai	une	plaie	à	la	joue	</S>
n	0.922971	0.0217461	0.0199035	0.0198777	0.00779743	0.00609787	0.00147576	0.000130698
g	0.956575	0.0335157	0.00584699	0.00032254	0.00170832	0.00171889	0.000293047	1.91953e-05
á	0.878742	0.0998942	0.0186724	0.000687139	0.000688386	0.000726034	0.000566949	2.32688e-05
i	0.172071	0.328713	0.311156	0.0187101	0.0158173	0.0233174	0.0225301	0.107685
d	0.0162967	0.170343	0.70356	0.0703764	0.00602417	0.00497697	0.00519058	0.0232324
í	0.0209145	0.628893	0.242615	0.0267574	0.0109505	0.00376068	0.00565599	0.0604527
l	0.0140347	0.243115	0.448653	0.0963501	0.09001	0.0333004	0.0111307	0.0634061
a	0.00495343	0.187325	0.306966	0.292592	0.0844057	0.0151108	0.00787884	0.100768
p	0.00114819	0.164512	0.22205	0.467914	0.0888884	0.0121051	0.0176299	0.0257536
ó	0.000388603	0.00465153	0.112941	0.830058	0.0102426	0.00371879	0.0184866	0.0195125
r	6.92243e-05	0.00702452	0.209424	0.737605	0.0306925	0.00512121	0.0031098	0.0069533
á	0.00126733	0.00621747	0.116808	0.565871	0.12052	0.0249485	0.0173759	0.146992
m	0.00178266	0.0220702	0.0351377	0.15316	0.612243	0.131512	0.020964	0.0231305
ó	0.000311683	0.0045642	0.00423839	0.0432793	0.299149	0.17534	0.170662	0.302456
b	0.00116985	0.0102153	0.00955388	0.02856	0.123965	0.15686	0.64575	0.0239262
á	0.00193862	0.00559323	0.00440299	0.0490005	0.0847707	0.135969	0.681451	0.0368732
n	0.00707467	0.00995528	0.00247566	0.0320567	0.0995735	0.115835	0.507558	0.225471
g	0.0029341	0.00414427	0.00405357	0.0103699	0.158855	0.311714	0.294748	0.213181
á	0.00980044	0.0175935	0.0171401	0.00562414	0.235101	0.401104	0.206977	0.10666
</S>	0.00043582	0.00992663	0.0112639	0.0108002	0.134482	0.261682	0.233642	0.337766
