 	il	a	un	abcès	à	l'	aisselle	</S>
w	0.662068	0.194352	0.0593326	0.0594555	0.0174125	0.00682125	0.000200731	0.00035703
a	0.727346	0.147073	0.0289933	0.0625103	0.0205327	0.0132967	1.17983e-05	0.000235732
a	0.158872	0.534172	0.26144	0.0085987	0.0185306	0.00956491	0.00119357	0.00762891
d	0.0622628	0.33667	0.37795	0.0808615	0.0354905	0.0187536	0.0150258	0.0729858
í	0.0193198	0.313519	0.469733	0.0217134	0.0347827	0.00987327	0.00392673	0.127132
l	0.00889095	0.0479162	0.135098	0.0528849	0.0508414	0.0175627	0.142159	0.544647
a	0.0820613	0.151527	0.248728	0.0831188	0.0914854	0.0941445	0.0413504	0.207585
i	0.0739918	0.225888	0.253949	0.125051	0.13202	0.0524104	0.0923419	0.0443475
p	0.00180641	0.0211256	0.13788	0.445214	0.243028	0.0331334	0.0715809	0.0462312
i	0.000952863	0.0127754	0.060158	0.779993	0.0990691	0.00371033	0.0308204	0.0125213
a	0.00111911	0.01017	0.105981	0.582909	0.259747	0.0126572	0.0149841	0.0124323
s	0.010524	0.0133653	0.0535084	0.0437181	0.449966	0.379445	0.0130403	0.0364333
á	0.00616585	0.0152034	0.0892599	0.027142	0.272014	0.423391	0.0419015	0.124922
d	0.011283	0.00588143	0.0231003	0.0249565	0.103276	0.154162	0.667413	0.00992823
z	0.000489269	0.000776409	0.00630846	0.00404079	0.0504593	0.131638	0.73485	0.0714375
a	0.00115463	0.00177177	0.0112866	0.00178221	0.0260628	0.085069	0.864448	0.00842467
d	5.41945e-05	0.000141245	0.0013169	0.000452078	0.00982989	0.0390249	0.873544	0.075637
z	6.01277e-05	0.000282665	0.00186932	0.000819072	0.0163775	0.0847909	0.76945	0.12635
á	0.00116473	0.00125171	0.00572637	0.0017438	0.0215372	0.149583	0.737375	0.0816177
b	0.000111995	0.000188429	0.00235307	0.00110053	0.0155687	0.0945309	0.663256	0.22289
h	0.00130581	0.00213227	0.0134157	0.0265971	0.0605399	0.134736	0.197564	0.563709
a	0.00091879	0.000710738	0.00860532	0.0120445	0.115501	0.229397	0.173407	0.459415
</S>	0.000475313	0.00169745	0.0104748	0.00489587	0.046403	0.13255	0.0855988	0.717905
