 	c'	est	un	homme	d'	une	grande	bonté	</S>
w	0.553748	0.235661	0.0799114	0.0916795	0.0209173	0.0097974	0.00681813	0.001021	0.000446341
a	0.578142	0.192825	0.0492779	0.04433	0.0256433	0.0237598	0.0648854	0.0205573	0.000579375
a	0.225717	0.298395	0.355216	0.03564	0.0309794	0.0173418	0.0105266	0.00188499	0.0242993
d	0.043541	0.293125	0.483597	0.0910606	0.0299032	0.0151783	0.0201206	0.00876389	0.0147098
í	0.0238254	0.41649	0.196007	0.147361	0.0434794	0.029295	0.0138572	0.00188492	0.1278
m	0.0186013	0.0806006	0.221702	0.10791	0.104542	0.0796631	0.0451173	0.00886498	0.332999
o	0.0147275	0.0701218	0.0906836	0.619284	0.0689817	0.0404143	0.0397777	0.00297515	0.0530344
r	0.0289456	0.0261901	0.231867	0.181479	0.195015	0.138163	0.0989877	0.038953	0.0604004
o	0.0134207	0.0188105	0.15368	0.131102	0.147751	0.164822	0.168536	0.0399567	0.161921
ω	0.00351758	0.00281773	0.0675798	0.0311828	0.173911	0.196169	0.256427	0.120255	0.148141
b	0.000485697	0.00177246	0.0139842	0.00869677	0.0716431	0.146852	0.288533	0.431243	0.0367893
v	0.000735418	0.00234605	0.00825478	0.0306553	0.0553315	0.0526263	0.0341074	0.767259	0.0486842
έ	0.000221514	0.000887283	0.00575058	0.0170748	0.0760402	0.0814137	0.0325803	0.758282	0.0277498
w	0.000768866	0.00152862	0.00452951	0.00761017	0.0519481	0.0430322	0.0175577	0.0656849	0.80734
a	0.0127884	0.00703004	0.0347661	0.0477776	0.269034	0.365805	0.0606669	0.0890939	0.113038
m	0.00392999	0.00162275	0.00895531	0.00414713	0.0335195	0.0542558	0.117303	0.0829577	0.693309
έ	0.0225507	0.013704	0.0427903	0.0668674	0.0646493	0.11708	0.337283	0.0646633	0.270412
n	0.0066155	0.00638815	0.0331471	0.0201153	0.0594672	0.10357	0.356275	0.144631	0.269791
d	0.000596462	0.00118879	0.00587168	0.00212511	0.0108122	0.0268667	0.0707804	0.093754	0.788005
e	0.000948128	0.000864126	0.00497416	0.00161157	0.00585911	0.0230111	0.066995	0.118627	0.77711
</S>	3.03247e-05	0.000205804	0.00167456	0.000776289	0.00405635	0.0242986	0.0473912	0.0331816	0.888385
