 	le	py	thon	s'	est	enroulé	autour	de	l'	arbre	sur	lequel	mon	mari	a	grimpé	</S>
m	0.57091	0.328072	0.0119047	0.00500575	0.00205498	0.0146292	0.00913411	0.0183619	0.00820322	0.0151385	0.00408767	0.00409265	0.0058552	0.00013512	0.00212253	0.000201307	9.0962e-05
b	0.00670281	0.984734	0.00157415	0.00269036	0.000239936	0.000316655	0.00107953	0.000325046	0.000436951	0.000376192	0.000134436	2.28372e-05	0.000209752	2.60993e-05	0.000360666	7.42982e-05	0.000696221
ω	0.00631453	0.988434	0.00150983	0.000157567	9.48149e-05	0.000252773	0.000724843	0.000356606	0.000739058	0.000562553	0.000171264	7.78365e-05	0.000201816	9.58324e-05	2.66224e-05	0.000236401	4.39938e-05
m	0.00583128	0.990759	0.00245639	0.000127106	8.65697e-06	1.02486e-05	4.2521e-05	8.01491e-05	0.000106581	0.00023007	8.2808e-05	3.95646e-05	2.13996e-05	2.7166e-05	3.6867e-05	4.23367e-05	9.76268e-05
ω	0.02621	0.86162	0.0329255	0.00820426	0.00136696	0.00129832	0.0074566	0.017503	0.0135316	0.0193312	0.00588841	0.000120382	6.06499e-05	0.000130201	0.000147439	0.000163882	0.00404117
á	0.194746	0.0346025	0.447955	0.105527	0.0204977	0.0138621	0.013422	0.0120002	0.00829917	0.0173606	0.012653	0.00451491	0.000263923	0.00882017	0.00493381	0.00313511	0.097406
m	0.0444964	0.00270444	0.240275	0.329605	0.0850183	0.0585847	0.0261649	0.0214895	0.0145829	0.0130669	0.010241	0.0403311	0.0107858	0.016942	0.0359906	0.00901723	0.0407044
i	0.0150261	0.00424973	0.223418	0.389651	0.176653	0.035908	0.0225758	0.0279417	0.0185606	0.0149739	0.015209	0.0051532	0.000643876	0.00893217	0.00707503	0.00205465	0.0319748
d	0.00472404	0.00257658	0.144939	0.268938	0.393976	0.0689871	0.054437	0.00967176	0.00715176	0.00535541	0.00403602	0.00641542	0.000327278	0.0184519	0.00203529	0.00327786	0.00469973
í	0.000798737	8.63958e-05	0.0147108	0.0849028	0.492587	0.15115	0.12759	0.0120349	0.0130069	0.00922624	0.00962099	0.00223307	0.000101171	0.0540445	0.000807508	0.00782348	0.0192761
n	0.00294264	0.000155814	0.0179454	0.125448	0.247892	0.359185	0.102145	0.0282531	0.0194013	0.0171488	0.0186487	0.00913785	0.000772995	0.00650819	0.00676383	0.00962515	0.0280265
g	0.00830011	0.00112292	0.00101058	0.0609314	0.0524171	0.204735	0.476318	0.0768474	0.050324	0.00659565	0.00642401	0.00225354	0.0372474	0.00286811	0.00209363	0.00250421	0.00800595
í	0.00218714	0.00121714	0.00250099	0.0606749	0.0312062	0.180645	0.54295	0.0885277	0.04987	0.00514004	0.00441805	0.00369592	0.00903309	0.0037795	0.00146874	0.00287523	0.00981041
l	0.00553048	0.00069081	0.00751259	0.0751301	0.0318777	0.176518	0.217831	0.258142	0.106472	0.0566696	0.0299489	0.010493	0.006324	0.00133376	0.00668074	0.00198119	0.00686554
á	0.00143345	0.000497232	0.00332048	0.0205357	0.0333522	0.179473	0.36536	0.141192	0.135274	0.0374587	0.021501	0.0132691	0.00459056	0.00576524	0.00357222	0.005604	0.0278011
i	0.00260376	0.000470935	0.00196467	0.00706857	0.0137691	0.0562893	0.137097	0.148623	0.244786	0.155683	0.160653	0.0186552	0.00311603	0.0338142	0.00387435	0.00662168	0.00490982
b	0.00120863	0.000860571	0.00606005	0.00473542	0.0161681	0.0820616	0.157827	0.0643146	0.151988	0.175363	0.138197	0.129363	0.000696207	0.0483278	0.00314867	0.013291	0.00639022
v	0.00716223	0.00222025	0.00726429	0.00312388	0.00712181	0.0642051	0.0543322	0.0456093	0.122509	0.267896	0.191441	0.17644	0.00031363	0.0235014	0.0015149	0.0125188	0.0128267
ú	0.00521495	0.00168472	0.00123988	0.00373988	0.00814307	0.066355	0.0608865	0.0499392	0.127615	0.329223	0.180014	0.0966001	0.000367722	0.0210357	0.00279384	0.025938	0.0192097
a	0.00438436	0.000196309	0.000388855	0.000968269	0.00433244	0.171813	0.217238	0.0888448	0.117955	0.188131	0.144539	0.0483628	0.00168409	0.00241509	0.00150605	0.00292209	0.00431872
l	0.000631923	1.99286e-05	0.000394281	0.0045623	0.00341681	0.0331198	0.0330811	0.0968488	0.167273	0.325698	0.198764	0.0529202	0.0288325	0.017804	0.0199601	0.00188273	0.0147903
í	0.00559177	0.000726855	0.00291799	0.0177565	0.0152414	0.0614929	0.0390959	0.0557806	0.120262	0.089226	0.0767115	0.219446	0.0980704	0.070905	0.0343383	0.00927365	0.0831631
í	0.00373573	0.000525825	0.00078865	0.00535633	0.00128196	0.0138824	0.00917438	0.0273961	0.0467156	0.0623513	0.107807	0.324774	0.108647	0.221168	0.0345018	0.0134116	0.0184822
l	0.00121114	0.00011816	0.00080829	0.00811813	0.00735592	0.0137714	0.00428146	0.00470209	0.0144512	0.0224661	0.0338684	0.162364	0.0193449	0.635241	0.0305589	0.0320533	0.00928614
é	0.000330067	2.86684e-05	5.56375e-05	0.00266273	0.00340861	0.00811757	0.00267955	0.00234357	0.00841311	0.00403139	0.0116456	0.0568596	0.0337969	0.809393	0.0094866	0.0269738	0.019774
í	3.29557e-05	4.68232e-06	2.95375e-05	0.000258183	0.000405585	0.0036622	0.00212298	0.00257263	0.00619561	0.00453756	0.0123122	0.0833788	0.00450544	0.82299	0.00550517	0.0397125	0.0117738
n	0.00078292	2.83262e-05	0.000904595	0.00643428	0.00249325	0.00542951	0.00347984	0.0107557	0.0189548	0.0345364	0.0416166	0.0836187	0.205545	0.195838	0.282425	0.0489821	0.0581753
g	0.00405811	0.000567302	0.000324122	0.00240952	0.00192674	0.0119027	0.0368105	0.0104694	0.0268827	0.00845059	0.00905265	0.0259917	0.587891	0.143035	0.0348688	0.0403981	0.0549603
á	0.000889431	0.00202542	7.11293e-05	0.00105867	0.000394523	0.0046707	0.030195	0.0078788	0.01974	0.00364573	0.00557997	0.0114297	0.73894	0.145393	0.00634449	0.0121626	0.00958144
o	0.00194564	0.000195115	0.00113173	0.0013899	0.000588328	0.00276435	0.00328929	0.012584	0.023316	0.0414796	0.0398709	0.0224945	0.213739	0.0371934	0.383389	0.154102	0.060527
l	0.000109908	1.64866e-05	0.000316012	0.00189298	0.00281437	0.0135983	0.00378187	0.00332465	0.00635343	0.00940927	0.0110283	0.0182519	0.0100326	0.416183	0.0965011	0.366366	0.0400194
ó	0.000117917	3.59105e-05	0.000108573	0.00663604	0.0164464	0.0381128	0.00751261	0.00438613	0.00692875	0.00355697	0.00361743	0.0173957	0.0163376	0.234187	0.0570092	0.549824	0.0377865
m	3.04753e-05	1.79206e-05	7.17644e-05	0.000704898	0.00076541	0.00705023	0.00137021	0.00232101	0.00307122	0.0015637	0.00260932	0.0111811	0.00538458	0.592766	0.0165371	0.291049	0.0635054
i	9.8791e-05	2.79141e-05	0.000181463	0.00105207	0.00139369	0.00593386	0.00453827	0.00542617	0.011459	0.0150014	0.0133895	0.0084874	0.00834188	0.259323	0.0503434	0.397204	0.217798
</S>	0.00319191	0.000172882	0.00135248	0.00272646	0.00123171	0.00361598	0.00345541	0.00618894	0.00750742	0.0125005	0.011903	0.020775	0.0834391	0.0137393	0.263281	0.163844	0.401075
