 	konzo	est	une	tubercule	de	manioc	sucrée	</S>
k	0.578842	0.362603	0.0409826	0.00990291	0.00313613	0.00262977	0.000858857	0.0010446
ó	0.67573	0.192363	0.0826277	0.0034255	0.00500081	0.0178604	0.019108	0.00388454
n	0.117219	0.220439	0.556198	0.0736361	0.008378	0.0114872	0.00194118	0.0107022
d	0.557607	0.162875	0.150044	0.0495918	0.0432902	0.00503165	0.00886953	0.0226903
z	0.454697	0.260781	0.164933	0.0190574	0.0227252	0.00309646	0.00664663	0.0680633
ó	0.241581	0.401779	0.243705	0.0242351	0.0304936	0.00352512	0.012147	0.0425338
a	0.024399	0.127931	0.448138	0.197054	0.158797	0.0196932	0.00624878	0.0177375
d	0.0133671	0.0467214	0.270387	0.362058	0.18079	0.0777355	0.017487	0.0314543
í	0.00262496	0.0115486	0.116212	0.289107	0.0815778	0.0192742	0.0162202	0.463436
l	0.000573152	0.00488016	0.0302596	0.306781	0.14657	0.123005	0.121555	0.266377
a	0.000307442	0.00219218	0.0292579	0.475952	0.176383	0.0442085	0.0222717	0.249427
y	0.00258729	0.00216899	0.0186863	0.457193	0.121348	0.0671872	0.214227	0.116602
έ	0.00196015	0.000796739	0.00939824	0.530929	0.0175449	0.0771502	0.27009	0.0921306
y	0.0018342	0.000770324	0.00646473	0.127054	0.0411933	0.0628159	0.627868	0.132
ε	0.000127126	0.000875674	0.0125892	0.543481	0.0520645	0.0956453	0.247022	0.0481954
έ	9.22657e-05	0.00021471	0.00368709	0.0844291	0.0873645	0.160599	0.475717	0.187897
</S>	0.00500039	0.0050889	0.0147235	0.0203466	0.186064	0.118751	0.400878	0.249148
