 	les	chèvres	ont	cassé	l'	enclos	de	la	parcelle	</S>
a	0.977177	0.0126464	0.00159881	0.00251516	0.00237377	0.00152576	0.00146732	0.000561137	0.000105131	2.90405e-05
m	0.0205481	0.976841	0.00186748	0.000452177	5.69468e-05	8.95286e-05	4.02201e-05	4.18618e-05	4.41151e-05	1.80088e-05
b	0.0231467	0.976666	7.79572e-05	3.66388e-05	6.60164e-06	2.73685e-05	5.50705e-06	2.38123e-06	1.39878e-06	2.97473e-05
ó	0.00426743	0.995574	5.21699e-05	2.26264e-05	1.51041e-05	4.34304e-05	3.41818e-06	3.27331e-06	8.82524e-06	1.00273e-05
s	0.0794044	0.896547	0.0194052	0.00177259	0.000806603	0.00101601	0.00039327	0.000193476	6.69639e-05	0.000394246
i	0.237631	0.69297	0.0457147	0.0132161	0.00353192	0.00141547	0.00151426	0.000444813	0.000529267	0.00303175
á	0.476442	0.00678616	0.427633	0.0466086	0.029738	0.00205331	0.00482317	0.00216164	0.000621525	0.00313207
p	0.00684624	0.00229981	0.325302	0.54906	0.0841841	0.0173645	0.00381594	0.00394504	0.00242581	0.00475617
a	0.00060692	0.000198233	0.0407365	0.836169	0.0906981	0.0145012	0.00352678	0.0045229	0.00440779	0.00463219
s	0.0721611	0.00257792	0.0931546	0.590743	0.15427	0.0405696	0.0209075	0.00976028	0.00832483	0.00753132
i	0.103849	0.00161054	0.0306969	0.608335	0.208438	0.012748	0.0121848	0.00901823	0.00701232	0.0061075
i	0.00643544	0.000102805	0.0149414	0.0956301	0.580237	0.175954	0.056455	0.027358	0.0120593	0.0308269
b	0.000460735	0.000162829	0.00122628	0.0856852	0.27862	0.56306	0.0197455	0.02572	0.0195066	0.00581348
h	0.00305065	0.000108741	0.000399712	0.0188297	0.110181	0.848916	0.00849202	0.00565227	0.00315287	0.00121789
á	0.000138252	0.000128823	5.30156e-05	0.0451929	0.0721023	0.874546	0.00277484	0.00242796	0.00143882	0.00119749
n	0.000658782	2.66549e-05	0.000214728	0.113881	0.234037	0.561188	0.0274006	0.030381	0.00675723	0.0254555
g	0.000586183	0.000295924	0.000448398	0.0630435	0.20854	0.500241	0.0946826	0.0527357	0.0218931	0.0575327
á	0.00120179	0.000400319	0.000339503	0.0263261	0.2397	0.376328	0.090367	0.0429076	0.0741147	0.148315
</S>	0.000534076	3.19639e-05	0.00100776	0.00431923	0.0244353	0.029021	0.3806	0.341605	0.155419	0.0630269
