 	les	champignons	n'	apparaissent	plus	</S>
a	0.891633	0.0746654	0.0153723	0.0168214	0.00137909	0.000128775
k	0.0755834	0.919004	0.00345068	0.000642009	0.00103288	0.000287071
o	0.00496952	0.992081	0.00163199	0.000352753	0.000647763	0.000317449
m	0.00266853	0.989971	0.00371406	0.00124614	0.000829001	0.00157099
b	0.211442	0.603734	0.162805	0.00349804	0.00373645	0.0147842
ó	0.240052	0.479894	0.16638	0.0294159	0.00851847	0.0757391
á	0.275611	0.0437369	0.584627	0.0603511	0.00607732	0.0295965
b	0.108654	0.0291761	0.624393	0.140804	0.0296721	0.0673005
h	0.0398509	0.0954811	0.197864	0.495809	0.0619653	0.109029
i	0.0892008	0.128491	0.188459	0.453667	0.0478427	0.0923392
o	0.0350808	0.0198447	0.271433	0.279429	0.0795083	0.314704
b	0.0125875	0.0124517	0.0948693	0.397184	0.364473	0.118434
v	0.00405011	0.0222363	0.034042	0.500521	0.358562	0.080589
ú	0.00793126	0.10453	0.0916404	0.343443	0.323932	0.128522
r	0.0210927	0.00405755	0.115935	0.396931	0.0777509	0.384233
á	0.0218369	0.0109784	0.280193	0.112168	0.287436	0.287389
o	0.0151827	0.00225554	0.0814532	0.15888	0.371354	0.370874
t	0.00963183	0.010694	0.0233278	0.0248619	0.762877	0.168608
á	0.00231015	0.0976932	0.0471653	0.0371878	0.602051	0.213592
á	0.0009319	0.00323762	0.0123533	0.0285903	0.175736	0.779151
m	0.0165852	0.00140605	0.0583629	0.03601	0.279394	0.608242
a	0.074407	0.0152703	0.119596	0.0124513	0.118131	0.660145
k	0.00525841	0.00116128	0.0206993	0.0218701	0.284594	0.666417
a	0.0110747	0.0331073	0.0471936	0.0944603	0.491108	0.323056
á	0.0017374	0.0114389	0.00687435	0.034552	0.263488	0.681909
</S>	0.0218574	0.00370023	0.0816591	0.0453915	0.140817	0.706575
