 	c'	est	lui	qui	a	élevé	cet	orphelin	</S>
w	0.468144	0.306933	0.0876749	0.0926999	0.0321511	0.00135308	0.00938534	0.000761142	0.00089775
á	0.207435	0.305922	0.0976337	0.146315	0.104654	0.00199774	0.0902219	0.0449876	0.00083333
m	0.103325	0.239244	0.240461	0.152838	0.11562	0.0450984	0.0223689	0.00697533	0.0740706
o	0.0804252	0.274119	0.26641	0.257118	0.0702947	0.00388142	0.0116718	0.001188	0.0348918
r	0.416014	0.246834	0.101322	0.150747	0.0519988	0.0146948	0.00695655	0.000634334	0.0107983
o	0.38015	0.192465	0.127458	0.207514	0.0313285	0.0266561	0.0114556	0.00766602	0.0153071
y	0.0489228	0.0924139	0.31707	0.346181	0.157932	0.0144835	0.00906882	0.000565826	0.0133625
a	0.122088	0.139099	0.254157	0.241604	0.111721	0.0820777	0.0286144	0.00487636	0.0157629
á	0.0566416	0.0401975	0.276694	0.365766	0.183266	0.0484026	0.0133245	0.00738038	0.00832705
s	0.00350883	0.00845228	0.0182476	0.0671585	0.198946	0.606921	0.0462286	0.0177036	0.0328339
o	0.000307143	0.00114237	0.0025559	0.0130746	0.0298549	0.933188	0.00568508	0.00909206	0.0051
o	0.00246229	0.00186769	0.004855	0.0136868	0.0237772	0.894059	0.0270697	0.00873885	0.0234832
s	0.00257159	0.00926741	0.0493514	0.120605	0.359784	0.132842	0.281873	0.0124331	0.0312725
á	0.00425719	0.00790913	0.0296507	0.113438	0.0867054	0.41127	0.130072	0.143929	0.0727684
t	0.00571464	0.0123873	0.0619932	0.179779	0.147266	0.0674681	0.140172	0.341086	0.0441332
s	0.0047733	0.0125527	0.0164865	0.107977	0.088204	0.113105	0.146637	0.443742	0.0665222
á	0.000539238	0.00260399	0.0113691	0.0520799	0.0614018	0.178765	0.259618	0.377664	0.0559583
á	0.00360106	0.00898983	0.031607	0.07341	0.100073	0.0282818	0.181474	0.230007	0.342557
n	0.00314839	0.00450138	0.0115592	0.0158855	0.046266	0.00895499	0.242448	0.461972	0.205265
y	0.00172295	0.00188704	0.00429377	0.0177754	0.016181	0.00161802	0.0758068	0.788251	0.0924641
i	0.000117393	0.000385577	0.000619962	0.0035547	0.00301215	0.000991621	0.0155114	0.953684	0.0221237
w	6.3481e-05	0.000352568	0.00126104	0.00553834	0.0121286	0.0283778	0.104249	0.614193	0.233835
ó	0.000735322	0.00175644	0.00643614	0.0103541	0.0141274	0.00981061	0.428142	0.318083	0.210555
</S>	0.00706806	0.00862686	0.0237892	0.0265904	0.0539053	0.00712228	0.196824	0.0720668	0.604007
