 	le	chef	est	en	voyage	</S>
o	0.877016	0.0897065	0.0240835	0.00428129	0.0041921	0.000720782
k	0.0261066	0.970295	0.00210129	0.000370599	0.000828394	0.000297683
o	0.00212564	0.996907	0.000447771	8.44329e-05	0.000184986	0.000250127
n	0.00159255	0.985875	0.00717563	0.00212163	0.00250243	0.000732489
d	0.0701381	0.909676	0.010913	0.000995726	0.00157644	0.00670084
z	0.0576617	0.860627	0.0278767	0.00201405	0.00383725	0.0479829
i	0.137626	0.672304	0.0128373	0.00218796	0.00966757	0.165377
á	0.0651779	0.0102307	0.772393	0.135859	0.00934555	0.0069941
m	0.0231309	0.0168642	0.163142	0.451575	0.256001	0.0892869
i	0.0345475	0.0011939	0.202976	0.375486	0.0832984	0.302498
b	0.00056291	0.00222983	0.00697697	0.238754	0.700362	0.0511151
h	0.000235284	0.000723392	0.00382399	0.126759	0.833819	0.034639
é	4.42413e-05	0.000250229	0.00075996	0.0438199	0.937073	0.0180531
m	0.000432752	0.00020756	0.020501	0.129337	0.676247	0.173275
b	0.00364669	2.94406e-05	0.0221767	0.193	0.267051	0.514096
a	0.00786914	0.000538822	0.0238133	0.0486331	0.399048	0.520098
</S>	0.0233076	0.0011052	0.0949914	0.152548	0.0453391	0.682709
