 	maman	a	attaché	les	bretelles	à	sa	hotte	</S>
n	0.879529	0.0703367	0.0100167	0.0230132	0.00280031	0.00670612	0.00701602	0.000439202	0.000142875
g	0.992225	0.00446379	0.00178451	0.00117726	3.38396e-05	0.000166173	0.000146144	2.93774e-06	5.2408e-07
ó	0.941859	0.023737	0.0237475	0.00504694	0.00191133	0.00233021	0.00100696	0.000156002	0.000205074
o	0.773425	0.0593657	0.114747	0.0127412	0.0204373	0.00390222	0.00317837	0.00169673	0.0105066
á	0.241848	0.358094	0.117347	0.0703695	0.0163201	0.0526176	0.0463728	0.00368367	0.093348
m	0.0439365	0.349431	0.531712	0.042786	0.00850155	0.0067531	0.00197713	0.000905272	0.0139976
i	0.000131175	0.197237	0.439552	0.264186	0.069182	0.0154525	0.00265785	0.00135466	0.0102464
k	0.00249892	0.261992	0.566354	0.0916737	0.0401491	0.0073954	0.00220088	0.00200977	0.0257257
a	0.000120373	0.089583	0.577625	0.0793443	0.202173	0.0240149	0.00215452	0.001048	0.0239363
n	5.3626e-05	0.0387249	0.527558	0.178656	0.197991	0.0279564	0.00344251	0.000678333	0.0249393
á	0.000443693	0.120369	0.477909	0.321785	0.0137658	0.028912	0.00973104	0.00289084	0.0241934
m	0.000341576	0.0376084	0.09844	0.547747	0.0581741	0.124674	0.0989679	0.0166054	0.0174417
ú	7.24208e-05	0.00471431	0.00582525	0.316825	0.0887912	0.0950493	0.0505057	0.354877	0.0833393
a	1.81683e-05	0.00332045	0.0197272	0.0931621	0.712308	0.109817	0.00890553	0.0276432	0.0250978
a	3.55306e-05	0.00337115	0.0408007	0.192173	0.290098	0.377379	0.0679687	0.00241477	0.0257598
l	7.59516e-05	0.006422	0.046905	0.0661483	0.440136	0.291322	0.0933356	0.0191339	0.0365211
a	5.52363e-05	0.00217333	0.0575228	0.0288394	0.366725	0.193636	0.114039	0.0218389	0.21517
m	7.89221e-05	0.00169851	0.0281542	0.0398249	0.254589	0.21663	0.308378	0.0538094	0.0968367
b	1.08311e-05	0.000440224	0.0013868	0.0175115	0.120636	0.0525559	0.173132	0.5508	0.083527
í	6.14475e-06	0.000452538	0.00542339	0.073277	0.0623598	0.226916	0.261882	0.204809	0.164874
</S>	5.97491e-06	0.000359046	0.00213342	0.0240515	0.0263469	0.236471	0.414071	0.0875678	0.208994
