 	le	chasseur	a	pris	le	couteau	pour	dépecer	l'	animal	</S>
o	0.953121	0.0429353	0.00119477	0.000388504	0.000614419	0.000685252	0.000352726	2.08479e-05	0.000611538	2.81183e-05	4.69843e-05
b	0.0583248	0.93071	0.00321371	0.00498433	0.000556951	0.000183607	0.000503635	0.000654888	0.000134115	0.000311514	0.000421926
e	0.458432	0.517924	0.00169225	0.0175795	0.00162641	0.000618174	0.000272425	0.000327086	0.000195375	0.00109616	0.000236985
n	0.122892	0.83713	0.00283368	0.0254086	0.00237336	0.0011239	0.00138777	0.00142614	0.000910255	0.0004205	0.00409393
g	0.750449	0.163846	0.0369446	0.00780462	0.0101576	0.00451515	0.00520886	0.0071629	0.00279246	0.0011308	0.00998835
i	0.599294	0.294245	0.0561719	0.0200538	0.00797741	0.00337537	0.0030953	0.0044286	0.00303713	0.00118985	0.0071323
á	0.0397528	0.00636673	0.809335	0.0671054	0.0367164	0.00510082	0.0155519	0.00240084	0.00466662	0.000167175	0.0128364
k	0.00184463	0.00355538	0.143142	0.709185	0.0636949	0.0273014	0.0279921	0.0126785	0.000923444	0.000336131	0.00934672
o	0.00037355	0.00164004	0.0398284	0.846863	0.0770946	0.0121742	0.0123428	0.00691124	0.000666534	4.64363e-05	0.00205931
b	0.00225073	0.00120426	0.023485	0.881401	0.0727941	0.00496255	0.00365117	0.00817374	0.000365319	2.63875e-05	0.00168627
h	0.0026245	0.000152705	0.203636	0.485813	0.21373	0.00845451	0.0498972	0.0186274	0.00787575	0.000638525	0.00855015
i	0.0232731	0.00182206	0.0960439	0.216798	0.410926	0.0606382	0.0404861	0.0736019	0.0307671	0.00878413	0.0368598
i	0.00474307	0.00130638	0.0505315	0.0115684	0.459033	0.2652	0.15808	0.0127704	0.0220159	0.003382	0.0113692
b	0.000649648	0.00114259	0.00425548	0.0368887	0.190326	0.364911	0.288301	0.0920863	0.00444508	0.00363659	0.0133586
á	0.0014376	0.00189255	0.00322208	0.0546047	0.14724	0.590253	0.0445101	0.147335	0.00284047	0.0018109	0.00485429
á	0.0049207	0.00128443	0.00729229	0.0157415	0.107454	0.725119	0.0581105	0.0376432	0.00810406	0.00350377	0.0308265
m	0.000462143	0.000117659	0.00749939	0.00328404	0.0418518	0.161476	0.687524	0.0208669	0.0502689	0.00557142	0.0210774
í	0.00983529	0.00265522	0.00181572	0.00468	0.0503225	0.0985632	0.228112	0.080699	0.0705939	0.0702082	0.382514
k	0.00250898	0.000716422	0.00547487	0.0092265	0.0334821	0.0393395	0.265175	0.424349	0.105388	0.0590593	0.0552814
y	6.77368e-05	3.31206e-05	0.000158003	0.0022038	0.00257084	0.00203243	0.021966	0.96237	0.0036617	0.000775286	0.00416143
έ	6.31805e-05	1.0738e-05	4.49908e-05	0.000357935	0.000843736	0.000256	0.00984251	0.977047	0.00609565	0.000639254	0.00479867
s	0.000124776	8.57491e-05	0.000474659	0.00247787	0.0153388	0.00205523	0.0783079	0.76299	0.0711032	0.00892956	0.0581125
ε	0.00010708	9.22475e-06	0.000112099	0.000506714	0.00314119	0.00146916	0.0306325	0.880839	0.0179013	0.00389565	0.0613858
l	0.000548289	7.99733e-06	0.000937091	0.000383452	0.0107425	0.00192621	0.183766	0.219862	0.269249	0.0161856	0.296391
á	0.00155834	2.2412e-05	0.00266703	0.00131174	0.00827811	0.00135492	0.120597	0.107984	0.294802	0.240773	0.220651
n	0.00280014	0.000142693	0.00177304	0.000603638	0.00691262	0.000868531	0.0202599	0.0171377	0.343829	0.56923	0.0364422
y	0.000262912	5.18523e-05	2.75998e-05	1.20028e-05	0.000214113	8.15356e-05	0.000848437	0.000200665	0.0177622	0.977726	0.00281214
a	0.000824144	0.000204027	3.18705e-05	4.83142e-05	0.000221066	0.000232184	0.000803225	0.00286714	0.00398218	0.985544	0.00524219
m	0.000599574	0.000301753	5.47147e-05	0.000118971	0.000624485	0.000112453	0.00216671	0.011212	0.0247935	0.927045	0.0329707
a	0.00302754	0.00189689	0.00289179	0.000353321	0.00449544	0.00132421	0.0116128	0.00723187	0.248135	0.35312	0.365911
</S>	0.0016207	3.36161e-05	0.00161338	0.000741963	0.0026862	0.00089497	0.0432112	0.0129832	0.109569	0.0684412	0.758204
