 	ton	mari	est	un	grand	bucheron	</S>
o	0.936192	0.0353205	0.0133653	0.00516905	0.00540139	0.00420968	0.000342371
l	0.0127923	0.982572	0.000928695	0.0004692	0.000768805	0.00221931	0.000250215
ó	0.00186	0.993028	0.00066883	0.00213131	0.000767111	0.000689355	0.000855217
m	0.000294731	0.996013	0.000721762	0.000525296	0.000524711	0.00106865	0.000851948
i	0.0802422	0.8524	0.0289188	0.00747496	0.00349595	0.00199056	0.0254776
y	0.613757	0.0965966	0.212742	0.0357507	0.0141225	0.00130641	0.0257241
a	0.63833	0.0679402	0.109555	0.0504835	0.0222532	0.00362465	0.107813
n	0.961251	0.00198311	0.0230719	0.00523856	0.00231919	0.000821804	0.00531438
ω	0.969939	0.00437297	0.00501891	0.00565196	0.0083165	0.00344594	0.00325472
a	0.0389518	0.0980935	0.554662	0.157139	0.0582637	0.0191115	0.073778
d	0.035641	0.0381681	0.475461	0.369747	0.0545409	0.00656239	0.0198803
í	0.0299513	0.00764574	0.180728	0.249502	0.0342632	0.000920101	0.49699
o	0.240752	0.000371183	0.178047	0.258416	0.203366	0.0176486	0.101399
k	0.00141085	0.00751017	0.0284068	0.343865	0.361994	0.220877	0.0359369
w	0.000170226	0.0105854	0.0312086	0.48409	0.240999	0.133026	0.0999205
ε	0.0149922	0.00331374	0.027398	0.300569	0.0929994	0.186721	0.374007
r	0.0014528	0.000106392	0.0194085	0.173972	0.36736	0.222589	0.215111
i	0.0534611	0.00243906	0.0342775	0.313548	0.262296	0.167171	0.166807
k	0.00188905	1.4254e-05	0.0200662	0.0916703	0.450895	0.230711	0.204754
ó	0.0360075	0.000593612	0.0103528	0.0400442	0.261599	0.527658	0.123746
n	0.00103314	0.000227168	0.0245209	0.0735489	0.15647	0.296977	0.447222
y	0.00153347	0.00186814	0.00605155	0.0623783	0.175101	0.572169	0.180899
i	0.000681854	0.00174222	0.00317823	0.0363851	0.0923685	0.502998	0.362646
o	0.000773015	0.000953562	0.0121248	0.05189	0.165832	0.245851	0.522576
n	0.0145266	0.000860987	0.0556552	0.0649005	0.128356	0.0978467	0.637854
έ	0.12118	0.0054052	0.0111709	0.0637513	0.206414	0.148362	0.443717
</S>	0.000839657	7.17561e-05	0.00618948	0.023393	0.0760098	0.111136	0.78236
