 	je	fais	sortir	les	cabris	de	leur	enclos	</S>
n	0.683423	0.243804	0.0244155	0.0255871	0.0160355	0.00265552	0.00315381	0.000819501	0.000106128
g	0.991607	0.00604478	5.83951e-05	0.00159737	3.91481e-05	5.79797e-05	0.000556771	2.82902e-05	1.01894e-05
á	0.872678	0.119776	0.00199318	0.00284517	0.000926014	0.000203906	0.000377609	0.00117865	2.13471e-05
l	0.169979	0.377227	0.0135027	0.0736215	0.0211231	0.0358311	0.0559448	0.0519836	0.200787
í	0.562238	0.182956	0.00624083	0.0507952	0.00811921	0.0388422	0.0253515	0.0530874	0.0723696
i	0.136366	0.0879906	0.0368979	0.266491	0.0326454	0.0909962	0.0732282	0.124693	0.150692
p	0.00454138	0.242539	0.712122	0.00823892	0.0192013	0.00200568	0.000742133	0.0030099	0.00759955
f	4.76811e-05	0.00713913	0.991591	0.00013931	0.000653534	0.00016886	3.95962e-06	3.70922e-05	0.000219234
o	1.88661e-05	0.0118065	0.982233	0.00117499	0.0036936	0.000346638	5.38675e-05	0.000227715	0.000444971
o	0.000167531	0.0156097	0.83606	0.0896193	0.0396527	0.0101556	0.00405313	0.00300208	0.00168019
s	5.73357e-05	0.00603096	0.147389	0.724269	0.0921747	0.0222784	0.00348272	0.00125837	0.00305882
á	0.000808111	0.0123966	0.117219	0.601062	0.0416227	0.092991	0.0427115	0.00721145	0.0839772
a	0.00790381	0.0115077	0.0061554	0.872484	0.0442145	0.0195355	0.0309889	0.00474263	0.00246808
m	0.00224871	0.0214789	0.0669876	0.463647	0.388782	0.038435	0.00725106	0.00839626	0.00277303
b	0.000321601	0.00091362	0.000755045	0.0659189	0.852658	0.0255353	0.0058553	0.0137294	0.0343127
ó	1.06357e-05	0.000114639	0.000446034	0.0162546	0.966352	0.0100049	0.000904763	0.00419174	0.00172025
s	4.49281e-05	0.00141121	0.00735721	0.0154876	0.912995	0.0348749	0.000333537	0.00600727	0.0214885
i	9.6308e-05	0.00186322	0.0602678	0.0713357	0.563056	0.153617	0.00344411	0.00400198	0.142318
s	0.000470937	0.00746766	0.00585431	0.152623	0.0960331	0.60364	0.0622959	0.0286978	0.0429171
í	0.0014848	0.00350151	0.00211957	0.154935	0.0518689	0.228765	0.261801	0.0972112	0.198313
b	0.00283046	0.000955952	0.000592623	0.0519672	0.0110258	0.188712	0.537668	0.189557	0.0166907
h	0.00217023	0.00263996	0.000592825	0.0654769	0.0406557	0.0998653	0.432336	0.339149	0.0171141
á	1.84664e-05	0.000116012	0.000323187	0.00838623	0.134358	0.151527	0.0342759	0.637407	0.0335876
n	2.23147e-05	0.000147163	0.00039734	0.00930312	0.0104261	0.310901	0.247706	0.261122	0.159974
g	0.00033388	0.00573216	0.00581512	0.0446961	0.0347384	0.155544	0.404028	0.243977	0.105135
á	0.00378546	0.00159025	0.000880685	0.0570929	0.0175922	0.209321	0.361831	0.225352	0.122554
l	7.34836e-05	0.00199901	0.00267186	0.0157124	0.00322884	0.0690041	0.474782	0.191108	0.24142
á	0.00132819	0.00419421	0.00401187	0.0433465	0.0054001	0.0757935	0.363279	0.311167	0.19148
b	0.00189445	0.00151538	0.00112059	0.0331289	0.00373104	0.0311795	0.485084	0.39401	0.0483368
á	0.000376107	0.000719248	4.88892e-05	0.0135324	0.00199348	0.0127432	0.709868	0.257101	0.00361758
a	0.000579092	0.000116859	1.36824e-05	0.0112413	0.00242252	0.014571	0.632302	0.325532	0.0132215
</S>	0.000128241	0.00121881	0.000581984	0.00527641	0.00191402	0.029509	0.0789736	0.549791	0.332607
