 	prenez	quelque	chose	pour	vous	en	servir	au	besoin	</S>
k	0.831277	0.12528	0.0042287	0.0104712	0.00830914	0.0123539	0.000833944	0.00344153	0.0035738	0.000230779
o	0.996136	0.00123959	0.000957294	0.000613753	0.000352239	0.00031817	4.38826e-05	8.1695e-05	0.000237442	2.02375e-05
b	0.811092	0.0185274	0.0523121	0.028629	0.0209074	0.0236102	0.00650635	0.0131639	0.014325	0.0109269
h	0.469107	0.32503	0.0734633	0.0298306	0.0334779	0.023389	0.00637298	0.00819999	0.00593442	0.0251954
á	0.172675	0.58203	0.055926	0.0250688	0.0516527	0.0211505	0.00629152	0.00941072	0.00831077	0.0674837
y	0.141299	0.631263	0.0651566	0.0259335	0.0331399	0.0269641	0.0166369	0.0127663	0.0053186	0.0415221
a	0.0209141	0.186984	0.217885	0.0779962	0.0456486	0.112012	0.247486	0.0182004	0.00526094	0.0676121
á	0.0144875	0.190085	0.109668	0.0841582	0.161298	0.169595	0.185232	0.0131714	0.00542687	0.0668766
e	0.0126542	0.321749	0.331508	0.0707131	0.0461912	0.0468529	0.03699	0.05019	0.0159785	0.0671734
y	0.0354434	0.163927	0.511205	0.111153	0.00752111	0.0179785	0.0258692	0.0245653	0.0244062	0.0779319
e	0.00964468	0.0820027	0.705961	0.0685519	0.0107894	0.0292776	0.0162744	0.0245497	0.00638091	0.0465679
a	0.00210943	0.123453	0.463961	0.0860372	0.00704553	0.0441314	0.0205141	0.0483055	0.0111776	0.193266
b	0.00194644	0.22322	0.529881	0.128108	0.0144589	0.0249989	0.0140369	0.0221579	0.00380904	0.0373831
a	0.00867263	0.365196	0.145133	0.132988	0.10765	0.10706	0.0155642	0.0153417	0.00844308	0.0939507
á	0.00123228	0.234121	0.123584	0.150761	0.249119	0.0774581	0.0430056	0.0142915	0.00856694	0.0978603
l	0.0010275	0.0542415	0.120197	0.262884	0.104871	0.216375	0.0638662	0.0979963	0.0132512	0.0652893
ó	0.000400483	0.031918	0.151059	0.197893	0.0778219	0.121762	0.0709788	0.0977853	0.010663	0.239718
o	0.000662014	0.0172994	0.217535	0.295805	0.107163	0.221269	0.0361782	0.0503808	0.0169602	0.0367479
s	0.00263546	0.00917784	0.164555	0.291196	0.0574667	0.16451	0.0562089	0.120519	0.109239	0.0244918
e	0.00103943	0.00798135	0.25242	0.151245	0.0702308	0.209078	0.0675686	0.130863	0.0486689	0.0609041
n	0.000291183	0.0230545	0.162261	0.217753	0.0729007	0.182871	0.0281457	0.174839	0.0514835	0.0864
g	0.00100908	0.0389027	0.226622	0.301007	0.0922522	0.16522	0.0278471	0.057843	0.0132449	0.0760524
á	0.00111743	0.0297463	0.200373	0.253666	0.179213	0.156572	0.0569097	0.0230285	0.0182275	0.0811476
w	0.000493326	0.0122055	0.0126402	0.0566246	0.118977	0.370542	0.216015	0.178396	0.0179952	0.0161115
á	0.000368608	0.0301972	0.0285137	0.158046	0.183428	0.311769	0.0708379	0.100449	0.0236138	0.0927759
a	0.000357693	0.0150841	0.00470818	0.0346228	0.286502	0.212779	0.239065	0.0741295	0.0433767	0.0893749
o	0.000650429	0.00442949	0.0173733	0.02201	0.0240866	0.0537648	0.121076	0.459306	0.261134	0.03617
d	0.00278029	0.00208239	0.0268345	0.0209534	0.00133256	0.0132361	0.0109388	0.323061	0.565999	0.0327823
i	0.000612467	0.000798463	0.00947845	0.00819039	0.00194533	0.0070656	0.00406773	0.28474	0.621097	0.0620043
í	3.38856e-05	0.00110917	0.00643204	0.00694198	0.00220603	0.00887429	0.00932893	0.512576	0.287439	0.165059
i	0.000140514	0.00737874	0.01044	0.0133818	0.0128031	0.0246	0.0547214	0.30253	0.355361	0.218643
k	0.000700305	0.00867816	0.0126933	0.0103805	0.00388913	0.0108795	0.0189456	0.090434	0.668446	0.174953
á	0.00193215	0.00123346	0.00400649	0.00561993	0.00384091	0.003768	0.000776595	0.02678	0.863282	0.08876
m	0.00730384	0.00471902	0.00451138	0.0136999	0.0515588	0.0556908	0.00850021	0.0460819	0.681799	0.126135
b	2.45927e-05	0.000709081	0.00195555	0.00526827	0.00237033	0.00797252	0.00617789	0.14994	0.296421	0.529161
í	0.000448287	0.00273268	0.0118755	0.0198004	0.00334366	0.015275	0.00874524	0.0377535	0.306758	0.593267
</S>	0.00336313	0.00705355	0.0247907	0.033325	0.0107848	0.0575677	0.0298864	0.149809	0.303687	0.379733
