 	les	moutons	broutent	</S>
i	0.712575	0.249302	0.0328317	0.00529138
n	0.132736	0.853136	0.00739796	0.00673026
d	0.0465582	0.938025	0.0010845	0.0143325
ω	0.188377	0.802466	0.00025656	0.00890079
m	0.0373194	0.935792	0.00347157	0.0234174
b	0.217821	0.645659	0.0326988	0.103821
ω	0.258155	0.455684	0.0350081	0.251153
b	0.524546	0.158762	0.202699	0.113993
ó	0.276845	0.0623905	0.438638	0.222126
b	0.424825	0.107882	0.370734	0.0965595
í	0.722657	0.026171	0.201546	0.0496264
i	0.322179	0.0110734	0.505991	0.160757
d	0.0655387	0.0501789	0.111467	0.772816
z	0.00741514	0.00664126	0.0315239	0.95442
á	0.118393	0.0130093	0.00968698	0.85891
a	0.059458	0.00288033	0.0704586	0.867203
</S>	0.0253239	0.00327799	0.0717089	0.899689
