 	qui	est	ce	qui	a	arraché	le	safoutier	qui	était	là	</S>
o	0.343555	0.119343	0.0973659	0.158335	0.142885	0.0637322	0.0519178	0.0079433	0.0112585	0.00100814	0.000988926	0.00166653
s	0.000867034	0.00433082	0.0015436	0.00274572	0.00671013	0.136033	0.00617492	0.830647	0.0039504	0.00169012	0.00249882	0.00280836
á	0.0011596	0.00334754	0.0025793	0.00125813	0.00404996	0.200698	0.00584675	0.768485	0.00307198	0.00627425	0.000719868	0.00250917
á	0.000986423	0.00864572	0.0102318	0.00859221	0.0130675	0.225681	0.0177777	0.611114	0.00844603	0.0248061	0.00419611	0.0664554
m	0.122085	0.0251958	0.0837421	0.18401	0.267729	0.0409865	0.207995	0.018321	0.0326471	0.0111585	0.00155799	0.00457216
ó	0.0163934	0.02226	0.0525234	0.0631255	0.178731	0.0835506	0.245449	0.142427	0.125594	0.035341	0.00884604	0.0257594
ó	0.0356399	0.0116706	0.0502012	0.12994	0.225411	0.0306163	0.152531	0.249174	0.0594346	0.029272	0.021583	0.00452738
d	0.000663776	0.000950134	0.00152841	0.00330106	0.0140967	0.113848	0.0451062	0.610702	0.0754052	0.116077	0.0134716	0.00485106
z	0.00168408	0.000748273	0.00163939	0.00165624	0.00425702	0.0667124	0.0206409	0.830973	0.0299401	0.0220424	0.00394785	0.0157579
e	0.0113697	0.00169886	0.00441827	0.00803958	0.0173788	0.0579537	0.0793699	0.572123	0.075787	0.135904	0.00924829	0.0267094
b	0.00523101	0.00872034	0.130426	0.08136	0.117148	0.0889678	0.104481	0.0823599	0.13605	0.120238	0.0258024	0.0992158
h	0.000955063	0.00453276	0.0281889	0.038667	0.0390727	0.0763077	0.0496912	0.110372	0.0389811	0.056002	0.210059	0.34717
á	0.000895529	0.0036318	0.0430092	0.0785583	0.0716072	0.10392	0.124541	0.125818	0.0618065	0.0458809	0.0950586	0.245273
n	0.00258883	0.00331587	0.0243081	0.0561169	0.0783513	0.0508299	0.186886	0.0151457	0.190933	0.236857	0.0708967	0.0837715
d	0.021869	0.00442993	0.0143441	0.026425	0.029258	0.038068	0.313282	0.0147507	0.24285	0.0628515	0.0433983	0.188474
a	0.00628311	0.00280506	0.00654722	0.010001	0.010483	0.0203436	0.102036	0.0201015	0.164668	0.148143	0.0894695	0.419118
á	0.00232647	0.00249395	0.0121846	0.0310366	0.0209408	0.040362	0.115144	0.0120909	0.117503	0.0436889	0.122893	0.479336
y	0.000596587	0.00267817	0.0030802	0.00234071	0.00464283	0.0103121	0.0220185	0.00784962	0.0728753	0.181923	0.258065	0.433618
u	0.0125079	0.00925196	0.020371	0.0100958	0.0282208	0.0506936	0.113818	0.0567206	0.0982186	0.249293	0.0940645	0.256744
b	0.00246737	0.00148178	0.0184729	0.0128636	0.0268047	0.0142268	0.0629604	0.0045213	0.0612734	0.122832	0.101435	0.57066
h	0.000451669	0.000712711	0.00270861	0.00477227	0.00828746	0.00447018	0.0247888	0.00862639	0.0152657	0.0273183	0.750976	0.151622
u	0.000860456	0.000812652	0.00739401	0.00870955	0.00848784	0.0182382	0.0768631	0.017986	0.0423011	0.0507007	0.412871	0.354775
</S>	0.000313797	0.000836441	0.00622676	0.0082544	0.00766419	0.00547415	0.0430775	0.00143391	0.0489727	0.0432486	0.215353	0.619145
