 	ces	chaussures-ci	sont	déjà	usées	</S>
m	0.845293	0.142098	0.010987	0.00150296	2.84667e-05	9.07262e-05
y	0.187772	0.410672	0.0984747	0.0309078	0.0120309	0.260142
e	0.294108	0.662922	0.0165409	0.0141893	0.0047874	0.00745253
r	0.440797	0.542841	0.0062809	0.00268847	0.00224681	0.0051457
é	0.68023	0.220611	0.0396301	0.0267764	0.0044329	0.0283198
m	0.646951	0.225141	0.0975593	0.015681	0.00262568	0.0120419
á	0.434732	0.071522	0.346131	0.0720723	0.0574334	0.0181087
k	0.591224	0.0794608	0.238882	0.0599383	0.0165897	0.0139047
o	0.123984	0.592085	0.257425	0.0120269	0.00911359	0.00536566
o	0.068255	0.568142	0.313999	0.0323977	0.00770145	0.00950503
m	0.0555796	0.00577236	0.608289	0.289843	0.027614	0.0129013
í	0.0557076	0.00866171	0.476343	0.154058	0.145728	0.159501
í	0.0860924	0.0103802	0.295632	0.35234	0.219981	0.0355735
m	0.0116685	0.00333245	0.114997	0.610468	0.216321	0.043213
i	0.00468302	0.000326297	0.0458583	0.53724	0.32538	0.086512
s	0.00604501	0.00731064	0.0606574	0.570291	0.149802	0.205894
á	0.00124485	0.00129019	0.0246196	0.75303	0.113848	0.105968
á	0.00317621	0.000964045	0.0606086	0.130071	0.248333	0.556848
o	0.0102595	0.00328218	0.130766	0.207833	0.433862	0.213997
w	0.0107525	0.0160248	0.0236806	0.159182	0.725221	0.0651392
á	0.008085	0.0261713	0.0792648	0.142062	0.481302	0.263115
a	0.00125236	0.00110471	0.013989	0.0328324	0.392591	0.55823
</S>	0.0183563	0.00395227	0.118909	0.0879859	0.187328	0.583469
