 	le	mois	prochain	j'	irai	à	brazaville	</S>
s	0.595441	0.363742	0.0271959	0.00893843	0.000820542	0.00321119	0.000407511	0.000243319
w	0.102926	0.71166	0.0091334	0.059262	0.00587448	0.01565	0.0806034	0.014891
é	0.0127303	0.974818	0.000626488	0.00319435	0.00201882	0.000540344	0.0056242	0.000447779
n	0.538772	0.338426	0.0266299	0.0108724	0.0167851	0.0137005	0.00628145	0.0485328
g	0.114808	0.804007	0.00729013	0.00820264	0.00358108	0.0063969	0.00864463	0.0470702
é	0.206268	0.717919	0.0141649	0.0165811	0.00290028	0.00697242	0.00962885	0.0255662
y	0.169149	0.117259	0.506399	0.129675	0.00625417	0.0355006	0.00198888	0.0337747
e	0.261634	0.54497	0.10215	0.0330751	0.00712467	0.014369	0.0223167	0.0143609
é	0.287924	0.167268	0.309376	0.12141	0.0106248	0.028506	0.0128401	0.0620514
y	0.0159119	0.00805561	0.527964	0.253702	0.102722	0.0321641	0.00160875	0.0578715
a	0.030204	0.0229844	0.166326	0.209004	0.393174	0.0668088	0.0124759	0.0990223
a	0.0810319	0.0219765	0.111399	0.129359	0.387353	0.0633735	0.0144515	0.191055
n	0.0076689	0.00630401	0.243974	0.65999	0.0208286	0.0380299	0.00443185	0.0187728
g	0.0184123	0.105007	0.0426598	0.650459	0.00468034	0.0347011	0.11386	0.0302203
á	0.00762173	0.168517	0.0184764	0.46831	0.0089187	0.0178043	0.302576	0.00777565
l	0.0107808	0.00406276	0.12067	0.383908	0.157205	0.187736	0.0167238	0.118914
í	0.0100377	0.00516059	0.0675463	0.346577	0.115644	0.104221	0.036324	0.31449
i	0.00513221	0.0017284	0.095321	0.171512	0.295905	0.152713	0.111926	0.165762
d	0.000386338	0.000188932	0.00398162	0.0252246	0.879787	0.0283346	0.0169555	0.0451413
z	0.000158513	4.31023e-05	0.0011722	0.0134019	0.923774	0.0320151	0.00719037	0.0222451
w	0.000338214	0.00021312	0.00189448	0.00702752	0.979583	0.00427014	0.000896231	0.00577692
á	0.00340443	0.00115405	0.0107611	0.0455912	0.627656	0.072142	0.00530354	0.233988
n	0.00189268	0.000678546	0.00274945	0.063035	0.228112	0.259679	0.171685	0.272169
g	0.00601628	0.0125277	0.00308434	0.132216	0.00955239	0.112758	0.59164	0.132205
y	0.000126661	0.00126583	0.000228948	0.036444	0.000959282	0.0182167	0.933321	0.00943715
ε	0.000141112	0.000276193	0.00030038	0.0102803	0.0155315	0.0889832	0.782973	0.101514
l	0.000181551	0.00022114	0.00184564	0.0174504	0.0202693	0.330302	0.0997431	0.529987
έ	0.000568471	0.000459532	0.000953135	0.00905809	0.0205855	0.235605	0.26475	0.468021
</S>	0.00764991	0.000432687	0.0030275	0.0249678	0.006642	0.266376	0.0319543	0.65895
