 	notre	maman	a	renversé	la	marmite	après	l'	avoir	lavée	</S>
n	0.45058	0.333039	0.0981877	0.0177511	0.0424132	0.0328491	0.00708642	0.0154602	0.00227683	6.36259e-05	0.000292629
g	0.674269	0.283146	0.0120478	0.000241117	0.015041	0.00763007	0.00596351	0.00120221	8.36981e-05	0.000285254	9.03618e-05
ó	0.0506921	0.938107	0.000559759	7.56781e-05	0.00139985	0.00616831	0.00231123	0.000334713	4.87627e-05	0.000231424	7.12745e-05
o	0.0520073	0.936299	0.00080052	0.000462098	0.00267202	0.00426694	0.00222122	0.000344714	0.000109328	0.000439236	0.000377425
y	0.2639	0.235935	0.357564	0.0179273	0.0306516	0.00169966	0.00816317	0.0259297	0.0170047	0.00218727	0.0390378
a	0.921171	0.0266643	0.0229727	0.00191737	0.00800841	0.00195188	0.00627247	0.00480594	0.00161579	0.00114777	0.00347265
b	0.987433	0.00321981	0.00464063	0.000394946	0.00142781	0.000157582	0.000433959	0.000697167	0.000249538	0.000286541	0.00105849
í	0.839176	0.0121183	0.0184723	0.011812	0.0393927	0.0139846	0.0116686	0.0238408	0.010645	0.000996017	0.0178932
s	0.780891	0.0210889	0.0675998	0.0579511	0.0198481	0.00455154	0.00517315	0.0148151	0.00877155	0.000753641	0.0185556
í	0.507941	0.0236905	0.0940741	0.00959778	0.0710876	0.0155294	0.024785	0.0633088	0.0230814	0.0013548	0.16555
á	0.192919	0.00665958	0.626247	0.0608575	0.0457267	0.00862511	0.00739037	0.0160422	0.012115	0.00240659	0.0210118
k	0.00830205	0.00286743	0.181626	0.670605	0.0323769	0.0205796	0.00289188	0.00585598	0.0219249	0.0370283	0.0159416
ú	0.005442	0.000475144	0.0211002	0.893943	0.0182096	0.0188037	0.00317906	0.0109491	0.0198529	0.00114119	0.00690399
m	0.00536692	0.000144778	0.0323423	0.781611	0.0370158	0.111101	0.00614075	0.00692455	0.0078851	0.00278104	0.00868704
b	0.172396	0.000604535	0.0812404	0.192472	0.338721	0.0693058	0.0483158	0.0730052	0.0133239	0.000238422	0.0103768
u	0.00214425	1.17098e-05	0.0175711	0.431633	0.31155	0.119492	0.0299883	0.0332839	0.00872063	0.00038461	0.04522
s	0.000719543	5.07856e-05	0.0926964	0.0552354	0.570047	0.155103	0.0552062	0.0468946	0.00798461	0.0012771	0.0147858
u	0.0168719	9.21208e-06	0.00723394	0.123765	0.5123	0.188987	0.0704478	0.04191	0.00782137	0.00545237	0.0252005
n	0.00183773	2.37216e-05	0.027896	0.0137549	0.400688	0.286616	0.151858	0.075228	0.014166	0.00381035	0.0241211
d	0.00819473	2.64321e-05	0.00430096	0.00186752	0.340947	0.26541	0.311918	0.0324728	0.00288728	0.00444822	0.0275277
z	0.00252131	0.000141499	0.00114558	0.00152726	0.0581361	0.409042	0.47484	0.0189779	0.00288242	0.00992958	0.0208562
ú	0.000467585	3.2811e-05	0.000745417	0.0075705	0.0561596	0.662917	0.211471	0.0147565	0.00382766	0.00857252	0.0334801
n	0.00348701	2.69238e-05	0.00205877	0.0043603	0.0373342	0.801646	0.078868	0.0184712	0.00364359	0.00357721	0.0465264
g	0.000926995	9.64369e-06	0.00573008	0.0754888	0.0727448	0.582902	0.0847702	0.0585005	0.0266041	0.00381218	0.0885104
u	0.0164841	0.000115861	0.00294311	0.0039558	0.0549592	0.41516	0.412355	0.0651654	0.00282294	0.00293174	0.0231071
é	0.00142884	1.16489e-05	0.0116324	0.00194468	0.0258102	0.0166389	0.208953	0.436312	0.201266	0.00993536	0.0860671
s	0.000133233	2.542e-05	0.00873454	0.00802628	0.00537339	0.00488561	0.0464299	0.151447	0.50436	0.202119	0.0684651
í	4.61437e-05	2.53577e-06	0.00162393	0.00367518	0.00310778	0.00111761	0.00654789	0.0371597	0.304685	0.447438	0.194596
í	0.00111155	6.24885e-06	0.00677932	0.00270639	0.0187318	0.00257448	0.0293066	0.0985863	0.330403	0.286464	0.223331
w	0.00202052	1.42845e-05	0.00108358	0.00308979	0.00417448	0.00154484	0.0171696	0.0570748	0.271056	0.429742	0.21303
a	0.0163024	0.000113649	0.00268467	0.0208282	0.0260015	0.0136802	0.0551791	0.222152	0.228803	0.189072	0.225183
o	0.00101445	4.41609e-05	0.00108785	0.000728806	0.00236021	0.00123905	0.014202	0.0429507	0.129899	0.211625	0.594849
s	1.3179e-05	8.91671e-06	0.00214743	0.00204592	0.00144354	0.00094167	0.00129526	0.00462557	0.0932543	0.771543	0.122681
o	1.09281e-06	2.78127e-06	0.000144212	6.64883e-05	0.000265317	0.000102741	0.000278071	0.00107765	0.00823485	0.973846	0.0159806
s	3.95293e-05	2.34814e-05	0.000304041	0.000297392	0.00176617	0.000820867	0.00208902	0.00577064	0.0417828	0.713289	0.233817
á	5.64231e-05	3.22203e-06	0.000383586	0.00114061	0.00182006	0.00352794	0.00964962	0.0135193	0.0357992	0.783684	0.150416
y	0.00333303	3.07316e-05	0.0015855	0.00564231	0.0124319	0.00312188	0.0451716	0.110212	0.0888672	0.101704	0.627899
í	0.00157986	2.85762e-05	0.00310468	0.00766329	0.00938193	0.0107151	0.0391723	0.0476592	0.0638052	0.217557	0.599333
a	0.00497256	6.88175e-05	0.00165158	0.000870487	0.00893703	0.00113919	0.0194357	0.0470822	0.0396028	0.0631234	0.813116
</S>	0.000502174	2.28292e-05	0.00527254	0.0051345	0.00654041	0.00187035	0.00479382	0.0182861	0.060961	0.115325	0.781291
