 	la	piste	est	bourbeuse	</S>
k	0.443178	0.506287	0.0448383	0.00531284	0.000383783
ó	0.0474713	0.920962	0.00829941	0.0210084	0.00225898
ó	0.0522503	0.856247	0.0206592	0.0166533	0.05419
a	0.121254	0.0383548	0.727649	0.00208315	0.110659
d	0.0680298	0.0467518	0.786425	0.00792493	0.0908684
í	0.00944501	0.000828042	0.0643987	0.00689546	0.918433
l	0.0734236	0.0158029	0.392341	0.0597422	0.458691
o	0.0167377	0.00203213	0.134023	0.065981	0.781227
m	0.00776446	0.000683598	0.015704	0.698695	0.277153
b	0.000713108	0.000199509	0.00218207	0.975914	0.0209916
i	0.00144361	0.0030218	0.00223311	0.902116	0.0911857
n	0.000620245	0.00224018	0.00589259	0.318236	0.673011
g	0.00861721	0.00200379	0.0114651	0.469303	0.50861
a	0.0116729	0.00236069	0.00478452	0.758757	0.222424
</S>	0.0306683	0.00911686	0.195333	0.102096	0.662786
