 	nous	étions	inquiets	pour	ta	maladie	</S>
b	0.902725	0.0392106	0.0313106	0.0118826	0.00983094	0.0047372	0.000302905
í	0.887051	0.0900538	0.0137819	0.00267366	0.00380231	0.0025257	0.000111524
s	0.873965	0.105268	0.00937644	0.0048683	0.00316719	0.00168374	0.00167092
í	0.931928	0.0334126	0.00471956	0.00997538	0.012453	0.00513869	0.00237329
l	0.211597	0.130543	0.0201206	0.0629918	0.0697453	0.0911445	0.413858
é	0.0424151	0.100359	0.0231613	0.0708203	0.0828698	0.0111376	0.669237
d	0.0226817	0.909789	0.0100155	0.0238336	0.011894	0.00525443	0.0165322
z	0.02759	0.913628	0.00385678	0.0205001	0.00690508	0.00140466	0.026115
e	0.0693326	0.871743	0.00115273	0.0154951	0.00958259	0.00120224	0.0314916
l	0.0128172	0.0138898	0.349858	0.0860566	0.082375	0.0908342	0.364169
a	0.00764485	0.00272891	0.433508	0.116914	0.0608406	0.0192008	0.359163
m	0.0134251	0.00896407	0.552332	0.186514	0.0404908	0.0832335	0.115042
b	0.00434283	0.0327525	0.162482	0.699253	0.0288158	0.00871168	0.0636424
a	0.00121921	0.012682	0.6503	0.286497	0.00910269	0.00819898	0.0319994
r	0.00292565	0.0074108	0.48618	0.311065	0.0241332	0.00779483	0.16049
á	0.00331201	0.0121899	0.211674	0.227079	0.0515237	0.0295588	0.464662
a	0.00133755	0.000531446	0.197922	0.588568	0.10652	0.0140399	0.0910815
m	0.00431456	0.00522623	0.0704068	0.714231	0.1385	0.0345566	0.0327647
ó	0.00192677	0.00495443	0.0324131	0.6236	0.117012	0.0325648	0.187529
n	0.00138473	0.0010701	0.0396052	0.44309	0.0897001	0.30724	0.11791
d	0.015631	0.00214663	0.0185099	0.262049	0.363097	0.197526	0.141041
z	0.000799798	0.000979871	0.00480991	0.234432	0.301819	0.203173	0.253986
ó	9.81462e-05	0.000254507	0.0016957	0.339892	0.289441	0.112351	0.256268
r	9.49833e-05	0.000151775	0.00930454	0.072853	0.0777197	0.271684	0.568192
o	7.10187e-05	0.000195066	0.00765002	0.305498	0.153548	0.109985	0.423053
b	0.000622257	9.90842e-05	0.00879712	0.0714683	0.127475	0.113021	0.678517
v	0.0473819	0.000404526	0.0109899	0.143618	0.131247	0.410961	0.255397
ú	0.0275206	0.000293325	0.0180249	0.102639	0.245381	0.425197	0.180944
a	0.000202572	9.89519e-06	0.000637669	0.0811147	0.458924	0.220485	0.238626
y	0.000501494	6.42249e-05	0.00489618	0.0354209	0.286792	0.20448	0.467845
á	0.000571628	0.000917669	0.00186053	0.0675673	0.638529	0.136319	0.154235
n	0.00860007	0.000405334	0.00166501	0.0178563	0.585502	0.308463	0.077508
ω	0.0542257	6.55703e-05	0.000919964	0.0156583	0.366442	0.392638	0.170051
</S>	0.00260572	9.23641e-05	0.000563814	0.0400963	0.155356	0.304043	0.497243
