 	ce	safoutier	me	causera	des	ennuis	</S>
o	0.662888	0.313262	0.0090205	0.0014916	0.0114518	0.00175745	0.000128395
s	0.0065296	0.988304	0.00284027	0.0016876	0.000229523	0.000185757	0.000223448
á	0.0158425	0.977305	0.000589386	0.00586881	2.29265e-05	2.16582e-05	0.000349588
á	0.032154	0.913672	0.0257595	0.00517696	0.00118495	0.000185521	0.0218671
b	0.534259	0.0476233	0.378645	0.00681826	0.0101672	0.000646475	0.0218402
v	0.611256	0.0052195	0.327588	0.00106712	0.039524	0.00151201	0.0138332
ú	0.134308	0.0188644	0.534852	0.0167685	0.232298	0.0129654	0.0499438
b	0.219588	0.0665376	0.645247	0.0228724	0.0406069	0.00113612	0.00401253
ó	0.800373	0.00142437	0.106873	0.00747707	0.0609767	0.00192757	0.0209487
o	0.161937	0.00695146	0.41546	0.231358	0.111649	0.0052426	0.0674019
s	0.0132867	0.00572523	0.0377376	0.930972	0.00414741	0.00419183	0.00393968
i	0.00303332	0.00324174	0.0100106	0.980874	0.000835124	7.18163e-05	0.00193379
á	0.0786815	0.00286471	0.11591	0.75927	0.0202171	0.000857914	0.022199
o	0.0138806	0.000925184	0.254096	0.223064	0.439843	0.0491662	0.0190252
b	0.00435553	0.00154574	0.00499962	0.924995	0.0426978	0.016091	0.00531518
o	0.00344068	0.00241317	0.00239355	0.949801	0.0143376	0.00680338	0.0208104
r	0.00152636	0.00155683	0.00410652	0.905948	0.0109218	0.00462467	0.0713163
á	0.0140795	0.00191967	0.0145537	0.275741	0.0696653	0.0389644	0.585076
n	0.0148336	0.00204814	0.06351	0.0326482	0.495413	0.201569	0.189978
g	0.0204614	6.87259e-05	0.159452	0.00107174	0.291333	0.425671	0.101942
á	0.00644461	0.00109355	0.425048	0.00336314	0.210863	0.246616	0.106572
p	0.00714762	0.000228068	0.00186914	0.00368781	0.226521	0.551593	0.208954
ω	0.00100832	0.000703949	0.000611991	0.00034351	0.0103156	0.957728	0.029289
ω	0.000244001	0.000884277	0.00114597	0.010319	0.0218968	0.846808	0.118701
</S>	0.0130295	0.000670488	0.00557854	0.0123615	0.110956	0.0704985	0.786905
