 	ces	ananas	sont	déjà	pourris	</S>
i	0.907919	0.0741443	0.0172928	0.000533522	4.11556e-05	6.94429e-05
t	0.240016	0.721949	0.0321091	0.00466622	0.000158244	0.00110098
o	0.00457528	0.974637	0.0171994	0.000158348	0.00173827	0.00169132
ó	0.00159579	0.990303	0.00608495	0.000216544	0.000317989	0.00148182
b	0.656587	0.0147283	0.272668	0.0328845	0.00274451	0.0203879
í	0.348885	0.0027995	0.394882	0.0327459	0.0343272	0.18636
í	0.560277	0.0178628	0.198304	0.0255035	0.0262025	0.17185
m	0.0406354	0.000684519	0.362008	0.541167	0.0118504	0.0436541
i	0.0177909	0.000174839	0.112174	0.667649	0.0101521	0.192059
b	0.0041864	0.000802564	0.117335	0.630727	0.14763	0.0993185
ω	0.00168098	0.0010354	0.0474295	0.0244169	0.885145	0.0402927
ω	0.000222178	0.000653434	0.0152931	0.00532286	0.946191	0.0323169
</S>	0.0358938	0.00049343	0.138711	0.0320956	0.184561	0.608245
