 	ce	matin	votre	mère	a	déclaré	avoir	perdu	sa	machette	</S>
n	0.431811	0.50185	0.0436363	0.000548313	0.00547826	0.0129474	0.00124392	0.000964004	0.00131209	0.000120487	8.84326e-05
g	0.274789	0.608781	0.097124	0.0127914	0.00285428	0.00226878	0.00042669	0.000156367	0.000700943	9.46865e-05	1.28485e-05
ó	0.0699628	0.773769	0.0426944	0.110359	0.0011863	0.00162783	5.88555e-05	0.000168883	4.12454e-05	0.000121262	1.01316e-05
o	0.0426682	0.635063	0.0576889	0.249543	0.00150853	0.0103273	0.00017444	0.000486994	0.000342809	0.00130493	0.000891462
y	0.282488	0.312219	0.173493	0.0723457	0.0512408	0.00416649	0.0349751	0.0120319	0.0258344	0.00150048	0.0297044
a	0.492387	0.318578	0.0880341	0.05098	0.0187974	0.00188147	0.0164703	0.00309814	0.00533407	0.00145418	0.002985
b	0.425311	0.119648	0.359799	0.0434075	0.0124647	0.00466545	0.00995944	0.00318536	0.00910245	0.00312326	0.00933438
í	0.0898819	0.0720207	0.715653	0.00186762	0.00732187	0.0738428	0.00506037	0.0207552	0.00411088	0.00585531	0.00363025
n	0.0630732	0.0211974	0.826196	0.00251069	0.0087051	0.0257522	0.00623625	0.01311	0.00791666	0.00216724	0.0231351
í	0.130759	0.0967598	0.429976	0.00802292	0.0209691	0.142312	0.0122902	0.017847	0.0147568	0.00817077	0.118137
á	0.025932	0.165016	0.28009	0.125848	0.260214	0.014778	0.0497898	0.0293115	0.0249873	0.00168242	0.0223511
y	0.00870407	0.015738	0.0678883	0.369199	0.322456	0.0454193	0.0298763	0.0727669	0.0194186	0.0163909	0.0321431
á	0.0536166	0.0541061	0.22253	0.273368	0.291585	0.0255421	0.021275	0.0181156	0.00741274	0.00739067	0.0250582
m	0.120191	0.0126245	0.112851	0.0824257	0.201374	0.122266	0.0405099	0.074254	0.0294987	0.0235789	0.180425
i	0.0344711	0.0193812	0.0419935	0.187818	0.368517	0.159843	0.141877	0.0214449	0.00592337	0.0066718	0.0120592
i	0.0038912	0.00330327	0.0439242	0.0336405	0.3408	0.141803	0.189406	0.0349584	0.0306803	0.00513703	0.172455
b	0.00177482	0.00164559	0.00722176	0.00161521	0.140772	0.675157	0.0853596	0.0482411	0.0125998	0.0096494	0.0159632
v	0.00386067	0.00146041	0.0397191	0.000136741	0.0383082	0.834203	0.0346112	0.0368902	0.00330982	0.0054339	0.00206704
u	0.00011279	2.84473e-05	0.000495964	7.32459e-06	0.00731737	0.951784	0.00805055	0.0265165	0.00337189	0.000626138	0.00168913
n	0.0131382	0.0033287	0.00286214	0.000318982	0.0692292	0.668327	0.152098	0.0503203	0.021347	0.0088266	0.0102036
u	0.00173347	0.000711003	0.000569868	0.000101943	0.0214723	0.920204	0.025323	0.0152956	0.00356885	0.00175023	0.00926992
b	0.00399754	0.0011519	0.00154295	0.000193832	0.102032	0.105474	0.462209	0.137934	0.156422	0.00646125	0.022581
á	0.02047	0.00913382	0.0527588	0.000194952	0.105995	0.180752	0.259997	0.141552	0.174152	0.00905864	0.0459368
w	0.00534081	0.00398632	0.0517983	0.0059275	0.0837741	0.0364329	0.267184	0.176184	0.280364	0.044661	0.0443471
a	0.00395897	0.00953744	0.0390438	0.000889563	0.124238	0.0420888	0.327179	0.22603	0.124017	0.035899	0.0671183
s	0.00068832	0.000832427	0.000929447	0.00150548	0.041649	0.0137673	0.323807	0.257277	0.243135	0.0512627	0.0651469
á	0.0201371	0.0079969	0.00455529	0.000332675	0.0366019	0.0767937	0.340448	0.274942	0.102951	0.0660458	0.0691954
y	0.0157543	0.00372107	0.0271329	0.0048221	0.0246795	0.015261	0.140693	0.0866764	0.404201	0.229029	0.0480293
á	0.00850028	0.0325362	0.0059857	0.00246228	0.0395062	0.00904927	0.178269	0.100769	0.0573954	0.497294	0.0682333
l	0.00251678	0.00433855	0.00504101	0.00194339	0.0265842	0.0099252	0.0709065	0.046649	0.270451	0.524588	0.0370562
o	0.00105313	0.0022848	0.00261147	0.000267174	0.0050821	0.00772906	0.0363954	0.151805	0.0771239	0.561018	0.15463
b	0.00129493	0.00615702	0.000754781	0.000254221	0.0109065	0.00596181	0.0401525	0.0745876	0.0801874	0.661629	0.118114
h	0.000304462	0.00165879	0.00117616	1.04382e-05	0.0103106	0.010445	0.0473307	0.224355	0.329343	0.286509	0.088557
á	0.000646322	0.000378058	0.000164582	3.63827e-06	0.00240168	0.0712488	0.0342838	0.167133	0.0556192	0.539866	0.128255
</S>	0.00193315	0.000434592	0.000156573	3.81753e-05	0.00405416	0.00863816	0.0501746	0.0733133	0.235779	0.0897549	0.535724
