 	il	mérite	d'	être	battu	</S>
w	0.797469	0.183532	0.0119371	0.00501089	0.00185879	0.000192248
a	0.877237	0.0864115	0.00522736	0.0116709	0.0193049	0.000148411
l	0.210463	0.581712	0.142654	0.0268387	0.00899468	0.0293364
á	0.250643	0.0720541	0.184429	0.105284	0.0274426	0.360147
a	0.462947	0.0969585	0.178677	0.103483	0.056393	0.101542
k	0.0131695	0.707772	0.208272	0.0274318	0.00961072	0.0337439
o	0.00751497	0.740219	0.162233	0.0436546	0.0132926	0.0330861
á	0.00597472	0.358697	0.354543	0.0754861	0.0799212	0.125379
l	0.0105234	0.00345847	0.303931	0.430629	0.196832	0.0546269
a	0.00852497	0.00494616	0.384762	0.161221	0.152558	0.287989
l	0.0386272	0.00375308	0.337289	0.131685	0.318134	0.17051
ó	0.0101279	0.00445472	0.15138	0.0547728	0.558589	0.220676
b	0.000735294	0.00341337	0.0621596	0.0166347	0.739857	0.1772
h	0.00151697	0.00406655	0.0492573	0.13675	0.769615	0.0387947
á	0.000517883	0.0079575	0.136613	0.132664	0.593067	0.12918
</S>	0.000808382	0.000317387	0.100659	0.090598	0.153173	0.654444
