 	cet	arbre	ibasa	attire	les	oiseaux	</S>
i	0.375355	0.568637	0.0509908	0.000541189	0.00415881	0.00026169	5.48596e-05
b	0.129059	0.754932	0.111034	0.00335145	0.000839045	0.000200653	0.000583935
á	0.00484075	0.971755	0.0220719	0.00109934	0.000109849	3.67361e-05	8.67358e-05
s	0.00751173	0.911594	0.0595949	0.00150264	0.000524055	0.000169471	0.0191031
a	0.413034	0.483147	0.0679581	0.000741685	0.0135702	0.000209236	0.0213395
d	0.713967	0.0490216	0.138548	0.0206609	0.0220888	0.000125406	0.0555883
í	0.132812	0.00841597	0.415258	0.00540844	0.0133656	0.0321034	0.392637
l	0.050755	0.0283417	0.415153	0.0970425	0.122462	0.00399312	0.282253
í	0.048506	0.00196807	0.120226	0.0111036	0.0255479	0.0179162	0.774732
i	0.124662	0.0261155	0.429248	0.0919474	0.0915379	0.0963745	0.140114
p	0.00229194	0.00529854	0.061763	0.877626	0.0189945	0.0101048	0.0239216
f	0.00017696	0.000986761	0.0134719	0.976636	0.0022142	0.000408018	0.00610634
u	0.000985043	0.0023936	0.0306488	0.923136	0.0149466	0.000724888	0.027165
b	0.0183698	0.0137606	0.112348	0.628038	0.121355	0.018416	0.087713
h	0.0204908	0.0251228	0.330164	0.291719	0.176382	0.00874184	0.147378
á	0.0725157	0.0417144	0.101247	0.165369	0.156718	0.0223528	0.440084
a	0.00710545	0.00228935	0.0124319	0.0396771	0.779199	0.0754178	0.083879
n	0.0120185	0.0246181	0.0574562	0.0730904	0.186205	0.488083	0.158529
y	0.00568199	0.00118784	0.00611449	0.00086577	0.0124572	0.938065	0.0356281
ω	0.000733021	0.00018849	0.00258376	0.000582382	0.00526806	0.9719	0.018744
s	9.04979e-05	0.000812284	0.00182463	0.000932513	0.00288971	0.973196	0.0202539
í	0.00324684	0.00163425	0.00887348	0.0176311	0.0504093	0.143445	0.77476
</S>	0.0200891	0.00536575	0.00789631	0.0157998	0.23277	0.0386068	0.679473
