 	non	je	n'	en	mange	pas	</S>
k	0.624555	0.126994	0.213092	0.0180524	0.00611442	0.00464072	0.00655163
a	0.850711	0.0869441	0.0456585	0.00398452	0.00137728	0.00941638	0.00190779
á	0.38935	0.0782602	0.297934	0.0920994	0.0255488	0.00602673	0.110781
i	0.0885356	0.224187	0.499479	0.0425164	0.020695	0.00229454	0.122293
d	0.0423185	0.0314841	0.471177	0.315739	0.0664561	0.012229	0.0605964
í	0.0039792	0.00372847	0.386806	0.184508	0.176238	0.0100512	0.234689
o	0.0212422	0.0194452	0.181714	0.239081	0.162432	0.0506776	0.325408
d	0.00252997	0.000960005	0.0216894	0.364409	0.565883	0.0279147	0.0166135
z	0.00083807	0.000363039	0.0150533	0.231166	0.665631	0.0449155	0.0420329
á	0.00601219	0.0096297	0.0801648	0.278069	0.445343	0.105828	0.0749527
a	0.0143609	0.00639168	0.183237	0.139703	0.160695	0.178652	0.316961
k	0.00395597	0.0132463	0.0724097	0.191432	0.450843	0.141001	0.127111
a	0.0323655	0.000642225	0.0145955	0.224899	0.131524	0.364191	0.231783
á	0.00571087	0.00211944	0.0174106	0.0581218	0.0808354	0.285502	0.5503
</S>	0.00236311	0.0033643	0.0194803	0.040235	0.137614	0.295399	0.501544
