 	ce	jeune	garçon	a	une	large	pomme	d'	adam	</S>
m	0.24711	0.738317	0.0108627	0.00233073	0.00059438	0.000249286	1.66947e-05	0.000460572	4.04586e-05	1.78376e-05
w	0.00750601	0.980138	0.0121293	8.11666e-05	3.68837e-05	3.01194e-05	1.01501e-05	1.53012e-05	8.28742e-06	4.50153e-05
á	0.00450396	0.972348	0.0230499	2.93855e-05	2.47768e-05	8.67573e-06	5.21749e-06	1.80343e-06	2.29369e-05	5.69009e-06
n	0.0500085	0.886765	0.0623623	0.000211296	5.76921e-05	3.78915e-05	9.02386e-06	2.45101e-05	9.71468e-05	0.000426196
a	0.0139846	0.655759	0.305307	0.0111238	0.00134112	0.00043225	0.000247673	0.000212141	0.00179978	0.00979279
i	0.580272	0.129051	0.0971282	0.0616353	0.0309928	0.0150978	0.0288045	0.0235595	0.00441126	0.0290467
b	0.0497169	0.0689646	0.478051	0.108526	0.160565	0.0723265	0.0311789	0.00681148	0.0111548	0.0127053
a	0.00303969	0.0192368	0.872731	0.0391046	0.0313552	0.00424822	0.00397657	0.0019272	0.0177947	0.00658579
a	0.131777	0.0130879	0.395876	0.123672	0.0987078	0.0295507	0.0323435	0.00746753	0.00904828	0.15847
w	0.0314146	0.00546854	0.0606565	0.646172	0.152008	0.0274269	0.0157369	0.0107889	0.00123944	0.0490881
ó	0.0134865	0.00113457	0.0165075	0.460639	0.30117	0.0751092	0.0111688	0.0332563	0.0102439	0.0772848
a	0.0217336	0.00199487	0.0176336	0.635716	0.20115	0.0424895	0.0047112	0.0127962	0.00180647	0.0599688
d	0.00347364	8.24966e-05	0.0026128	0.139985	0.49512	0.176626	0.146828	0.0109427	0.0017355	0.0225937
í	0.00643896	0.000391851	0.000700776	0.168115	0.470268	0.113684	0.192813	0.00788671	0.00102393	0.0386775
l	0.0200244	0.00176502	0.00139269	0.0764587	0.310208	0.234765	0.210138	0.0654078	0.00700547	0.0728344
e	0.000948346	0.000237176	0.00203841	0.144871	0.249741	0.312752	0.0838267	0.023833	0.00992714	0.171825
l	0.00358094	0.000221734	0.00107623	0.0254209	0.136056	0.285922	0.410371	0.0201517	0.0594607	0.0577382
ó	0.0010854	9.30489e-05	0.00066717	0.00668664	0.0884128	0.343003	0.461896	0.0198658	0.0464848	0.0318046
o	0.000665742	7.73937e-05	0.000334381	0.00683946	0.0787288	0.513772	0.282436	0.0226858	0.0803194	0.0141413
g	0.00149501	5.10502e-05	7.04736e-05	0.00405435	0.0273175	0.162631	0.580377	0.119252	0.058135	0.0466167
h	0.0150392	6.64997e-05	2.50542e-05	0.00282142	0.0268612	0.0759143	0.434964	0.0710914	0.153562	0.219655
ó	0.0122835	0.000327514	5.32317e-05	0.00247201	0.0177667	0.0463112	0.333878	0.0951363	0.380882	0.11089
e	0.00136828	5.81123e-05	4.67197e-05	0.00397461	0.0159527	0.0525872	0.147571	0.210619	0.274014	0.293809
n	0.00201187	3.32554e-05	0.000151045	0.00465887	0.0138418	0.0577126	0.0577382	0.325711	0.223155	0.314987
έ	0.0227631	0.000758303	0.000502965	0.00280388	0.00407177	0.0101481	0.0085696	0.0683802	0.754194	0.127808
</S>	0.000865928	0.000177433	0.000159178	0.003583	0.00437551	0.0298486	0.0260639	0.154806	0.295354	0.484766
