 	elle	est	d'	un	m'	as-tu-vu	terrible	</S>
w	0.492314	0.133918	0.13446	0.203273	0.033595	0.0013051	0.000303741	0.000831779
a	0.596914	0.0315825	0.0356195	0.0941491	0.240441	0.000522116	0.000225027	0.000546154
a	0.160526	0.420116	0.153899	0.116545	0.0513732	0.0332406	0.0292281	0.0350731
d	0.0526687	0.263911	0.225043	0.100717	0.134737	0.131903	0.0309761	0.060045
í	0.0209611	0.448028	0.296964	0.0740275	0.0407468	0.0210425	0.00449947	0.0937307
l	0.022265	0.144984	0.223859	0.188241	0.122944	0.0719295	0.0464098	0.179368
a	0.0704523	0.104496	0.222453	0.244377	0.176867	0.0218452	0.0138459	0.145662
l	0.103858	0.164833	0.203698	0.308617	0.0927691	0.0401265	0.0250742	0.0610252
e	0.0110772	0.108135	0.204982	0.279701	0.116325	0.0924466	0.0690799	0.118254
t	0.00588369	0.0464063	0.131556	0.474498	0.067913	0.116299	0.0740337	0.0834113
á	0.0196259	0.0600082	0.168179	0.459932	0.0214729	0.212215	0.0334025	0.0251642
á	0.0315655	0.0899874	0.14088	0.148248	0.0669379	0.208114	0.133199	0.181068
m	0.0360077	0.0568437	0.0648328	0.0509571	0.381105	0.226018	0.0818097	0.102426
á	0.0424635	0.0675348	0.0775258	0.0983481	0.109459	0.076492	0.0772158	0.450961
l	0.0236313	0.0348719	0.118821	0.15811	0.202403	0.2103	0.205152	0.0467109
í	0.0110346	0.0268279	0.0572509	0.036725	0.274113	0.0876117	0.222191	0.284246
í	0.0138485	0.0134787	0.0469996	0.103776	0.235056	0.137921	0.289761	0.15916
p	0.00237941	0.0263207	0.045763	0.0223802	0.019022	0.155312	0.679084	0.0497385
é	0.000264376	0.0141381	0.0307102	0.0125379	0.00425636	0.0836089	0.801715	0.0527696
n	9.08952e-05	0.00197422	0.00639368	0.00275702	0.000876926	0.02032	0.861292	0.106295
d	0.000628328	0.00472013	0.0159041	0.010924	0.00516556	0.0338817	0.594874	0.333902
í	0.00342338	0.00753973	0.0389405	0.0885498	0.0977388	0.0344772	0.246404	0.482926
</S>	0.00599395	0.00738248	0.0267485	0.0524034	0.0372404	0.0273463	0.143859	0.699026
