 	le	désespoir	lui	a	brouillé	la	cervelle	</S>
i	0.589447	0.330465	0.0628141	0.00701099	0.00628961	0.00305033	0.000640153	0.000283668
k	0.00614827	0.991917	9.73782e-05	4.09535e-05	0.000436406	0.000124208	0.00113532	0.000100379
á	0.00209555	0.996966	0.000124815	5.21374e-05	0.000204306	5.75014e-05	0.000188914	0.00031048
m	0.00284686	0.98786	0.00149656	0.00068343	0.00106404	0.00222851	0.00107552	0.00274469
b	0.22295	0.746017	0.0259033	0.000546286	0.000420753	0.000992709	8.59712e-05	0.00308374
í	0.390016	0.544612	0.0235196	0.00144671	0.00670941	0.00418162	0.000261479	0.0292528
í	0.10143	0.294611	0.202576	0.192483	0.0236734	0.0497756	0.00412774	0.131324
m	0.0535175	0.00697828	0.0487747	0.386824	0.337515	0.067012	0.0042164	0.0951626
i	0.110062	0.0184459	0.0302236	0.198149	0.299005	0.291705	0.00305063	0.0493591
y	0.00716535	0.0126285	0.00404814	0.0497492	0.792729	0.0756034	0.0321416	0.0259351
í	0.0116605	0.00374426	0.00288965	0.0845756	0.814388	0.0548581	0.00401105	0.0238728
á	0.00335072	0.00171871	0.0468592	0.382566	0.328055	0.0770556	0.00133918	0.159056
w	0.00708511	0.00151362	0.167594	0.239777	0.166333	0.383671	0.0182026	0.0158245
á	0.0147271	0.0148933	0.338909	0.30243	0.223809	0.0782038	0.00296746	0.0240611
i	0.0335536	0.00739286	0.456621	0.14715	0.142838	0.114754	0.0407593	0.0569316
b	0.00333893	0.0117994	0.00641842	0.0181726	0.130681	0.192445	0.568346	0.0687983
o	0.0125838	0.0463941	0.000798901	0.0030496	0.0153495	0.0856294	0.807091	0.0291039
ó	0.000159586	0.000787745	0.000105121	0.000573643	0.00299906	0.0228052	0.938589	0.0339806
o	0.00791002	0.000337801	0.00321093	0.00353307	0.00757713	0.23972	0.117385	0.620326
t	0.0389522	0.00558243	0.00213058	0.00200229	0.0117349	0.480853	0.225141	0.233603
s	0.00268696	0.00738158	0.0004457	0.000643872	0.00490576	0.066644	0.832519	0.0847734
a	0.00542354	0.0037266	0.00212148	0.00214737	0.00644979	0.0433532	0.841642	0.0951361
</S>	0.0105934	0.00183662	0.00317773	0.00353701	0.0104519	0.07866	0.0755098	0.816234
