 	le	bâton	que	tu	as	introduit	dans	le	terrier	du	blaireau	s'	est	cassé	</S>
s	0.467235	0.268334	0.142766	0.0248009	0.0259176	0.00686529	0.0113188	0.010404	0.0204547	0.0114309	0.00697623	0.00232799	0.000578189	0.000451947	0.000139007
ω	0.126245	0.228418	0.0304559	0.0101894	0.162447	0.372741	0.0120063	0.0141517	0.00378766	0.00681391	6.32062e-05	0.00235514	0.0029466	0.00859036	0.0187883
ω	0.20282	0.364332	0.112047	0.00698461	0.00368941	0.216903	0.0140936	0.0135367	0.00226154	0.0134144	0.00494909	0.00334761	0.00173704	0.0123768	0.0275078
l	0.295426	0.173769	0.176306	0.00268153	0.000861656	0.049232	0.113077	0.0503197	0.0147029	0.0232747	0.0133993	0.029069	0.0110764	0.00827822	0.0385278
í	0.0850413	0.0208374	0.120839	0.0116592	0.00429466	0.105481	0.138745	0.0603417	0.0459295	0.0369296	0.0117633	0.0285895	0.021121	0.00280428	0.305624
í	0.177742	0.0136469	0.327536	0.054	0.0254238	0.134491	0.0431339	0.0256029	0.0242629	0.0455346	0.0109247	0.0114691	0.00646944	0.00230607	0.097457
k	0.036773	0.00398026	0.011527	0.0110418	0.0101123	0.184644	0.332889	0.216857	0.0645045	0.052353	0.0158583	0.010006	0.0172685	0.00826567	0.0239196
a	0.00864938	0.0339786	0.0086233	0.000561974	0.000320987	0.13367	0.14629	0.238071	0.0704232	0.0803429	0.208353	0.0145824	0.00316158	0.0388851	0.0140873
n	0.0126261	0.0340797	0.0173144	0.00231811	0.00103098	0.0525175	0.196946	0.287211	0.143237	0.123881	0.0874122	0.0144456	0.00249125	0.00511836	0.0193707
í	0.112969	0.0210995	0.023965	0.0136153	0.0113365	0.227959	0.156786	0.143461	0.0819073	0.116054	0.0518472	0.0151933	0.00189259	0.00279194	0.0191226
n	0.0183551	0.00179605	0.0958942	0.185639	0.0709024	0.0171916	0.126447	0.0825958	0.213999	0.141716	0.0186322	0.0141335	0.00657211	0.000597185	0.00552942
ω	0.00371304	0.00108678	0.013268	0.113205	0.255195	0.269895	0.0338705	0.0679168	0.100691	0.102832	0.00578309	0.00286157	0.00095939	0.000327022	0.0283951
k	0.00288605	0.000728606	0.0293954	0.0236673	0.0101866	0.0391615	0.0985378	0.124635	0.218821	0.313019	0.0608731	0.026927	0.0135351	0.00393916	0.0336868
ó	0.0201794	0.00135635	0.0105109	0.00275861	0.00149209	0.00954634	0.0106352	0.0167456	0.035828	0.204017	0.632522	0.037596	0.00186419	0.00206546	0.012883
l	0.00104605	0.000270776	0.0149625	0.00510462	0.00186185	0.00640388	0.0199297	0.0170186	0.0529249	0.241308	0.475954	0.116625	0.0139608	0.00348306	0.0291467
ó	0.00799275	0.0050546	0.0113186	0.0169813	0.0371798	0.0299009	0.0487711	0.060405	0.076109	0.1906	0.285273	0.0972766	0.0276635	0.010281	0.0951931
í	0.00698	0.00147062	0.010291	0.00624496	0.00590838	0.0092845	0.0288383	0.0134041	0.0292262	0.129239	0.229246	0.252541	0.154971	0.0198322	0.102523
m	0.0218048	0.00207375	0.00498333	0.00139253	0.00686406	0.00265001	0.0419165	0.0188298	0.019637	0.0214129	0.0145614	0.115483	0.62369	0.0299684	0.0747329
i	0.0122747	0.00249162	0.000712782	0.000360647	0.00104083	0.000154199	0.0226103	0.0181157	0.00394943	0.00866009	0.00117103	0.111292	0.641742	0.0724323	0.102993
s	0.00499404	0.00353194	0.000147569	1.09144e-05	8.4535e-05	0.00216399	0.00525275	0.00655176	0.00167848	0.00815489	0.0315269	0.0602164	0.31156	0.474111	0.0900148
á	0.00201886	0.011449	0.000334268	0.000123886	0.000871484	0.00141965	0.019262	0.0278692	0.00322571	0.00740159	0.00554568	0.0142773	0.29775	0.454992	0.15346
á	0.00300085	0.00038726	0.00245842	0.0028598	0.0141629	0.000436184	0.0119124	0.0180622	0.00723133	0.0431698	0.0326829	0.0972064	0.216259	0.0979261	0.452244
o	0.00194716	0.000389613	0.00674104	0.00587235	0.00987989	0.00435717	0.00857235	0.00913353	0.00643116	0.0223503	0.0105891	0.150075	0.402685	0.282263	0.0787136
b	0.00174965	0.00378831	8.14376e-05	8.1367e-06	6.48165e-05	0.000270621	0.00214267	0.00130595	0.000262452	0.000484251	0.00224867	0.00465801	0.0819356	0.872448	0.0285512
v	0.000215007	0.00307491	0.000264282	2.15701e-05	4.99949e-05	0.000166096	0.00468993	0.0116556	0.00252196	0.00110322	0.00119411	0.00830478	0.0385791	0.911964	0.0161949
ú	0.000313159	0.000382142	7.2252e-05	1.72097e-05	6.56335e-05	6.4485e-05	0.000758763	0.00318427	0.00113446	0.00102646	0.00133689	0.0128188	0.0179637	0.952781	0.00808087
n	0.00131692	0.000357653	0.000269178	0.000512044	0.00361991	0.000194395	0.000764428	0.00389703	0.00374618	0.00545653	0.00319864	0.0246945	0.0348268	0.738416	0.17873
y	0.0023344	0.000557017	0.000850458	0.00143587	0.00949639	0.00201261	0.00196646	0.0128961	0.00168818	0.00633141	0.00098452	0.0107788	0.0143955	0.849203	0.0850692
a	0.000795633	0.000378349	0.000649023	0.00072221	0.00402735	0.00132014	0.000831908	0.00774118	0.00151179	0.00888457	0.00972967	0.0225364	0.0062266	0.789608	0.145037
</S>	0.0106409	0.00829828	0.0126455	0.00513323	0.0110092	0.00790258	0.00794843	0.0112242	0.015325	0.0247197	0.00527728	0.0746307	0.0519219	0.126649	0.626674
