 	la	voiture	qui	vient	de	passer	m'	a	éclaboussée	</S>
o	0.883964	0.0772049	0.0224035	0.00478893	0.00347132	0.000895503	0.00282442	0.00406975	0.000162941	0.00021516
t	0.194143	0.727395	0.0294381	0.009824	0.00627602	0.0135618	0.00591985	0.00389815	0.00521303	0.00433122
ω	0.0221896	0.909838	0.00852045	0.000816495	0.00722353	0.0430889	0.000242835	0.000830557	0.00503337	0.00221619
m	0.0302489	0.82578	0.0203601	0.00119044	0.00535172	0.103786	0.000650815	0.00263344	0.0021487	0.00784944
b	0.0300379	0.897817	0.0272761	0.00198494	0.00636748	0.00657165	0.000405978	0.000899147	0.00119111	0.0274488
í	0.150697	0.365173	0.023335	0.0126585	0.0507529	0.0949348	0.00365778	0.0151022	0.0138187	0.26987
l	0.134125	0.0379235	0.44293	0.0804901	0.042297	0.00671707	0.0253566	0.016119	0.0058176	0.208225
i	0.475633	0.0215635	0.0891379	0.0462856	0.0280289	0.017557	0.163556	0.039563	0.00403054	0.114644
m	0.114048	0.00737785	0.443194	0.26811	0.0971298	0.0122234	0.0179166	0.0163297	0.00300859	0.0206621
ó	0.234347	0.0265402	0.22941	0.317882	0.13545	0.00910953	0.00457873	0.0078529	0.0236928	0.0111373
o	0.236514	0.00634719	0.306218	0.131926	0.175018	0.0878658	0.00584282	0.0152605	0.0126589	0.0223487
l	0.0118021	0.00506017	0.0115404	0.0317988	0.121868	0.801998	0.000401499	0.00149558	0.00927897	0.00475627
e	0.00482219	0.0172824	0.00687084	0.00605393	0.025511	0.905012	0.000367112	0.000539202	0.00387413	0.0296675
í	0.0270857	0.0199353	0.0712663	0.0196546	0.283317	0.508529	0.000709849	0.00458659	0.0120919	0.0528237
m	0.00567832	0.000704429	0.0317948	0.213997	0.349907	0.0511827	0.121695	0.188497	0.0220903	0.0144541
ú	0.0143068	0.0124094	0.0283511	0.17934	0.155242	0.0161106	0.01547	0.0509604	0.462781	0.065029
ó	0.00419534	0.00151679	0.0100964	0.0345872	0.169523	0.0995149	0.0194573	0.102831	0.333981	0.224298
m	0.0130857	0.0038929	0.00521386	0.0223621	0.100694	0.169304	0.0298033	0.229821	0.289108	0.136715
w	0.00229626	0.00303016	0.00456618	0.0142647	0.0836118	0.0145707	0.00469421	0.0656566	0.715056	0.0922532
a	0.00109643	0.00507243	0.00455425	0.04853	0.0772963	0.0225158	0.0127762	0.0663595	0.69659	0.0652086
i	0.0022824	0.000520754	0.00494012	0.0143167	0.0499645	0.0204332	0.0280543	0.159146	0.314091	0.406252
n	0.00524542	0.00106511	0.00247127	0.00892833	0.0264248	0.0247586	0.0365675	0.286645	0.0689084	0.538985
g	0.0244572	0.00196524	0.0344183	0.049183	0.0234618	0.0164209	0.622885	0.108026	0.00440784	0.114775
á	0.000676968	0.00396844	0.00822406	0.0321753	0.0231097	0.0123314	0.689848	0.0666459	0.00867766	0.154342
m	0.00221687	0.000399512	0.00417437	0.00752219	0.0220508	0.0129016	0.0762348	0.228968	0.0551457	0.590386
á	0.00750829	0.00706685	0.0248057	0.00688771	0.0457104	0.00449475	0.0153267	0.21672	0.400425	0.271054
a	0.00243465	0.00182351	0.00709547	0.00560836	0.0252269	0.0158322	0.0479133	0.194727	0.223609	0.47573
</S>	0.00346713	0.00282362	0.00351553	0.00811646	0.0488469	0.11989	0.0173944	0.256676	0.106914	0.432356
