 	l'	homme	avala	de	travers	</S>
m	0.694892	0.268653	0.025217	0.00644129	0.00220852	0.00258887
o	0.413088	0.375886	0.0486939	0.0190557	0.0291605	0.114116
r	0.499657	0.476156	0.00206886	0.00250311	0.00288608	0.0167296
o	0.805059	0.144522	0.000973726	0.00157318	0.0319491	0.0159226
b	0.715016	0.206013	0.00645683	0.00569145	0.00296457	0.0638577
e	0.193744	0.0519628	0.256395	0.022576	0.0159874	0.459335
a	0.190036	0.335867	0.222474	0.0467054	0.0195461	0.185373
í	0.0373131	0.0542661	0.533024	0.202735	0.0141276	0.158533
k	0.00812815	0.0328466	0.510575	0.316382	0.0360377	0.0960304
á	0.00358614	0.035087	0.525515	0.209698	0.0247212	0.201392
b	0.00113748	0.0142547	0.252561	0.365716	0.0363137	0.330018
h	0.0346938	0.00747538	0.194788	0.169369	0.204083	0.389591
í	0.121329	0.105936	0.169062	0.0937139	0.04587	0.464088
l	0.0114639	0.00854908	0.101385	0.301669	0.250999	0.325934
í	0.00320538	0.00422227	0.024081	0.198168	0.304529	0.465794
m	0.0191706	0.00412479	0.0200503	0.0682499	0.73258	0.155824
ó	0.0302403	0.0264348	0.0119921	0.113271	0.536739	0.281323
o	0.0900412	0.0101575	0.0147646	0.142942	0.452703	0.289392
n	0.00204784	0.00249941	0.0239614	0.248366	0.365006	0.35812
g	0.00517111	0.000761506	0.000910908	0.0171979	0.869212	0.106747
o	0.00211217	0.00115247	0.00130714	0.0290822	0.690033	0.276313
n	0.000498817	0.000275031	0.000401792	0.0111409	0.693577	0.294106
g	0.015308	0.00556939	0.00332304	0.0566942	0.52481	0.394296
a	0.0162434	0.00220163	0.00159597	0.0255914	0.648903	0.305464
</S>	0.0415444	0.0119145	0.0287573	0.102665	0.370436	0.444683
