 	cet	homme	qui	vient	du	vil	lage	d'	okoungou	a	une	barbe	touffue	</S>
m	0.621152	0.330938	0.0269979	0.00138453	0.00741244	0.00813503	0.00093687	0.00104905	3.36687e-05	9.46266e-05	0.000370948	0.00108874	0.000359045	4.71841e-05
o	0.837359	0.0629315	0.0756093	0.00704602	0.00415654	0.00304104	0.000151522	0.000626872	0.000557504	0.000563244	0.00087135	0.00514723	0.000812406	0.00112671
r	0.881201	0.0815398	0.0165376	0.00976241	0.00603573	0.00229485	0.000406265	0.00074384	0.000615609	0.000108051	7.37081e-05	0.000123395	7.03352e-05	0.000487112
o	0.582719	0.048981	0.0439987	0.0092036	0.0259186	0.0200116	0.0143032	0.0179514	0.0348927	0.0242338	0.018552	0.0430977	0.0127244	0.103412
y	0.602447	0.15488	0.18552	0.031626	0.00363956	0.00400794	0.00154559	0.00346795	0.000837588	0.00221582	0.000983397	0.000571684	0.000151039	0.00810649
e	0.351755	0.14405	0.197832	0.0727685	0.027926	0.0270033	0.0375091	0.0454311	0.0514538	0.0172952	0.00665704	0.00310367	0.00206932	0.015146
e	0.141972	0.041076	0.416246	0.146268	0.0446578	0.0681445	0.0204509	0.02299	0.0173165	0.014037	0.00771159	0.0108929	0.00527512	0.0429613
w	0.0276465	0.0824459	0.034615	0.554691	0.12919	0.0125954	0.0489549	0.00865975	0.0456935	0.0133446	0.00951295	0.000826259	0.00380461	0.0280198
ú	0.00942902	0.103145	0.0248521	0.214214	0.350387	0.080994	0.0739528	0.0151272	0.0601325	0.0211234	0.0100384	0.00301906	0.00427488	0.0293111
r	0.0575664	0.0089856	0.0465235	0.0994553	0.366266	0.0685129	0.0921986	0.0267336	0.0461493	0.0173038	0.0298688	0.0171965	0.0335169	0.0897228
ú	0.121177	0.011776	0.062798	0.019454	0.357627	0.331556	0.0143458	0.0327864	0.00347284	0.00649641	0.0100601	0.0101994	0.00776742	0.0104839
o	0.0114051	0.00766813	0.147676	0.0835206	0.153033	0.493719	0.0602044	0.0195675	0.00352078	0.00586791	0.003146	0.00132045	0.000539957	0.00881173
k	0.00148982	0.00403282	0.0222927	0.203888	0.296075	0.100978	0.278122	0.0268685	0.0316815	0.015738	0.00632523	0.000776998	0.00238889	0.00934411
u	0.000769993	0.00641029	0.00343323	0.0206735	0.38063	0.0685628	0.427703	0.0272732	0.0195459	0.00899878	0.0104589	0.00115322	0.00597249	0.018415
n	0.00348569	0.00109689	0.00374694	0.00777886	0.344536	0.156945	0.380986	0.0130042	0.0114007	0.00456963	0.0134684	0.0046551	0.011796	0.0425308
g	0.0119371	0.000887519	0.0144847	0.00686643	0.487452	0.376633	0.044115	0.021073	0.0052774	0.00503223	0.0047453	0.00795756	0.00295052	0.010588
ú	0.0139958	0.00346092	0.0181035	0.0027451	0.211685	0.694516	0.0173092	0.0124299	0.00341526	0.00300834	0.0029646	0.00819647	0.00436113	0.00380811
w	0.00154875	0.000503479	0.0359548	0.0368885	0.133125	0.219744	0.106366	0.346601	0.0350657	0.0445401	0.012866	0.0036188	0.00161298	0.0215645
ó	0.00692162	0.0134037	0.0535733	0.0181964	0.0915416	0.172676	0.0815369	0.184869	0.213818	0.0771854	0.0211227	0.00764095	0.00569026	0.051824
a	0.00356413	0.000683841	0.0051848	0.00360504	0.0113297	0.0117321	0.204841	0.369662	0.155329	0.10742	0.0319527	0.00895988	0.0129585	0.0727775
d	0.000772536	0.00192867	0.011675	0.0364863	0.0312103	0.0167524	0.0211155	0.318018	0.188	0.267662	0.0600525	0.00441325	0.00458918	0.0373244
í	0.000787658	0.000108952	0.00242589	0.0108153	0.0116071	0.011593	0.00778393	0.136625	0.16859	0.290105	0.159367	0.0148994	0.00811365	0.177178
l	0.000717439	5.35473e-05	0.00383207	0.00223122	0.0102695	0.0142904	0.0179345	0.165472	0.098001	0.197825	0.255606	0.0354526	0.0564378	0.141877
a	8.94828e-05	0.000285644	0.000913874	0.00292648	0.00462419	0.00376439	0.00475712	0.0734974	0.246447	0.329858	0.122137	0.0276253	0.0133563	0.169717
n	0.00119831	0.000219711	0.00185168	0.00082473	0.00549193	0.00840254	0.00774337	0.0752667	0.235969	0.20396	0.116486	0.0703966	0.187889	0.0843005
d	0.00129573	0.000149494	0.000698541	0.000634614	0.00814032	0.0161079	0.00187475	0.0515508	0.223432	0.2061	0.108896	0.22112	0.0999087	0.0600911
ε	0.000685374	9.12653e-05	0.00119073	0.00113986	0.00225457	0.00728075	0.00514697	0.0313388	0.343279	0.168543	0.127171	0.180434	0.0748125	0.0566315
l	9.05194e-05	2.6539e-05	0.000313463	0.000436321	0.00461087	0.0152415	0.00235038	0.0268476	0.0668281	0.0910058	0.111274	0.520459	0.1259	0.0346154
i	0.000104683	8.63491e-05	0.000262389	0.000149128	0.00576693	0.0047436	0.00191353	0.0373198	0.143583	0.2178	0.303589	0.12714	0.0824745	0.0750671
k	0.000133183	2.87512e-05	0.000395816	6.74039e-05	0.00177414	0.00124074	0.000580795	0.038398	0.0435627	0.196301	0.291649	0.126046	0.101643	0.198179
a	0.000579592	0.000538182	0.000763642	0.000219225	0.00334653	0.0067765	0.0044351	0.0116581	0.0449572	0.10286	0.305413	0.0956938	0.164342	0.258417
s	5.61544e-05	0.000129203	0.000194448	0.000168139	0.00210814	0.00202822	0.00813007	0.0216382	0.0331119	0.117073	0.32106	0.0488315	0.163051	0.28242
ó	0.000147882	2.64678e-05	4.81336e-05	3.87723e-05	0.00119024	0.000636017	0.0015505	0.00866117	0.0150684	0.076617	0.305795	0.132481	0.347321	0.110419
o	0.00011228	7.70432e-05	0.000800944	0.000397905	0.00091777	0.00133833	0.00138084	0.0175494	0.0156905	0.105445	0.202295	0.122451	0.172594	0.35895
</S>	0.000152265	6.60681e-05	0.00111234	0.00163756	0.00813836	0.00180368	0.000733972	0.00550556	0.0108742	0.0553742	0.321945	0.053795	0.331348	0.207514
