 	ongondo	s'	est	réveillé	</S>
o	0.947472	0.0402788	0.00433363	0.00509827	0.00281737
n	0.858209	0.06408	0.0286164	0.0445938	0.0045008
g	0.981129	0.0055843	0.000682253	0.00446886	0.00813513
o	0.996626	0.00171184	0.000213446	0.00100571	0.000443378
n	0.980353	0.00551114	0.00128156	0.00816337	0.00469137
d	0.559436	0.133023	0.0172143	0.059733	0.230594
o	0.896988	0.0215295	0.00200655	0.0146264	0.0648496
á	0.137542	0.497163	0.252301	0.0566464	0.0563468
m	0.0367645	0.284936	0.467551	0.131514	0.0792352
i	0.003198	0.204416	0.613376	0.0661089	0.112901
s	0.00480915	0.0715845	0.559056	0.315972	0.0485786
é	0.00340784	0.118369	0.524269	0.240561	0.113393
é	0.000860833	0.0241652	0.333759	0.272306	0.368909
m	0.00253243	0.0491877	0.311785	0.410075	0.22642
á	0.00121851	0.147406	0.255102	0.105506	0.490766
á	0.00673369	0.0647481	0.164851	0.319592	0.444076
f	0.00224381	0.0170572	0.147463	0.429328	0.403908
u	0.000543998	0.011547	0.0643754	0.777981	0.145553
l	0.00143127	0.00890897	0.0717126	0.583748	0.334199
ú	0.00176025	0.00453671	0.100735	0.469074	0.423894
</S>	0.000687417	0.00568644	0.128924	0.263955	0.600748
