 	faites-moi	passer	j'	amène	mon	enfant	aux	urgences	à	l'	hôpital	</S>
l	0.974017	0.00772072	0.00439905	0.00203398	0.00362808	0.00175784	0.00307172	0.000232121	0.000658235	0.00197831	0.000369876	0.000133178
é	0.984401	0.00524813	0.0028365	0.00431178	0.00229317	0.000467164	7.92569e-05	2.33944e-05	3.43832e-05	0.000163071	1.96454e-05	0.000122669
l	0.67018	0.280759	0.018247	0.00980035	0.0103764	0.0037935	0.00123986	0.000103551	0.000665059	0.00151808	0.000113382	0.00320382
e	0.264459	0.29749	0.0764293	0.0491503	0.0680517	0.0115085	0.0164321	0.0019831	0.0238397	0.042726	0.00141347	0.146516
e	0.168825	0.703758	0.0374162	0.0332114	0.0180911	0.00318384	0.00363132	0.00181054	0.0033982	0.00692877	0.00172973	0.0180158
s	0.00828722	0.882582	0.0325485	0.0470158	0.00228855	0.00312997	0.00111029	0.00542759	0.00274575	0.00121813	0.00152269	0.012124
á	0.00384464	0.802393	0.111468	0.0642168	0.0111838	0.000479047	0.00037739	6.00441e-05	0.000937653	0.000701405	3.67044e-05	0.00430087
n	0.00291222	0.0876579	0.633314	0.139857	0.0710317	0.0320177	0.00686005	0.00180744	0.00203532	0.00242405	0.0007401	0.0193421
g	0.0410179	0.189122	0.293679	0.170443	0.201118	0.0190991	0.0104652	0.00514444	0.00677354	0.00916983	0.00151312	0.0524549
á	0.0184613	0.0338831	0.448969	0.108914	0.229627	0.0449355	0.0166809	0.00452226	0.0035219	0.00526689	0.00166852	0.0835502
l	0.0044978	0.0484842	0.211159	0.286077	0.217883	0.0781194	0.0714171	0.0126301	0.0280921	0.0276942	0.00134793	0.0125981
í	0.00717217	0.0235528	0.16804	0.407574	0.213455	0.0297085	0.0257723	0.0175484	0.0199533	0.0121204	0.00387155	0.0712315
i	0.015188	0.0447394	0.0780811	0.32435	0.249892	0.168855	0.0532527	0.0164892	0.0153685	0.00836496	0.00569801	0.0197225
b	0.00654666	0.0194594	0.0135833	0.535712	0.191437	0.0220807	0.0301962	0.107235	0.0142248	0.00436778	0.0397302	0.0154264
e	0.000733048	0.00540798	0.00986453	0.364012	0.0943298	0.0521702	0.0741732	0.368962	0.0162813	0.00114932	0.0105437	0.00237315
n	0.000265243	0.0111436	0.00835561	0.503951	0.0966843	0.0618425	0.0799152	0.180762	0.026983	0.00190577	0.00140273	0.0267893
á	0.00655898	0.00885019	0.0213224	0.36192	0.29639	0.0328786	0.0530442	0.11939	0.0224757	0.00636352	0.00360437	0.067203
á	0.00435383	0.00949119	0.0171513	0.0393752	0.199076	0.280815	0.280451	0.0309966	0.0833231	0.0375653	0.00347812	0.0139242
m	0.00851967	0.0461811	0.0569523	0.0649248	0.177634	0.060831	0.0998536	0.0123307	0.242234	0.207878	0.00969399	0.0129666
w	0.000615488	0.0227464	0.00277312	0.0128502	0.0822126	0.516751	0.0818111	0.0138949	0.0933384	0.0816612	0.00881757	0.0825285
á	9.26647e-05	0.000187098	0.000816959	0.00152534	0.0407454	0.914377	0.0178807	0.0130005	0.00514481	0.000769964	0.00296952	0.00249017
n	3.19534e-05	0.000188398	0.00175951	0.00460016	0.120945	0.687599	0.154446	0.0168397	0.00665259	0.00435886	0.000350453	0.00222807
a	0.00429218	0.00756722	0.0237654	0.0198698	0.400584	0.327073	0.0761189	0.0118666	0.0105986	0.0138563	0.00144526	0.102962
o	0.00312123	0.00153987	0.00240787	0.00789378	0.0521329	0.0221258	0.242905	0.0337563	0.411761	0.177913	0.0155605	0.0288826
p	0.00246089	0.016674	0.00113456	0.017032	0.0131379	0.0016884	0.0105843	0.0210704	0.184015	0.185917	0.500396	0.045889
o	0.00204539	0.00312113	0.000283719	0.00597372	0.00203919	0.000277218	0.00221292	0.0576186	0.0712311	0.0561964	0.74546	0.0535404
t	0.00202507	0.00114862	0.000308973	0.00305263	0.0041909	0.000301322	0.00710258	0.038017	0.136394	0.0536108	0.697623	0.0562261
á	0.0043247	0.000864524	0.000692578	0.00300656	0.0145321	0.000973776	0.0183054	0.0487906	0.0985273	0.114121	0.574079	0.121782
á	0.00307552	0.0022122	0.00122696	0.00149509	0.00746921	0.0219088	0.0299892	0.0136853	0.110281	0.128308	0.273076	0.407272
l	0.00307786	0.0155408	0.0142556	0.0227167	0.0809367	0.0316855	0.0324016	0.00393498	0.140241	0.319494	0.0773887	0.258327
e	0.000889028	0.0123484	0.010489	0.0207039	0.04351	0.0020531	0.0151892	0.00318874	0.105912	0.221992	0.170138	0.393587
</S>	0.000154316	0.00180289	0.000874023	0.00221368	0.0220985	0.00367609	0.0105579	0.00161171	0.064827	0.249608	0.103505	0.539071
