 	je	me	suis	battu	avec	un	fou	dans	le	rêve	</S>
n	0.825338	0.027972	0.0462601	0.0646765	0.0195559	0.00587741	0.000888614	0.00132852	0.00356573	0.00396057	0.000576555
g	0.938485	0.0580507	0.00165752	0.000738124	0.00065273	0.000135948	5.8819e-06	6.00563e-05	0.000104723	0.000104856	4.20637e-06
á	0.653673	0.312115	0.0189898	0.00966779	0.00275932	0.00170079	0.000117422	0.000398788	0.000443979	0.000118634	1.56566e-05
í	0.0620552	0.163504	0.312265	0.0960413	0.0778209	0.052721	0.0131435	0.0141645	0.0489959	0.00939633	0.149893
b	0.0209697	0.0382526	0.497517	0.338942	0.0402189	0.0285807	0.0199121	0.00576256	0.00323512	0.00105367	0.00555546
v	0.000215397	0.00616581	0.302079	0.6144	0.0250212	0.0137779	0.0252315	0.00230031	0.00195227	0.00456069	0.00429562
u	0.000983073	0.0724959	0.0739503	0.820957	0.0246987	0.00295001	0.00126729	0.00153951	0.000815195	0.000206449	0.000136087
n	0.0112584	0.0377087	0.169627	0.388699	0.0680218	0.0897341	0.0775481	0.0583644	0.0201066	0.0395782	0.039354
u	0.00344051	0.0115755	0.270246	0.220895	0.0939292	0.137661	0.0337273	0.0687189	0.0780692	0.0042175	0.0775205
e	0.00156935	0.0861403	0.103906	0.0993011	0.478534	0.179765	0.0160247	0.0137945	0.0137191	0.000881999	0.00636411
t	0.000825525	0.0103161	0.0409208	0.0643458	0.312413	0.408619	0.0992697	0.0255232	0.00555918	0.00371177	0.0284962
u	9.26738e-05	0.00176757	0.0922929	0.0431544	0.165495	0.370504	0.257771	0.0281524	0.00393011	0.0197987	0.0170415
m	0.000485171	0.00177027	0.0598046	0.0211903	0.212532	0.488272	0.124097	0.027825	0.0082684	0.00493077	0.0508249
b	0.00283498	0.00236798	0.0244656	0.00595018	0.237234	0.484808	0.0759825	0.0552693	0.0662052	0.0155178	0.0293646
a	0.00505821	0.00390681	0.0336954	0.031682	0.100469	0.38707	0.118007	0.0554825	0.075316	0.0320248	0.157289
l	0.000754543	0.00382496	0.0129807	0.010971	0.105982	0.140224	0.289724	0.274904	0.118576	0.00827536	0.0337829
e	0.00140471	0.00262267	0.0093866	0.00576372	0.0392407	0.0861253	0.186843	0.303151	0.136694	0.00569347	0.223075
b	0.000204951	0.00390389	0.00578602	0.0020617	0.031684	0.0784821	0.18735	0.352333	0.206595	0.036653	0.0949461
h	0.000374171	0.00404339	0.0246002	0.0345722	0.0326762	0.051451	0.526419	0.0944694	0.0443021	0.171375	0.0157173
ó	2.03518e-06	4.10745e-05	0.00209375	0.00597413	0.00999224	0.0336946	0.565703	0.0520934	0.0250257	0.252535	0.0528455
a	6.63198e-07	1.13886e-05	0.00140745	0.00103924	0.00807371	0.0327348	0.385672	0.245078	0.0885137	0.162803	0.0746671
s	3.05518e-05	0.000259081	0.00258697	0.00150027	0.0104917	0.0157021	0.0374026	0.24921	0.326938	0.0485555	0.307323
í	0.000537774	0.00151179	0.00639709	0.00262067	0.0101056	0.0180189	0.0434586	0.182853	0.210676	0.0244231	0.499397
b	0.00189437	0.0102954	0.00436875	0.00415481	0.00443123	0.00324162	0.00666621	0.0627683	0.186067	0.487415	0.228697
o	0.00137361	0.00274015	0.00511465	0.00817884	0.00408609	0.00319296	0.00921746	0.0155075	0.0417094	0.873567	0.0353125
ó	5.58387e-06	0.000110238	0.000347104	0.000372547	0.000324948	0.000466889	0.00857285	0.00650224	0.0103746	0.949219	0.0237044
</S>	0.000116974	0.00165489	0.00496874	0.00329122	0.0103997	0.0110208	0.0176773	0.0899122	0.216159	0.0255445	0.619255
