 	les	gens	du	village	se	moquent	du	boiteux	</S>
b	0.383978	0.418369	0.14705	0.0198634	0.0140291	0.00769548	0.00833967	0.000198036	0.00047876
a	0.0452109	0.911466	0.0152617	0.0116054	0.0101639	0.00513969	0.000880689	8.03738e-05	0.000191735
r	0.0223214	0.891021	0.0206192	0.011646	0.0354732	0.0117414	0.00294577	0.000229942	0.00400259
e	0.257302	0.570739	0.033289	0.0121549	0.0488665	0.052187	0.00162887	0.000915646	0.0229178
b	0.327562	0.266185	0.283842	0.0458979	0.028467	0.0125715	0.0107574	0.00466976	0.0200479
á	0.17583	0.233955	0.252857	0.0360052	0.108003	0.0312418	0.02501	0.00299229	0.134105
p	0.0757665	0.233663	0.31601	0.251078	0.0390272	0.0189589	0.0223277	0.00283358	0.0403353
o	0.0536094	0.068959	0.0725288	0.7226	0.0353423	0.0332663	0.00546823	0.00375427	0.00447152
o	0.0278125	0.00698028	0.0807629	0.777598	0.0396932	0.0353951	0.00809244	0.00584073	0.0178247
b	0.03266	0.0109701	0.170547	0.171565	0.286496	0.118402	0.160168	0.0224532	0.026739
á	0.035727	0.0158527	0.0555997	0.124369	0.317036	0.2547	0.1385	0.00467397	0.0535411
a	0.0176918	0.0372762	0.0996619	0.310754	0.211526	0.190358	0.065763	0.00678337	0.0601867
a	0.00299401	0.00164835	0.0289188	0.0540943	0.211124	0.232181	0.312956	0.0985105	0.0575733
d	0.015835	0.0107445	0.020691	0.0197641	0.20496	0.166104	0.267098	0.179568	0.115235
z	0.00697869	0.000571257	0.00190949	0.0106044	0.105185	0.160161	0.0524333	0.257758	0.404399
ε	0.0103599	0.000359178	0.00541347	0.0432919	0.0708834	0.602763	0.0401913	0.184445	0.0422924
έ	0.00250238	0.00100059	0.0103896	0.00852878	0.0730341	0.0796562	0.276158	0.372778	0.175952
ε	0.00672731	0.00631424	0.0108179	0.00478492	0.0827286	0.104736	0.376526	0.303527	0.103838
s	0.00634343	0.0018712	0.00103683	0.00336877	0.0334339	0.106447	0.102866	0.680374	0.0642587
έ	0.000634888	0.000198165	0.000426021	0.00109168	0.00646955	0.015199	0.00875991	0.952719	0.0145014
l	0.000259749	9.71542e-05	0.000604939	0.000895754	0.0236888	0.0237286	0.0537825	0.46883	0.428112
ε	0.00245418	0.00154237	0.0104544	0.0109149	0.159105	0.159143	0.257023	0.145058	0.254305
</S>	0.00335535	0.000510026	0.00372182	0.00124417	0.0289833	0.0325024	0.199274	0.242119	0.48829
