 	la	cola	est	un	peu	amère	</S>
i	0.559911	0.413403	0.0198009	0.00462381	0.00175425	6.74316e-05	0.000439909
b	0.169879	0.76256	0.0467201	0.012143	0.00353522	0.00234541	0.00281715
e	0.0989032	0.778387	0.0641075	0.0299588	0.0168973	0.00395115	0.00779558
s	0.0976442	0.570216	0.161494	0.0425101	0.0129012	0.00276456	0.11247
í	0.322848	0.183167	0.237586	0.0771127	0.0195546	0.000615169	0.159117
í	0.133222	0.0174036	0.632718	0.106467	0.0505102	0.00184962	0.0578288
d	0.0291081	0.00349394	0.363088	0.451896	0.0686691	0.00644288	0.0773022
í	0.0207389	0.0193469	0.14148	0.5204	0.0556621	0.000210414	0.242162
l	0.00978748	0.00103186	0.154755	0.239026	0.101256	0.0637084	0.430435
a	0.00509456	0.00338973	0.0203393	0.13818	0.189199	0.0423584	0.60144
y	0.0116539	0.00330613	0.0166167	0.119328	0.281985	0.173872	0.393239
o	0.00244956	0.00847865	0.00487714	0.0442766	0.129768	0.676975	0.133176
l	0.000922711	0.000965669	0.000598096	0.00533638	0.0426862	0.813325	0.136166
o	0.00202006	0.000424178	0.00893477	0.0716911	0.14618	0.649761	0.120989
l	0.00160253	0.000511686	0.0103864	0.0302214	0.142296	0.24386	0.571122
o	0.00387152	0.000697478	0.018394	0.0512164	0.147632	0.304303	0.473887
</S>	0.00287598	0.000402523	0.00782514	0.0140483	0.0720012	0.0630047	0.839842
