 	les	cabris	broutent	les	feuilles	de	manioc	dans	notre	champ	</S>
a	0.801469	0.044664	0.130974	0.00668563	0.00604855	0.00355305	0.00224821	0.00172489	0.00252824	7.4741e-05	2.96309e-05
m	0.0818212	0.913633	0.00192971	0.00045772	0.00165833	0.000132141	4.82051e-05	6.36354e-05	2.80102e-05	0.00019295	3.49773e-05
b	0.226317	0.767536	0.000809225	0.0026061	0.000760183	0.000273849	0.00015959	0.000164969	5.51112e-05	1.76065e-05	0.00130038
ó	0.0410954	0.943064	0.0054705	0.00435381	0.0025419	0.00144767	0.000739869	0.000320563	7.06865e-05	0.000122278	0.000773203
s	0.359291	0.635044	0.00147698	0.00253251	0.000214931	0.000714634	0.00019932	0.000280576	9.52824e-05	2.49178e-05	0.000125089
i	0.198643	0.760033	0.00356562	0.00841256	0.00491088	0.00623808	0.00164871	0.00245027	0.000546554	0.000725898	0.0128254
b	0.630376	0.0770972	0.152991	0.0708056	0.0217482	0.0126096	0.00512168	0.00918118	0.00927851	0.000550836	0.0102402
á	0.615295	0.00692541	0.177348	0.0849771	0.00627375	0.02363	0.021986	0.0127214	0.0380797	0.000339559	0.0124241
a	0.397721	0.00192488	0.400478	0.0958131	0.0317294	0.0188789	0.010439	0.00713185	0.0159093	0.00107381	0.0189011
d	0.0214737	0.0195924	0.150039	0.274792	0.339437	0.0453349	0.0595962	0.0224243	0.00612614	0.00337874	0.0578049
z	0.044154	0.2163	0.0177425	0.144475	0.303178	0.0663348	0.0312874	0.0596429	0.00502504	0.00252618	0.109335
á	0.308605	0.0677645	0.0196914	0.22976	0.255277	0.0729765	0.0119508	0.0184504	0.000930431	0.00037301	0.0142211
á	0.0178603	0.000207685	0.0420663	0.198475	0.328394	0.174284	0.0555928	0.0529281	0.0359094	0.00359153	0.0906908
a	0.0305681	0.0013943	0.0151701	0.321649	0.17907	0.230703	0.0940606	0.0610469	0.0461421	0.00542456	0.0147714
y	0.00616522	0.014966	0.0186047	0.102412	0.298476	0.219177	0.264101	0.0364556	0.00305702	0.019229	0.0173562
a	0.0083704	0.00645317	0.000535556	0.077679	0.416404	0.1532	0.0753178	0.12288	0.0115937	0.0560141	0.0715519
a	0.0168246	0.0017216	0.000715103	0.0818185	0.170762	0.281608	0.0653408	0.126632	0.0116065	0.00615362	0.236818
s	0.00285478	5.46519e-05	0.0055474	0.134735	0.0409309	0.193971	0.272732	0.243099	0.0749699	0.0049509	0.0261546
á	0.00856747	0.000706415	0.000433448	0.0509954	0.0552606	0.100251	0.0924792	0.35176	0.0851672	0.0740396	0.18034
n	0.0153954	0.00339536	0.00248625	0.0331724	0.0345005	0.0813426	0.0684444	0.253661	0.101295	0.368349	0.0379584
g	0.00304072	0.000485703	0.000861737	0.00653704	0.00156373	0.0165659	0.0203281	0.0453376	0.0335514	0.858962	0.0127664
o	0.000431921	0.000693425	0.000128664	0.0013423	0.000509946	0.00445333	0.00290227	0.00659258	0.0040454	0.976965	0.00193488
n	3.68218e-05	0.00018718	5.32864e-05	0.000588987	0.00150724	0.010881	0.00816943	0.00990108	0.00161508	0.963204	0.00385594
d	0.00413267	0.0146652	0.00135226	0.0238363	0.0146511	0.189459	0.067834	0.256072	0.0172194	0.0557668	0.355012
a	0.0060965	0.012598	0.000490778	0.00992595	0.00470265	0.0497275	0.0271044	0.0702396	0.0159161	0.56266	0.240538
y	0.00346464	0.000132798	0.00540709	0.0474789	0.0168542	0.0923417	0.145562	0.360062	0.171414	0.0751908	0.0820922
á	0.0159515	0.000582292	0.00500392	0.0705144	0.0373838	0.108865	0.0614425	0.184591	0.277237	0.101682	0.136747
b	0.0045584	0.000226404	0.00197628	0.0137713	0.00639156	0.0151439	0.0161042	0.129972	0.365626	0.366035	0.0801961
í	0.00247323	0.0033645	0.0160855	0.0224259	0.0049045	0.00716648	0.0237749	0.063659	0.829034	0.0178338	0.00927809
s	0.00433432	0.00126389	0.0225989	0.0409493	0.00761595	0.0176779	0.0751289	0.0779101	0.680006	0.0244264	0.0480889
í	0.0027229	0.00117925	0.00175111	0.00605833	0.00173214	0.00399928	0.017912	0.134791	0.482264	0.0778593	0.269731
</S>	0.00153555	4.35169e-05	0.00255961	0.0102305	0.00404946	0.0115771	0.0173476	0.151285	0.172134	0.0753061	0.553932
