 	ikobo	berce	l'	enfant	</S>
i	0.985087	0.00792406	0.00663321	0.000333253	2.23981e-05
k	0.928313	0.0710057	0.00026785	8.86079e-05	0.000324864
ω	0.593161	0.405939	0.000316081	5.8103e-05	0.000526276
b	0.824674	0.171391	0.00277155	0.00026777	0.000896024
h	0.626369	0.25426	0.0218012	0.000549158	0.0970212
ω	0.734937	0.242251	0.00734549	0.00063577	0.0148301
l	0.640773	0.297119	0.0328715	0.000591263	0.0286456
á	0.222914	0.185145	0.0790743	0.00832401	0.504542
a	0.0378719	0.0247638	0.777956	0.139917	0.019491
k	0.0875386	0.691495	0.0436362	0.0537983	0.123532
ώ	0.090309	0.807993	0.0297714	0.000978532	0.0709478
n	0.137932	0.807158	0.0109731	0.00069499	0.0432422
g	0.107576	0.828161	0.0193711	0.000912005	0.0439792
ώ	0.0376142	0.866822	0.0597472	0.000680634	0.0351356
s	0.00346713	0.0126274	0.946304	0.00995712	0.0276448
ώ	0.00419278	0.0532623	0.696914	0.0424886	0.203142
m	0.000932921	0.00335666	0.874794	0.0814818	0.0394344
w	3.60384e-05	0.000220267	0.00448325	0.963415	0.0318455
á	3.76673e-05	0.000235474	0.000384351	0.999058	0.000284746
n	0.00221074	0.00133769	0.0322254	0.954785	0.00944093
a	0.00088996	0.0016429	0.0622418	0.921553	0.0136726
</S>	0.0267116	0.0883712	0.233239	0.0421108	0.609567
