 	le	bois	de	l'	arbre	okwele	est	dur	</S>
o	0.3018	0.308094	0.135747	0.105872	0.114918	0.0122061	0.00816585	0.0016408	0.0115566
k	0.0215381	0.113677	0.024859	0.0230225	0.123642	0.459542	0.0227681	0.153605	0.0573466
w	0.00500998	0.133881	0.021187	0.0139329	0.0452736	0.726198	0.00197527	0.0456932	0.00684869
e	0.00809986	0.219853	0.0464302	0.0273656	0.0987934	0.468315	0.00720725	0.0983691	0.0255665
l	0.01679	0.0320302	0.10187	0.082299	0.237765	0.386996	0.00528019	0.02125	0.115719
e	0.142505	0.176555	0.102742	0.0618838	0.123664	0.161015	0.00768632	0.0242114	0.199737
ó	0.0718718	0.027359	0.31779	0.21468	0.0990218	0.0209467	0.111498	0.0228137	0.114019
d	0.00566032	0.0118833	0.0303473	0.0300507	0.0458801	0.078893	0.498918	0.218052	0.0803155
í	0.00347453	0.000917207	0.0128601	0.0253314	0.00671673	0.0101502	0.108764	0.206596	0.62519
l	0.0194543	0.00588418	0.134089	0.206687	0.0365236	0.00920856	0.129785	0.33036	0.128008
a	0.00345061	0.00228793	0.0113599	0.0183055	0.00418818	0.00294986	0.0665186	0.219064	0.671875
b	0.0137503	0.0045242	0.0231469	0.059258	0.0189061	0.00803849	0.0322822	0.536307	0.303787
v	0.00956011	0.0275426	0.0174719	0.0414285	0.0303208	0.00598353	0.0152535	0.812509	0.0399305
ú	0.00430807	0.00447329	0.00771087	0.0229884	0.030896	0.0022306	0.0108279	0.872704	0.0438605
s	0.00101507	0.0013526	0.00394035	0.0223136	0.0292494	0.00618359	0.0234368	0.795768	0.11674
u	0.0143981	0.0183624	0.0304173	0.129339	0.0325893	0.00192004	0.045938	0.292453	0.434583
</S>	0.00505376	0.00171186	0.0279112	0.0559719	0.0124349	0.00192666	0.199985	0.0393224	0.655682
