 	ils	ont	marché	toute	la	nuit	et	son	arrivés	à	l'	aube	</S>
b	0.772723	0.186159	0.00313399	0.00439013	0.00559014	0.0131877	0.00649645	0.00154135	0.00359987	0.000963748	0.00161502	0.000557037	4.17831e-05
á	0.874888	0.0954138	0.00518049	0.00550112	0.00385927	0.00363171	0.00235546	0.00099467	0.00217247	0.00256079	0.00301959	0.000237694	0.000185066
a	0.79305	0.170171	0.0202812	0.00261171	0.00149507	0.000333732	0.00135943	0.00165086	0.00358975	0.00315978	0.00145608	7.1934e-05	0.000769121
á	0.0891652	0.662424	0.147152	0.0247638	0.00680946	0.00153834	0.00381975	0.00406325	0.00856413	0.012163	0.0104421	0.00100172	0.0280931
b	0.00604079	0.199937	0.49985	0.185298	0.0237751	0.0130356	0.00199856	0.00360841	0.00384316	0.0166029	0.0184668	0.0166553	0.0108884
h	0.0152653	0.119252	0.415157	0.267017	0.0752916	0.0378845	0.0166075	0.0122488	0.00915467	0.0146376	0.00668679	0.000524787	0.0102719
é	0.0122294	0.11566	0.389434	0.367235	0.0514761	0.045744	0.00481844	0.00163413	0.00119861	0.00478047	0.00303333	0.000931384	0.00182515
m	0.0145233	0.0526999	0.351114	0.253215	0.114879	0.106074	0.0181599	0.00720005	0.00224747	0.00873522	0.00908722	0.010187	0.0518776
b	0.021581	0.0464825	0.261278	0.272266	0.185948	0.0377189	0.0835964	0.03356	0.00412063	0.00970078	0.00583604	0.0041447	0.0337661
i	0.0613507	0.034975	0.211891	0.251416	0.177043	0.136882	0.0617597	0.0169351	0.00145597	0.00390086	0.00309445	0.000853577	0.0384425
k	0.0515128	0.0717493	0.0886118	0.250256	0.294749	0.119389	0.0749058	0.0224535	0.00408904	0.00394635	0.002506	0.0011424	0.0146894
ó	0.000916041	0.00110746	0.00586705	0.0620589	0.104688	0.796483	0.0171474	0.00441076	0.00034552	0.000717145	0.000359078	0.00170851	0.0041908
l	0.000273722	0.00313664	0.0139768	0.0933189	0.0758017	0.776265	0.0159583	0.00432869	0.000103465	0.0023118	0.00156507	0.00224884	0.0107109
i	0.00110589	0.00567031	0.0397555	0.120303	0.159908	0.464498	0.0542994	0.0228453	0.00150082	0.0138566	0.0088853	0.0076777	0.0996948
t	0.00115916	0.00915437	0.034215	0.116096	0.136518	0.215508	0.191684	0.151692	0.0234277	0.0520168	0.028508	0.00757969	0.0324406
s	0.012937	0.0089402	0.00856756	0.0540193	0.14598	0.37288	0.140645	0.118955	0.0108998	0.0175404	0.00500221	0.0307931	0.0728397
i	0.000227323	0.000357099	0.00455971	0.0483337	0.0824044	0.465528	0.134217	0.114276	0.00634695	0.02085	0.0110719	0.0401924	0.0716357
i	0.00289818	0.00251061	0.0139102	0.0461994	0.0762766	0.197732	0.140348	0.116815	0.0183668	0.0313431	0.0099399	0.0213965	0.322264
n	0.00159476	0.00627515	0.0200107	0.0296005	0.0450069	0.0337769	0.186269	0.317106	0.128254	0.138106	0.0417102	0.00815101	0.0441397
a	0.000823508	0.00323511	0.0644604	0.0102647	0.0240451	0.00727128	0.0776151	0.208901	0.427304	0.0610487	0.022299	0.00455819	0.0881739
á	0.000228481	0.000818	0.0044477	0.00967008	0.0214859	0.0193504	0.279033	0.257364	0.0951622	0.154638	0.0781723	0.0193555	0.0602749
p	0.000157488	0.00575865	0.0284127	0.0424575	0.0186776	0.0147084	0.0186521	0.0609479	0.057116	0.346348	0.227338	0.149528	0.0298977
f	0.000100511	0.00220132	0.00863026	0.0342972	0.0527428	0.0665364	0.0287228	0.0665773	0.0104157	0.215125	0.217245	0.224753	0.0726523
é	0.000216975	0.00184527	0.0126684	0.0240357	0.0349465	0.0323898	0.0276771	0.0801207	0.0151069	0.226773	0.22949	0.205151	0.109579
s	0.000134326	0.000540386	0.0021233	0.00460878	0.0118531	0.0116478	0.0272682	0.0754225	0.0836078	0.127358	0.155845	0.34587	0.153721
á	1.66514e-05	0.000125837	0.00193556	0.0070597	0.0189003	0.0229442	0.0686557	0.150775	0.0741308	0.144063	0.115221	0.204303	0.191869
a	0.000741509	0.000797752	0.00216848	0.00304206	0.00813178	0.00317374	0.0817256	0.167382	0.164547	0.0972146	0.123127	0.184477	0.163471
t	0.000782334	0.00111164	0.00373851	0.00666531	0.00576771	0.0044321	0.0203776	0.0437957	0.0989803	0.103731	0.199855	0.307623	0.20314
s	0.000525729	0.00140984	0.00228269	0.0110669	0.0189899	0.0174677	0.0252685	0.0718245	0.0252786	0.114692	0.0972878	0.422789	0.191117
á	0.000172613	0.000158086	0.00126787	0.00303846	0.00451665	0.0103695	0.0166392	0.0554219	0.0234683	0.0567819	0.089474	0.578923	0.159769
a	0.000706901	0.00063231	0.00113774	0.00324371	0.00431363	0.00300963	0.0306669	0.0711808	0.139458	0.0531239	0.0748558	0.188335	0.429335
b	0.00012187	0.000515296	0.00199618	0.00642153	0.00354513	0.00307324	0.0079142	0.0195941	0.0308243	0.0922647	0.258788	0.212911	0.36203
v	0.00563502	0.00741531	0.00407741	0.0382714	0.0385847	0.0419323	0.0598314	0.0563723	0.054566	0.13172	0.236933	0.193576	0.131084
ú	0.00123652	0.000818124	0.00468327	0.0181854	0.0169894	0.0243142	0.0401013	0.0662194	0.0468258	0.185151	0.308159	0.151517	0.135799
s	0.000171967	0.00011057	0.000705749	0.00211649	0.00296765	0.000785911	0.00713849	0.0193679	0.0162675	0.0389162	0.0986588	0.235058	0.577734
á	3.18e-05	5.91558e-05	0.00104027	0.0021349	0.00445447	0.000957572	0.00742574	0.0330792	0.0957371	0.0796626	0.110828	0.353588	0.311001
</S>	0.000392287	0.000421917	0.00102472	0.00310754	0.00393342	0.00456867	0.0175388	0.0259484	0.050918	0.0303184	0.0695237	0.248193	0.544111
