 	certaines	gens	aiment	manger	le	gésier	du	poulet	</S>
b	0.286537	0.687694	0.0128206	0.00412372	0.00607486	0.00103798	0.00153418	0.000127765	4.99197e-05
a	0.0717997	0.919278	0.00109056	0.00101049	0.00326361	0.000659925	0.00242188	0.000332834	0.000142792
r	0.0278651	0.958526	0.00140746	0.00325119	0.00336124	0.00271589	0.00166323	7.44226e-05	0.00113523
e	0.802684	0.171757	0.00371505	0.00972312	0.0064182	0.00290047	0.000954006	8.82462e-05	0.00176029
b	0.490289	0.392849	0.0471587	0.0146705	0.0220641	0.00331196	0.0172778	0.000781522	0.011597
a	0.183913	0.156226	0.0597195	0.00979455	0.0836387	0.0157011	0.245397	0.0651953	0.180414
n	0.558899	0.141654	0.183433	0.0242739	0.0231298	0.00903761	0.019176	0.00117945	0.0392181
á	0.987841	0.000766929	0.00433606	0.000973736	0.00154048	0.000244785	0.00124775	5.90286e-05	0.00298988
á	0.056175	0.0605386	0.709371	0.100198	0.0389202	0.00847037	0.0106111	0.00166382	0.0140515
d	0.0129206	0.00625941	0.691531	0.20955	0.0296849	0.0274445	0.0094978	0.00358118	0.00953101
i	0.00596273	0.000675821	0.527401	0.401649	0.0189738	0.00848088	0.00655508	0.000348181	0.0299536
í	0.0100632	0.00278209	0.352848	0.507172	0.0830401	0.0190289	0.0117007	0.00209983	0.0112654
l	0.0257658	0.00507355	0.103695	0.489409	0.274518	0.0517091	0.0257378	0.00760946	0.0164829
a	0.00915228	0.00147718	0.142401	0.376495	0.198698	0.0310813	0.0499322	0.0192075	0.171555
p	0.0242159	0.00794854	0.19452	0.353124	0.199219	0.030422	0.0407487	0.0339574	0.115845
ó	0.01887	0.0132381	0.312374	0.404642	0.124264	0.0465585	0.0169608	0.017634	0.0454585
s	0.000461021	0.00109277	0.425465	0.30456	0.0856529	0.0542087	0.0258322	0.0158057	0.0869211
á	0.00927523	0.00194401	0.12666	0.33294	0.189604	0.15902	0.0448151	0.0290662	0.106674
o	0.0530146	0.00908331	0.0289387	0.172107	0.414227	0.188483	0.0599863	0.0224494	0.0517108
d	0.00135321	0.0010344	0.0125057	0.111896	0.123481	0.736757	0.00388353	0.00565056	0.00343878
z	0.000348913	4.2619e-05	0.0106354	0.185746	0.0749434	0.717297	0.00339959	0.00103532	0.0065525
á	0.00186529	0.000187567	0.0395898	0.617897	0.134968	0.182849	0.00899685	0.000537577	0.0131092
á	0.00151731	0.00037858	0.0209462	0.104324	0.187812	0.283605	0.12617	0.0265994	0.248647
i	0.00805326	0.0020735	0.0124789	0.0455671	0.134375	0.359425	0.266185	0.058701	0.113141
b	0.0031238	0.00352064	0.0124037	0.0222649	0.0785346	0.423209	0.0961686	0.250381	0.110394
h	0.00147519	0.00875969	0.00134336	0.00489899	0.061876	0.621467	0.0790533	0.187742	0.0333842
í	0.00023488	0.000462986	0.000359919	0.00220749	0.0231767	0.691272	0.0545401	0.172531	0.0552151
á	0.000175622	0.000109136	0.00180333	0.0067029	0.0247244	0.757259	0.0645032	0.0160657	0.128656
l	0.00629018	0.000995543	0.011072	0.0337339	0.0439428	0.168722	0.324359	0.133381	0.277503
á	0.00974809	0.000675028	0.0180377	0.03134	0.0469763	0.0257466	0.119394	0.127158	0.620925
t	0.00895502	0.00197685	0.00406906	0.00642017	0.038027	0.0112399	0.272937	0.564939	0.0914363
s	0.00105567	0.00113159	0.0133251	0.00989494	0.0236084	0.0448445	0.10351	0.759741	0.0428896
ó	8.77197e-05	3.64819e-05	0.000160619	9.98221e-05	0.00164774	0.00397249	0.0204737	0.961606	0.011915
s	1.49377e-05	6.44853e-05	0.000530134	0.000853542	0.00838115	0.0361984	0.0602712	0.783802	0.109884
ó	0.000446356	0.000321727	0.00415194	0.0030369	0.0175191	0.0209935	0.0970779	0.670095	0.186358
</S>	0.00063485	0.00123186	0.00455703	0.00348414	0.0387101	0.0241638	0.181095	0.141208	0.604916
