 	le	voleur	a	été	arrêté	hier	</S>
m	0.64768	0.285273	0.0619994	0.0029925	0.00149095	0.000265395	0.000298474
ú	0.0886364	0.814966	0.0464171	0.0257836	0.005623	2.71722e-05	0.0185468
b	0.172659	0.810627	0.00557889	0.00726153	0.00256489	0.000112463	0.00119592
h	0.562381	0.284311	0.0827465	0.0214434	0.0089141	0.00932621	0.0308784
u	0.596994	0.308743	0.0410102	0.0188959	0.016102	0.00374864	0.0145064
á	0.121148	0.0130032	0.739293	0.0453164	0.0569526	0.00455862	0.0197287
p	0.0233414	0.00416292	0.204115	0.51378	0.223583	0.00804293	0.0229744
i	0.010435	0.00755569	0.104356	0.505031	0.283303	0.0423259	0.0469926
i	0.0338316	0.0123382	0.112696	0.29334	0.299048	0.137057	0.111691
m	0.0267047	0.00794776	0.0947739	0.116864	0.392461	0.11482	0.246428
i	0.0355851	0.0312086	0.0412205	0.0763537	0.316929	0.0360312	0.462672
l	0.00997308	0.0025463	0.0186135	0.0390325	0.220603	0.0804379	0.628794
a	0.00750637	0.00214859	0.01769	0.0660314	0.185886	0.117668	0.60307
p	0.0177857	0.00151098	0.041857	0.0298931	0.132406	0.327992	0.448556
ó	0.000588636	0.000391977	0.00236142	0.00429103	0.00328764	0.975351	0.0137285
a	0.000366272	0.000150717	0.00287877	0.00971558	0.0229205	0.858504	0.105464
</S>	0.0274914	0.00319152	0.0540844	0.0140641	0.102638	0.166006	0.632525
