 	ongondo	est	allée	consulter	un	guérisseur	pour	ses	maux	de	tête	</S>
o	0.785031	0.196944	0.00929129	0.000319653	0.00185637	0.00182503	0.0014204	0.000935153	0.000782404	0.0012593	0.000324959	1.0348e-05
n	0.769735	0.120455	0.0687021	0.0100212	0.00557494	0.00598877	0.00265326	0.00213367	0.00332983	0.00364702	0.00154454	0.00621431
g	0.708627	0.0299112	0.0970331	0.0211447	0.0174562	0.0906714	0.0116253	0.00720728	0.00394711	0.00369803	0.00453324	0.0041456
o	0.973775	0.00259917	0.00737691	0.000408289	0.000899897	0.0135891	0.000171462	0.000140865	0.000415057	0.00030361	5.79773e-05	0.000262601
n	0.766126	0.0445694	0.172578	0.00456117	0.00241181	0.00588172	0.000237316	0.000208701	0.0015012	0.000739132	0.000222215	0.000963502
d	0.278336	0.184767	0.327973	0.0211342	0.0184483	0.00444892	0.0142202	0.00992392	0.00485106	0.00657852	0.00122248	0.128096
ó	0.588121	0.131615	0.175866	0.0304089	0.0133111	0.0112259	0.00226103	0.00186406	0.00127922	0.00121515	0.0002272	0.0426046
á	0.0220639	0.512231	0.356924	0.018648	0.01899	0.00457921	0.0116965	0.0114815	0.0117986	0.0122791	0.00175532	0.0175536
d	0.0181572	0.198734	0.416399	0.223846	0.0240211	0.00785131	0.0165349	0.0183775	0.00516488	0.0132323	0.00750847	0.0501732
z	0.00385381	0.0630164	0.134741	0.321225	0.148035	0.0656013	0.0202984	0.0219032	0.0101318	0.0115559	0.00128084	0.198357
w	0.0226573	0.0509947	0.450652	0.18656	0.142773	0.136311	0.00254276	0.00253991	0.000415259	0.0007808	0.000106861	0.0036655
e	0.00353108	0.092628	0.24423	0.214156	0.191082	0.0855346	0.0347385	0.0410222	0.00682534	0.0155639	0.00377722	0.0669109
o	0.00242689	0.104801	0.0759127	0.185893	0.216446	0.296465	0.0232341	0.0153607	0.0191266	0.0215473	0.00312602	0.0356605
t	0.00274602	0.00344805	0.0302877	0.808858	0.0581805	0.0445149	0.0254533	0.00753313	0.0010599	0.00255642	0.00862055	0.00674135
á	0.000307216	0.00296982	0.0219055	0.886208	0.0259659	0.0122555	0.0208603	0.00558634	0.000476989	0.00125216	0.00504136	0.0171709
á	0.000117056	0.0166297	0.031344	0.619569	0.0410733	0.0536119	0.0308077	0.0169723	0.00211564	0.00485431	0.0134768	0.169428
n	0.000837608	0.0173778	0.0120374	0.0207726	0.243419	0.460479	0.119376	0.043226	0.0347404	0.0327561	0.00293358	0.0120436
g	0.00170012	0.000481339	0.00133246	0.000873381	0.0362193	0.933387	0.00586298	0.00148291	0.0134379	0.0020146	4.19331e-05	0.00316583
a	0.00182352	0.00029365	0.00209004	0.00173781	0.0354987	0.94795	0.00510568	0.00085431	0.00207435	0.000722771	0.000120697	0.00172846
n	0.000118608	0.00236703	0.0156808	0.00676056	0.339612	0.372513	0.108934	0.0434937	0.0361137	0.032574	0.00243485	0.0393975
g	0.00157451	0.00149198	0.0083784	0.00678311	0.151626	0.731513	0.0364567	0.00849703	0.0124298	0.00547467	0.000372578	0.0354026
a	0.00105452	0.000560087	0.00559779	0.00460658	0.134849	0.786039	0.0351075	0.00619079	0.00984453	0.00332735	0.000615678	0.0122065
m	0.000195798	0.00571106	0.0106829	0.00678986	0.175658	0.137321	0.333572	0.1067	0.0818848	0.100354	0.00581622	0.0353146
í	0.000485892	0.00201195	0.00598696	0.000929481	0.0645784	0.0456718	0.266585	0.209449	0.0617361	0.152295	0.0197893	0.170481
b	0.000894336	0.002533	0.00233963	0.00631953	0.0251425	0.0233654	0.27267	0.179531	0.051177	0.177985	0.195685	0.0623588
o	0.000607949	0.00153392	0.000216073	0.00224142	0.00815543	0.0100313	0.342967	0.171829	0.0262129	0.0340765	0.375856	0.0262732
ó	6.60745e-05	0.000460978	0.00094757	0.0088399	0.010723	0.00714005	0.192193	0.126492	0.00980495	0.047513	0.557223	0.0385965
b	0.000148958	0.00265403	0.00218189	0.000572387	0.0167864	0.0109821	0.0981938	0.158392	0.158586	0.310154	0.0592845	0.182064
v	0.000644711	0.00385341	0.000222942	0.00151778	0.0144797	0.0138707	0.276403	0.243281	0.116536	0.0998853	0.1413	0.0880053
ú	0.000621312	0.000484815	0.000267054	0.000973828	0.0052883	0.0169123	0.150486	0.248549	0.141965	0.107628	0.224743	0.102081
a	4.04005e-05	0.000499456	0.00184101	0.00128673	0.0262947	0.0120727	0.0815668	0.212702	0.0730778	0.196371	0.205423	0.188823
l	2.18274e-05	0.000830331	0.000809802	0.000185515	0.0122929	0.0075783	0.0477762	0.12356	0.148536	0.24247	0.0592077	0.356732
í	0.000363521	0.00171193	0.00167994	0.00693616	0.0251058	0.0224513	0.104165	0.140844	0.141315	0.215974	0.0492835	0.290171
í	0.000460892	0.00100545	0.00057574	0.000990623	0.0102803	0.0351751	0.0314354	0.0698445	0.26776	0.329518	0.0190841	0.23387
d	0.00223305	0.00234449	0.00158651	0.00262175	0.0133343	0.0173147	0.0577678	0.131016	0.123033	0.380437	0.0798365	0.188474
í	0.000503709	0.000750478	0.000834485	0.00052039	0.0113739	0.0138089	0.0175168	0.113323	0.110153	0.227852	0.0454247	0.457939
l	4.6793e-05	0.000170035	0.00013362	0.00021466	0.00494355	0.0280137	0.0254603	0.0666886	0.11844	0.137044	0.035788	0.583057
a	1.96954e-05	0.000225287	0.000303877	0.00136034	0.0033312	0.00515224	0.0166267	0.0495949	0.0413017	0.0633292	0.0203272	0.798428
w	0.000192047	0.00109217	0.000801801	0.000952384	0.024374	0.0134505	0.0240807	0.06304	0.208628	0.292774	0.0541765	0.316438
a	0.000536766	0.00364079	0.000920496	0.00620705	0.00925792	0.0487379	0.0853829	0.205159	0.142764	0.31719	0.0863852	0.0938171
</S>	0.000105989	0.000584787	0.00138041	0.00110574	0.00503061	0.00728225	0.0364607	0.0803774	0.0562228	0.287988	0.109246	0.414216
