 	le	récolteur	du	vin	de	palme	grimpe	sur	le	palmier	</S>
o	0.994083	0.00232687	0.00148088	0.00047454	0.000824656	0.000491514	3.4844e-05	9.17357e-05	0.000165074	2.58023e-05	1.18412e-06
b	0.321097	0.580978	0.0160439	0.0670539	0.00256179	0.00093735	0.00502256	0.00109297	0.0015332	0.000594548	0.00308476
a	0.210776	0.779116	0.00109137	0.00632412	0.000353766	9.11472e-05	0.000924894	0.000103273	0.000202019	0.000952808	6.45627e-05
l	0.187284	0.777499	0.00170908	0.0064495	0.00103297	0.000556968	0.0179618	0.000758965	0.000758307	0.00035096	0.0056389
e	0.922185	0.0522444	0.0129172	0.00138451	0.0042582	0.00166791	0.000381783	0.00165322	0.00063298	0.000144456	0.0025305
b	0.19449	0.0130083	0.574811	0.103727	0.0354108	0.0291072	0.00227846	0.0233381	0.00694196	0.00086384	0.0160235
ó	0.0537582	0.00847952	0.213437	0.115804	0.0740756	0.0847849	0.00622724	0.0626129	0.071248	0.0518107	0.257761
l	0.0559012	0.00134659	0.446873	0.308365	0.072654	0.0548166	0.00573781	0.0239239	0.0180652	0.00179198	0.0105244
á	0.00834789	0.00089383	0.16081	0.150142	0.0708444	0.0535068	0.00981806	0.106253	0.037076	0.00739464	0.394914
a	0.0277601	0.00101649	0.251077	0.17466	0.254466	0.132601	0.0376893	0.0446506	0.0291004	0.0194854	0.0274938
l	0.00142463	0.000351262	0.0152053	0.193415	0.0672506	0.139977	0.534198	0.0242408	0.00632415	0.00185112	0.0157613
é	0.000261397	0.000429074	0.00309973	0.068301	0.0266531	0.0519023	0.819801	0.0101109	0.00317609	0.000826376	0.015439
á	0.00110952	0.000112977	0.0422902	0.254755	0.103547	0.154056	0.333114	0.0565591	0.0179564	0.00306398	0.0334349
ó	0.000367199	1.72767e-05	0.00812763	0.0050278	0.178134	0.497539	0.028823	0.180542	0.082435	0.0072315	0.011755
l	0.000482714	0.000269512	0.00117926	0.00766052	0.0194048	0.0632172	0.519622	0.153925	0.143455	0.0796369	0.0111471
έ	0.00030361	0.000806606	0.00276157	0.0166047	0.0198294	0.0821062	0.636828	0.0827463	0.0512554	0.0491719	0.0575863
n	3.05188e-05	0.000118568	0.0129876	0.0269699	0.0535531	0.0423674	0.204121	0.211967	0.0895227	0.0602294	0.298133
g	0.000689603	0.000183793	0.0178157	0.0121413	0.185337	0.232953	0.0726598	0.235218	0.0836264	0.00378521	0.15559
έ	0.0078826	0.00395269	0.102859	0.0174965	0.246818	0.237227	0.128848	0.0762826	0.0562354	0.00235296	0.120046
</S>	0.000239907	9.08703e-06	0.00635368	0.00408475	0.045116	0.0461038	0.00427797	0.391596	0.284078	0.115399	0.102742
