 	sa	soeur	est	autrement	courageuse	que	sa	femme	</S>
b	0.321477	0.592756	0.0607039	0.0077274	0.00484716	0.0051206	0.00716997	6.87755e-05	0.00012908
o	0.0675589	0.88411	0.0268858	0.0031923	0.00249068	0.0082721	0.0052001	0.0020243	0.000265507
l	0.0696745	0.591987	0.12944	0.0273532	0.0172054	0.0422477	0.0165787	0.00632487	0.099189
a	0.256636	0.51955	0.107138	0.0289628	0.0145232	0.0169685	0.0106906	0.00186543	0.0436652
b	0.327514	0.234261	0.375221	0.0205479	0.0033995	0.0100618	0.00572039	0.00112654	0.0221471
á	0.186022	0.140097	0.447798	0.106389	0.0154577	0.0632908	0.0234646	0.00132664	0.0161535
w	0.0955	0.211298	0.324285	0.078322	0.0250496	0.0882112	0.0481244	0.0307121	0.098498
a	0.108151	0.0937245	0.259399	0.0601545	0.0248726	0.223786	0.154846	0.0046861	0.07038
ó	0.0515714	0.0561355	0.464799	0.184479	0.0289403	0.0511679	0.0628251	0.0252621	0.0748192
d	0.0235677	0.00842271	0.356455	0.480249	0.0625877	0.0218731	0.0109673	0.00500076	0.0308767
í	0.00344494	0.000582618	0.357445	0.46858	0.048068	0.0103929	0.00354427	0.00519215	0.10275
l	0.00785868	0.00305618	0.315761	0.271306	0.108295	0.026502	0.0157471	0.0143501	0.237124
a	0.00656106	0.00245964	0.0859815	0.380537	0.220766	0.0653573	0.0322685	0.00307031	0.202999
ω	0.0103307	0.00657458	0.026805	0.192441	0.598678	0.0764154	0.0238561	0.0168936	0.0480053
n	0.0040237	0.00573316	0.0577263	0.163814	0.698209	0.0225566	0.00206719	0.0136791	0.0321909
g	0.00474253	0.000691569	0.0210206	0.455807	0.489806	0.00956874	0.00197127	0.00158985	0.0148023
á	0.00045787	0.00145701	0.0171146	0.188952	0.77363	0.00708079	0.00122496	0.00178682	0.0082958
n	0.00124726	0.000612596	0.0202303	0.201951	0.502582	0.0806738	0.0193353	0.00436879	0.168999
d	0.0126672	0.0119548	0.0592118	0.248807	0.538837	0.0755388	0.0240913	0.0013629	0.0275293
z	0.00160084	0.000516937	0.0110005	0.276895	0.61696	0.0393541	0.0109734	0.00286714	0.0398317
i	0.00143632	0.000908863	0.00867102	0.435939	0.428837	0.051012	0.00881952	0.00369764	0.0606785
n	0.00259279	0.00180817	0.0535957	0.122729	0.467306	0.220111	0.0414099	0.00265666	0.0877912
d	0.0148672	0.00724745	0.049882	0.249682	0.455662	0.125494	0.0275009	0.00330248	0.0663615
é	0.000914279	0.000441064	0.00525142	0.116598	0.685302	0.103806	0.0258909	0.00588578	0.0559108
n	0.000699906	0.000552361	0.0210494	0.0624979	0.370794	0.301646	0.12313	0.0135044	0.106126
g	0.0252431	0.00844981	0.0682966	0.103405	0.216849	0.251168	0.0743533	0.0510933	0.201142
é	0.00111257	0.00105245	0.0112851	0.139051	0.494553	0.250016	0.0508998	0.0116197	0.0404112
t	0.00129461	0.000642457	0.0113207	0.0143446	0.0724331	0.513747	0.233805	0.0266896	0.125722
s	0.00629607	0.00898472	0.0292084	0.0268028	0.158777	0.466904	0.16722	0.0110943	0.124712
ú	0.00268524	0.00227539	0.0175065	0.0211754	0.069495	0.492363	0.20429	0.00681463	0.183395
s	0.0105819	0.00130676	0.0172547	0.0840958	0.131093	0.243463	0.229525	0.00968191	0.272998
u	0.00305617	0.00138686	0.00614271	0.0985813	0.380317	0.285959	0.13825	0.00644216	0.079864
l	0.000890697	0.00034013	0.00342727	0.00979062	0.0407923	0.233162	0.294086	0.0636389	0.353871
a	0.00257187	0.000851596	0.00911318	0.0158576	0.0569034	0.300276	0.159889	0.00797859	0.446559
m	0.000185039	0.000437191	0.00206678	0.0024585	0.0144859	0.213751	0.587199	0.0381189	0.141299
w	0.000261407	0.00096888	0.00191325	0.00154798	0.00222535	0.0518014	0.0725449	0.806246	0.0624904
á	0.00333111	0.00208058	0.00230243	0.0015097	0.00476007	0.0720695	0.0437284	0.812852	0.0573663
s	0.00543609	0.0121028	0.00468366	0.00113981	0.00270323	0.0892396	0.807984	0.0251428	0.0515676
í	0.0224639	0.00647935	0.0137615	0.0457751	0.0769024	0.238212	0.134601	0.0199601	0.441845
y	0.011274	0.00160535	0.00857253	0.00874259	0.0238218	0.157011	0.349794	0.0144932	0.424685
a	0.00174626	0.000859879	0.0169232	0.052073	0.0464811	0.115066	0.407203	0.0368222	0.322825
w	0.001293	0.000727055	0.00421541	0.007141	0.00696982	0.0839806	0.756486	0.00724997	0.131937
a	0.00284536	0.00280484	0.0079268	0.00289991	0.0047179	0.138217	0.574563	0.0048004	0.261225
</S>	0.000803304	0.000307981	0.00136052	0.00155505	0.00498181	0.13015	0.26449	0.00827559	0.588076
