 	tu	n'	es	pas	le	seul	à	t'	abriter	de	la	pluie	dans	cette	case	</S>
o	0.205596	0.0469451	0.0113926	0.0612415	0.0225504	0.0723026	0.0569821	0.0735928	0.0819528	0.237645	0.0586362	0.0105249	0.0195676	0.031215	0.000752786	0.00910285
f	0.0422923	0.16293	0.144493	0.026392	0.0221503	0.0115368	0.0156164	0.020412	0.210016	0.0620781	0.0486907	0.0723918	0.0404881	0.0271624	0.0347525	0.0585976
ú	0.000980339	0.0277628	0.0264528	0.0109994	0.0236693	0.00838819	0.00736903	0.00845998	0.45126	0.173341	0.0690212	0.0148864	0.0803942	0.0299439	0.0246691	0.0424021
ú	0.000823578	0.0367509	0.0249975	0.00863641	0.031975	0.00721285	0.0110568	0.0058295	0.430308	0.148767	0.0667333	0.0287939	0.0911933	0.0445404	0.00331615	0.0590654
m	0.0123106	0.042129	0.078789	0.0866554	0.0581192	0.0448034	0.0321773	0.0228249	0.12072	0.0643529	0.0583915	0.0557764	0.0458569	0.107186	0.0241462	0.145761
u	0.0372258	0.0190244	0.0126395	0.0376599	0.0444049	0.076908	0.0836167	0.0152046	0.0525954	0.0415628	0.118903	0.24606	0.125959	0.0496873	0.0140004	0.0245482
m	0.0168838	0.0549853	0.0590088	0.0231515	0.0380344	0.031904	0.0276512	0.0306973	0.0454209	0.0635006	0.181297	0.145013	0.0889666	0.0247247	0.0173838	0.151377
b	0.00964759	0.0501833	0.011762	0.0248227	0.0243014	0.0432378	0.0457933	0.0131382	0.0832563	0.157801	0.194272	0.0999307	0.0956982	0.0189483	0.0222065	0.105001
v	0.00338317	0.00281936	0.00189552	0.011466	0.0259115	0.070987	0.0459627	0.0658245	0.208587	0.0443759	0.169091	0.22855	0.0566165	0.0468555	0.00731522	0.0103601
ú	0.00447253	0.00407339	0.00318185	0.0123662	0.0293876	0.0638083	0.0592912	0.0840641	0.31433	0.0333012	0.0946273	0.16446	0.0503644	0.0377665	0.0168237	0.0276819
á	0.000715919	0.00214421	0.00394466	0.0167509	0.0192991	0.0110988	0.00888486	0.00875727	0.709596	0.0731778	0.0721719	0.0448235	0.0142483	0.00949186	0.000601842	0.00429243
s	0.00525521	0.0217925	0.0541712	0.12777	0.1326	0.0740233	0.0602798	0.0569963	0.0170819	0.0984573	0.173837	0.040905	0.0749073	0.0348583	0.00438438	0.02268
á	0.00211757	0.00801187	0.0238145	0.00562484	0.0276138	0.00871357	0.0270848	0.04777	0.00814036	0.012777	0.0848974	0.0570076	0.242288	0.13432	0.0860726	0.223746
n	0.0098564	0.00545279	0.0258621	0.0221099	0.0547002	0.0520813	0.062193	0.14804	0.0221448	0.0452063	0.125102	0.0355868	0.078716	0.163132	0.126409	0.0234077
d	0.000786583	0.000344514	0.0368217	0.00448353	0.0141043	0.00720681	0.0190822	0.093663	0.00133989	0.00283774	0.0141633	0.0586013	0.0316522	0.0775806	0.626933	0.0103995
é	0.000437199	0.000336818	0.0488452	0.00302947	0.00708425	0.0041635	0.0209856	0.0584168	0.0126711	0.00576817	0.0242789	0.0734354	0.0566039	0.0807272	0.531346	0.0718704
e	0.000971612	0.00477581	0.0715506	0.0280955	0.0423735	0.0233602	0.0529657	0.076809	0.0148889	0.04127	0.0738112	0.0227746	0.159534	0.148339	0.125992	0.112489
y	0.000352932	0.00474909	0.0216662	0.0777706	0.0620783	0.063889	0.069251	0.048968	0.00395602	0.0676555	0.0800755	0.0236782	0.207899	0.161074	0.041904	0.0650326
í	0.000314706	0.00613561	0.019664	0.0205075	0.0668371	0.0403195	0.0443195	0.0424482	0.016258	0.0450342	0.109571	0.0538617	0.203158	0.180144	0.0350544	0.116372
i	0.000911072	0.00273556	0.00820972	0.0264631	0.0415718	0.0530937	0.0619591	0.048679	0.00562755	0.0520083	0.0903454	0.019044	0.106054	0.22274	0.197587	0.0629712
n	0.000161154	0.00524333	0.00287224	0.005528	0.0152407	0.0120398	0.0162585	0.0100777	0.00623914	0.0203509	0.0475159	0.0382353	0.180457	0.0674153	0.098586	0.473779
ώ	0.000260171	0.00148023	0.00866007	0.00237899	0.0219335	0.0140784	0.0583523	0.0578003	0.00570774	0.00674591	0.0613255	0.26637	0.202716	0.131233	0.052373	0.108585
o	1.59375e-05	0.000878056	0.0115243	0.0126669	0.0269344	0.0178432	0.0277489	0.0377319	0.00340617	0.0315001	0.0451026	0.019628	0.186979	0.0876923	0.0156747	0.474673
t	6.72665e-05	0.00418793	0.00472618	0.0102374	0.0318331	0.0195144	0.0279566	0.00905853	0.00645542	0.02179	0.0637557	0.0368497	0.199491	0.125838	0.0165554	0.421683
o	0.000221894	0.00456656	0.00317427	0.0160346	0.025198	0.034824	0.0284859	0.0317326	0.0478072	0.0721419	0.142591	0.0218399	0.164672	0.138371	0.0139459	0.254393
k	4.75159e-05	0.000893263	0.00217903	0.00539511	0.0165264	0.0146533	0.01373	0.0125326	0.00587187	0.0555872	0.112105	0.0330755	0.136195	0.0735755	0.00913437	0.508499
a	0.000600992	0.00216132	0.000952936	0.0186266	0.0126514	0.0216912	0.0226325	0.0264169	0.0150538	0.0284005	0.041775	0.008835	0.0725865	0.0773673	0.0130872	0.637161
á	8.00346e-05	0.000193424	0.000129413	0.00379814	0.0038574	0.00896816	0.0085015	0.00998762	0.0046602	0.0239394	0.0570818	0.0108816	0.121891	0.0713403	0.077738	0.596952
</S>	0.0011301	0.00540179	0.00288283	0.00815307	0.0120978	0.00860804	0.0195161	0.00808769	0.000680762	0.00983082	0.018007	0.0104848	0.0949107	0.0786111	0.132821	0.588776
