 	elle	a	une	belle	plantation	</S>
w	0.844629	0.0760191	0.024164	0.0402123	0.0130192	0.00195671
a	0.577745	0.0523628	0.00848086	0.322417	0.038035	0.00095999
a	0.314472	0.54784	0.0703011	0.0342203	0.00422467	0.0289422
d	0.13471	0.413328	0.344432	0.0218678	0.00466455	0.0809972
í	0.0940988	0.498775	0.213168	0.011405	0.00182067	0.180733
l	0.0142378	0.0585277	0.209908	0.080869	0.0128952	0.623563
a	0.0285869	0.119324	0.229407	0.117334	0.0633844	0.441963
k	0.0140638	0.0674035	0.227828	0.0386475	0.596307	0.0557503
ú	0.0026012	0.00748383	0.635369	0.0353603	0.239185	0.0800011
b	0.00475436	0.00734081	0.667556	0.110109	0.13523	0.0750089
h	0.0108606	0.0101855	0.213882	0.235496	0.196838	0.332738
á	0.00382141	0.00327152	0.111559	0.191327	0.0367781	0.653243
m	0.00405948	0.0183934	0.0680509	0.261028	0.0799118	0.568557
b	0.0184439	0.010027	0.0212245	0.528175	0.317857	0.104273
v	0.00108808	0.000904146	0.00874258	0.315942	0.454105	0.219218
έ	0.00121784	0.00121359	0.0198612	0.336033	0.18387	0.457804
</S>	0.000122753	0.00115389	0.0149081	0.0918946	0.0144183	0.877502
