 	elle	a	le	bras	couvert	de	bracelets	</S>
w	0.849009	0.087041	0.0404453	0.00606417	0.00366731	0.0119827	0.00165851	0.000132059
a	0.857261	0.0712284	0.0165395	0.00540354	0.00226653	0.0430114	0.00418514	0.000104492
a	0.254792	0.448647	0.23753	0.0179155	0.0144731	0.0124911	0.00114334	0.0130073
b	0.0634701	0.338333	0.388847	0.12907	0.0214997	0.0179251	0.00300419	0.0378503
ώ	0.0852778	0.123472	0.161248	0.576123	0.0119408	0.0132711	0.00284015	0.0258261
ω	0.0315523	0.106868	0.198853	0.281128	0.206922	0.0519342	0.010989	0.111755
á	0.026363	0.0999758	0.291598	0.383085	0.157384	0.029785	0.00184907	0.00996025
m	0.0097343	0.0739251	0.199487	0.245065	0.376845	0.0686097	0.00699368	0.0193404
i	0.0127756	0.104792	0.129003	0.0795618	0.153123	0.263298	0.11884	0.138607
í	0.00124425	0.014335	0.0650126	0.226449	0.549209	0.0864686	0.00441	0.0528715
n	0.0018455	0.0189838	0.0615609	0.189641	0.497787	0.0798423	0.016437	0.133903
y	0.0023157	0.0174987	0.0192705	0.0107888	0.797725	0.094635	0.0337956	0.0239701
á	0.00109824	0.0139682	0.0171903	0.00834675	0.82267	0.0931869	0.0313964	0.0121434
á	0.000469657	0.00616625	0.0455942	0.0245428	0.659269	0.197305	0.00779504	0.0588582
n	0.0121793	0.012574	0.04341	0.0351251	0.276595	0.363354	0.0897319	0.167031
á	0.00998973	0.00610197	0.00991258	0.00506446	0.220177	0.23729	0.415552	0.0959122
m	0.00457234	0.00497475	0.0193348	0.027815	0.151593	0.425234	0.251674	0.114802
í	0.00167332	0.00226641	0.00267778	0.00143839	0.00560415	0.218577	0.661547	0.106216
b	0.00282841	0.00602908	0.00659499	0.00442988	0.0230248	0.15538	0.714595	0.0871183
á	0.0042262	0.0124601	0.0265754	0.0583879	0.036816	0.392106	0.407359	0.0620694
n	0.00213053	0.00203201	0.00616861	0.0134782	0.0127642	0.169142	0.537359	0.256926
g	0.00403018	0.00909141	0.0255794	0.0158884	0.136142	0.244138	0.16169	0.40344
a	0.0137449	0.0061798	0.0101314	0.00269753	0.131477	0.309831	0.308301	0.217637
</S>	0.00591303	0.00965051	0.025317	0.0113661	0.0495204	0.17751	0.0907695	0.629953
