 	pendant	la	pluie	il	y	a	eu	des	éclairs	</S>
o	0.522813	0.35666	0.0244693	0.00969245	0.0166042	0.0102881	0.0107123	0.0286732	0.0179422	0.00214492
n	0.296863	0.332378	0.140009	0.0165158	0.00716939	0.0158102	0.0390275	0.0363153	0.0807663	0.0351464
d	0.0889733	0.576491	0.147976	0.00648949	0.00660467	0.015662	0.0424176	0.0298183	0.0484796	0.0370877
i	0.215521	0.546079	0.0878345	0.0113347	0.0032029	0.0113532	0.00853498	0.00572842	0.0151316	0.0952797
e	0.270727	0.513961	0.12892	0.00871292	0.00343323	0.0109423	0.0081346	0.0100852	0.00894197	0.036142
m	0.218	0.285196	0.148485	0.137156	0.0679051	0.0438321	0.0293155	0.0408469	0.00742557	0.0218389
ó	0.136079	0.150969	0.146068	0.178569	0.160278	0.113692	0.0236487	0.0294854	0.00811181	0.0530997
ó	0.416549	0.203983	0.135183	0.0456188	0.0519624	0.0407563	0.0136673	0.0189397	0.0113151	0.0620243
n	0.0304887	0.0451818	0.568713	0.0456989	0.0426839	0.0665194	0.106399	0.0445778	0.0299567	0.0197807
ω	0.0534075	0.212201	0.495723	0.025397	0.0129229	0.0365346	0.0288934	0.019346	0.0123813	0.103194
í	0.0436364	0.15392	0.288621	0.065348	0.0618559	0.0979865	0.106659	0.0955476	0.0387458	0.0476802
m	0.0202177	0.0145537	0.0611078	0.166898	0.20602	0.232819	0.120176	0.106965	0.0160917	0.0551498
b	0.00884896	0.0353798	0.152657	0.0566045	0.0709423	0.10177	0.0946154	0.076689	0.129928	0.272565
v	0.00589852	0.029909	0.704292	0.012458	0.0353373	0.0127789	0.0245052	0.0447457	0.0756167	0.0544591
ú	0.00758962	0.0182691	0.337258	0.0268722	0.0587994	0.01419	0.020552	0.0345785	0.144477	0.337414
á	0.0172183	0.0195661	0.026077	0.0660135	0.172817	0.0961718	0.143325	0.271898	0.128053	0.05886
i	0.00430625	0.00597823	0.0109496	0.0518775	0.0517025	0.118366	0.227898	0.340091	0.080202	0.108629
b	0.0157201	0.0097289	0.0199573	0.00790435	0.0126383	0.0243615	0.110099	0.175362	0.422049	0.20218
h	0.00708285	0.00567262	0.00853157	0.0110646	0.0336598	0.0258973	0.0711841	0.131123	0.641511	0.064273
έ	0.00173304	0.00133005	0.00574571	0.00297035	0.00937991	0.00643485	0.043077	0.0536987	0.756492	0.119139
b	0.000609339	0.000946684	0.00573733	0.0367941	0.0897003	0.0397412	0.0785203	0.206879	0.288304	0.252768
h	0.00823317	0.003067	0.00625856	0.0689256	0.21946	0.0362284	0.0633107	0.0978833	0.346708	0.149926
ε	0.00209763	0.00168529	0.00755264	0.0131108	0.0782121	0.0109904	0.031155	0.0818343	0.655284	0.118078
l	0.00175126	0.00168852	0.00453491	0.0135714	0.0298856	0.0236559	0.061035	0.254401	0.111482	0.497994
i	0.00458939	0.00331146	0.0121887	0.0257167	0.0256113	0.031678	0.109161	0.157841	0.110212	0.519691
i	0.00477883	0.00610569	0.0065095	0.0187042	0.0273388	0.0300373	0.0399122	0.294184	0.0588479	0.513581
d	0.0209949	0.0184353	0.0379542	0.0163338	0.0187787	0.0193934	0.075314	0.259662	0.162166	0.370968
z	0.00763885	0.0100208	0.0422883	0.016084	0.0100851	0.0268481	0.13505	0.410029	0.0395285	0.302427
e	0.0259967	0.0356527	0.0322517	0.041988	0.0280805	0.0857996	0.0825716	0.238877	0.0794751	0.349307
b	0.00511738	0.00645938	0.00578056	0.0050324	0.0108205	0.0146313	0.0487534	0.363076	0.0561446	0.484184
í	0.0177242	0.00685031	0.00641031	0.0224548	0.0437639	0.00867235	0.0384904	0.181549	0.169224	0.50486
i	0.00339462	0.00268848	0.00505009	0.0159854	0.0330502	0.00720385	0.0186358	0.101021	0.0724188	0.740551
k	0.0121549	0.00536408	0.0300922	0.0220379	0.0251111	0.019865	0.067501	0.113282	0.0573534	0.647239
y	0.00493436	0.00351588	0.022284	0.0119159	0.0353332	0.0141109	0.060034	0.108127	0.339386	0.400358
a	0.0128194	0.00730907	0.00263656	0.0112393	0.0216586	0.00765357	0.0150644	0.0704421	0.657472	0.193705
</S>	0.00387355	0.00487718	0.00844868	0.00700362	0.0187091	0.00650021	0.0301195	0.21123	0.149519	0.559719
